Município,Sim,Não,Total
110001 Alta Floresta D'Oeste,23,-,23
110037 Alto Alegre dos Parecis,10,-,10
110040 Alto Paraíso,9,-,9
110034 Alvorada D'Oeste,14,-,14
110002 Ariquemes,99,12,111
110045 Buritis,24,4,28
110003 Cabixi,8,-,8
110060 Cacaulândia,4,-,4
110004 Cacoal,198,18,216
110070 Campo Novo de Rondônia,15,-,15
110080 Candeias do Jamari,18,-,18
110090 Castanheiras,4,-,4
110005 Cerejeiras,14,-,14
110092 Chupinguaia,8,-,8
110006 Colorado do Oeste,15,-,15
110007 Corumbiara,6,-,6
110008 Costa Marques,12,-,12
110094 Cujubim,9,-,9
110009 Espigão D'Oeste,20,3,23
110100 Governador Jorge Teixeira,9,-,9
110010 Guajará-Mirim,45,-,45
110110 Itapuã do Oeste,9,-,9
110011 Jaru,54,2,56
110012 Ji-Paraná,94,14,108
110013 Machadinho D'Oeste,24,-,24
110120 Ministro Andreazza,4,-,4
110130 Mirante da Serra,8,-,8
110140 Monte Negro,10,-,10
110014 Nova Brasilândia D'Oeste,12,1,13
110033 Nova Mamoré,16,-,16
110143 Nova União,6,-,6
110050 Novo Horizonte do Oeste,8,-,8
110015 Ouro Preto do Oeste,23,1,24
110145 Parecis,4,-,4
110018 Pimenta Bueno,32,4,36
110146 Pimenteiras do Oeste,6,-,6
110020 Porto Velho,835,77,912
110025 Presidente Médici,21,1,22
110147 Primavera de Rondônia,10,-,10
110026 Rio Crespo,4,-,4
110028 Rolim de Moura,38,3,41
110029 Santa Luzia D'Oeste,8,-,8
110148 São Felipe D'Oeste,4,-,4
110149 São Francisco do Guaporé,23,-,23
110032 São Miguel do Guaporé,13,-,13
110150 Seringueiras,8,-,8
110155 Teixeirópolis,3,-,3
110160 Theobroma,11,-,11
110170 Urupá,6,-,6
110175 Vale do Anari,6,-,6
110180 Vale do Paraíso,6,-,6
110030 Vilhena,110,9,119
110000 Município ignorado - RO,-,-,-
120001 Acrelândia,9,-,9
120005 Assis Brasil,8,-,8
120010 Brasiléia,53,-,53
120013 Bujari,7,-,7
120017 Capixaba,7,-,7
120020 Cruzeiro do Sul,143,4,147
120025 Epitaciolândia,11,-,11
120030 Feijó,21,-,21
120032 Jordão,6,-,6
120033 Mâncio Lima,19,-,19
120034 Manoel Urbano,11,-,11
120035 Marechal Thaumaturgo,12,-,12
120038 Plácido de Castro,16,-,16
120080 Porto Acre,5,-,5
120039 Porto Walter,10,-,10
120040 Rio Branco,615,39,654
120042 Rodrigues Alves,9,-,9
120043 Santa Rosa do Purus,7,-,7
120050 Sena Madureira,36,-,36
120045 Senador Guiomard,22,-,22
120060 Tarauacá,18,-,18
120070 Xapuri,15,-,15
120000 Município ignorado - AC,-,-,-
130002 Alvarães,14,-,14
130006 Amaturá,19,-,19
130008 Anamã,23,-,23
130010 Anori,10,-,10
130014 Apuí,20,-,20
130020 Atalaia do Norte,37,-,37
130030 Autazes,37,-,37
130040 Barcelos,31,-,31
130050 Barreirinha,43,-,43
130060 Benjamin Constant,38,2,40
130063 Beruri,13,-,13
130068 Boa Vista do Ramos,20,-,20
130070 Boca do Acre,29,-,29
130080 Borba,33,-,33
130083 Caapiranga,14,-,14
130090 Canutama,9,-,9
130100 Carauari,18,-,18
130110 Careiro,34,-,34
130115 Careiro da Várzea,21,-,21
130120 Coari,73,-,73
130130 Codajás,11,-,11
130140 Eirunepé,36,-,36
130150 Envira,13,-,13
130160 Fonte Boa,21,-,21
130165 Guajará,20,-,20
130170 Humaitá,63,-,63
130180 Ipixuna,16,-,16
130185 Iranduba,62,3,65
130190 Itacoatiara,107,-,107
130195 Itamarati,6,-,6
130200 Itapiranga,10,-,10
130210 Japurá,9,-,9
130220 Juruá,10,-,10
130230 Jutaí,15,-,15
130240 Lábrea,60,-,60
130250 Manacapuru,58,1,59
130255 Manaquiri,16,-,16
130260 Manaus,2731,300,3031
