Município,Administração Pública Federal,Administração Pública Estadual ou Distrito Federal,Administração Pública Municipal,Administração Pública - Outros,Empresa Pública ou Sociedade de Economia Mista,Demais Entidades Empresariais,Entidades sem Fins Lucrativos,Total
110001 Alta Floresta D'Oeste,-,-,1,-,-,1,-,2
110037 Alto Alegre dos Parecis,-,-,1,-,-,-,-,1
110040 Alto Paraíso,-,-,1,-,-,-,-,1
110034 Alvorada D'Oeste,-,-,-,-,-,-,-,-
110002 Ariquemes,-,-,3,-,-,8,-,11
110045 Buritis,-,1,-,-,-,2,-,3
110003 Cabixi,-,-,-,-,-,-,-,-
110060 Cacaulândia,-,-,1,-,-,-,-,1
110004 Cacoal,-,1,1,-,-,4,1,7
110070 Campo Novo de Rondônia,-,-,1,-,-,-,-,1
110080 Candeias do Jamari,-,-,-,-,-,-,-,-
110090 Castanheiras,-,-,-,-,-,-,-,-
110005 Cerejeiras,-,-,1,-,-,-,-,1
110092 Chupinguaia,-,-,-,-,-,-,-,-
110006 Colorado do Oeste,-,-,1,-,-,-,-,1
110007 Corumbiara,-,-,-,-,-,-,-,-
110008 Costa Marques,-,-,-,-,-,-,-,-
110094 Cujubim,-,-,1,-,-,-,-,1
110009 Espigão D'Oeste,-,-,1,-,-,2,-,3
110100 Governador Jorge Teixeira,-,-,-,-,-,-,-,-
110010 Guajará-Mirim,-,-,1,-,-,-,1,2
110110 Itapuã do Oeste,-,-,1,-,-,-,-,1
110011 Jaru,-,-,1,-,-,1,-,2
110012 Ji-Paraná,-,-,1,-,-,4,-,5
110013 Machadinho D'Oeste,-,-,1,-,-,-,-,1
110120 Ministro Andreazza,-,-,-,-,-,-,-,-
110130 Mirante da Serra,-,-,-,-,-,1,-,1
110140 Monte Negro,-,-,1,-,-,-,-,1
110014 Nova Brasilândia D'Oeste,-,-,1,-,-,-,-,1
110033 Nova Mamoré,-,-,1,-,-,-,-,1
110143 Nova União,-,-,-,-,-,-,-,-
110050 Novo Horizonte do Oeste,-,-,1,-,-,-,-,1
110015 Ouro Preto do Oeste,-,-,1,-,-,3,-,4
110145 Parecis,-,-,-,-,-,-,-,-
110018 Pimenta Bueno,-,-,1,-,-,1,-,2
110146 Pimenteiras do Oeste,-,-,-,-,-,-,-,-
110020 Porto Velho,-,5,3,-,-,10,3,21
110025 Presidente Médici,-,-,-,-,-,-,-,-
