Município,UTI adulto II COVID-19,UTI pediátrica II COVID-19,Unidade intermediária neonatal,Unidade isolamento,UTI adulto I,UTI adulto II,UTI adulto III,UTI pediátrica I,UTI pediátrica II,UTI pediátrica III,UTI neonatal I,UTI neonatal II,UTI neonatal III,UTI de Queimados,UTI coronariana tipo II -UCO tipo II,UTI coronariana tipo III - UCO tipo III,Unidade de cuidados intermed neonatal convencional,Unidade de cuidados intermed neonatal canguru,Unidade de cuidados intermed pediatrico,Unidade de cuidados intermed adulto,Total
110001 Alta Floresta D'Oeste,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
110037 Alto Alegre dos Parecis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110040 Alto Paraíso,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110034 Alvorada D'Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110002 Ariquemes,6,-,-,2,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15
110045 Buritis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110003 Cabixi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110060 Cacaulândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110004 Cacoal,-,-,-,-,-,18,-,-,9,-,-,-,-,-,-,-,-,-,-,-,27
110070 Campo Novo de Rondônia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110080 Candeias do Jamari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110090 Castanheiras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110005 Cerejeiras,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
110092 Chupinguaia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110006 Colorado do Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110007 Corumbiara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110008 Costa Marques,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110094 Cujubim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110009 Espigão D'Oeste,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
110100 Governador Jorge Teixeira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110010 Guajará-Mirim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110110 Itapuã do Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110011 Jaru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110012 Ji-Paraná,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
110013 Machadinho D'Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110120 Ministro Andreazza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110130 Mirante da Serra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110140 Monte Negro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110014 Nova Brasilândia D'Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110033 Nova Mamoré,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,10
110143 Nova União,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110050 Novo Horizonte do Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110015 Ouro Preto do Oeste,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
110145 Parecis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110018 Pimenta Bueno,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110146 Pimenteiras do Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110020 Porto Velho,22,7,4,3,-,118,-,-,9,-,-,36,-,-,-,-,35,6,-,2,242
110025 Presidente Médici,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110147 Primavera de Rondônia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110026 Rio Crespo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110028 Rolim de Moura,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
110029 Santa Luzia D'Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110148 São Felipe D'Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110149 São Francisco do Guaporé,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
110032 São Miguel do Guaporé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110150 Seringueiras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110155 Teixeirópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110160 Theobroma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110170 Urupá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110175 Vale do Anari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110180 Vale do Paraíso,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110030 Vilhena,10,-,-,37,-,10,-,-,-,-,-,-,-,-,-,-,6,-,-,-,63
110000 Município ignorado - RO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120001 Acrelândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120005 Assis Brasil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120010 Brasiléia,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,13
120013 Bujari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120017 Capixaba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120020 Cruzeiro do Sul,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
120025 Epitaciolândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120030 Feijó,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120032 Jordão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120033 Mâncio Lima,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120034 Manoel Urbano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120035 Marechal Thaumaturgo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120038 Plácido de Castro,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
120080 Porto Acre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
