Município,Quantidade SUS,Quantidade Não SUS
110001 Alta Floresta D'Oeste,43,6
110037 Alto Alegre dos Parecis,16,-
110040 Alto Paraíso,16,-
110034 Alvorada D'Oeste,35,-
110002 Ariquemes,155,105
110045 Buritis,32,34
110003 Cabixi,9,-
110060 Cacaulândia,26,-
110004 Cacoal,287,73
110070 Campo Novo de Rondônia,19,-
110080 Candeias do Jamari,15,-
110090 Castanheiras,7,-
110005 Cerejeiras,40,-
110092 Chupinguaia,10,-
110006 Colorado do Oeste,50,-
110007 Corumbiara,16,-
110008 Costa Marques,45,-
110094 Cujubim,11,-
110009 Espigão D'Oeste,36,18
110100 Governador Jorge Teixeira,21,1
110010 Guajará-Mirim,88,9
110110 Itapuã do Oeste,20,-
110011 Jaru,106,15
110012 Ji-Paraná,161,96
110013 Machadinho D'Oeste,48,-
110120 Ministro Andreazza,16,-
110130 Mirante da Serra,25,8
110140 Monte Negro,40,-
110014 Nova Brasilândia D'Oeste,44,-
110033 Nova Mamoré,31,-
110143 Nova União,15,-
110050 Novo Horizonte do Oeste,18,-
110015 Ouro Preto do Oeste,51,72
110145 Parecis,8,-
110018 Pimenta Bueno,46,12
110146 Pimenteiras do Oeste,9,-
110020 Porto Velho,1308,392
110025 Presidente Médici,45,-
110147 Primavera de Rondônia,-,-
110026 Rio Crespo,9,-
110028 Rolim de Moura,78,16
110029 Santa Luzia D'Oeste,25,-
110148 São Felipe D'Oeste,7,-
110149 São Francisco do Guaporé,29,-
110032 São Miguel do Guaporé,44,-
110150 Seringueiras,36,-
110155 Teixeirópolis,9,-
110160 Theobroma,13,-
110170 Urupá,25,-
110175 Vale do Anari,12,-
110180 Vale do Paraíso,16,-
110030 Vilhena,207,19
110000 Município ignorado - RO,-,-
120001 Acrelândia,16,-
120005 Assis Brasil,12,-
120010 Brasiléia,35,6
120013 Bujari,-,-
120017 Capixaba,-,-
120020 Cruzeiro do Sul,169,14
120025 Epitaciolândia,-,-
120030 Feijó,41,-
120032 Jordão,10,-
120033 Mâncio Lima,25,-
120034 Manoel Urbano,26,-
120035 Marechal Thaumaturgo,13,-
120038 Plácido de Castro,52,-
120080 Porto Acre,-,-
120039 Porto Walter,14,-
120040 Rio Branco,857,76
120042 Rodrigues Alves,16,-
120043 Santa Rosa do Purus,16,-
120050 Sena Madureira,60,-
120045 Senador Guiomard,29,-
120060 Tarauacá,42,-
120070 Xapuri,30,-
120000 Município ignorado - AC,-,-
130002 Alvarães,22,-
130006 Amaturá,30,-
130008 Anamã,20,-
130010 Anori,23,-
130014 Apuí,42,-
130020 Atalaia do Norte,30,-
130030 Autazes,31,-
130040 Barcelos,60,-
130050 Barreirinha,31,-
130060 Benjamin Constant,37,-
130063 Beruri,13,-
130068 Boa Vista do Ramos,22,-
130070 Boca do Acre,61,-
130080 Borba,38,-
130083 Caapiranga,18,-
130090 Canutama,16,-
130100 Carauari,52,-
130110 Careiro,20,-
130115 Careiro da Várzea,-,-
130120 Coari,101,4
130130 Codajás,47,-
130140 Eirunepé,80,-
130150 Envira,24,-
130160 Fonte Boa,58,-
130165 Guajará,20,-
130170 Humaitá,30,-
130180 Ipixuna,26,-
130185 Iranduba,32,-
130190 Itacoatiara,108,-
130195 Itamarati,15,-
130200 Itapiranga,18,-
130210 Japurá,20,-
130220 Juruá,20,-
130230 Jutaí,18,-
130240 Lábrea,56,-
130250 Manacapuru,72,-
130255 Manaquiri,20,-
130260 Manaus,2920,754
130270 Manicoré,60,-
130280 Maraã,19,-
130290 Maués,90,-
130300 Nhamundá,19,-
130310 Nova Olinda do Norte,31,-
130320 Novo Airão,22,-
130330 Novo Aripuanã,31,-
130340 Parintins,135,-
130350 Pauini,26,-
130353 Presidente Figueiredo,29,-
130356 Rio Preto da Eva,29,-
130360 Santa Isabel do Rio Negro,20,-
130370 Santo Antônio do Içá,25,28
130380 São Gabriel da Cachoeira,83,6
130390 São Paulo de Olivença,22,-
130395 São Sebastião do Uatumã,20,-
130400 Silves,20,-
130406 Tabatinga,51,-
130410 Tapauá,35,-
130420 Tefé,136,12
130423 Tonantins,33,-
130426 Uarini,22,-
130430 Urucará,39,-
130440 Urucurituba,22,-
130000 Município ignorado - AM,-,-
140005 Alto Alegre,22,4
140002 Amajari,-,-
140010 Boa Vista,1193,128
140015 Bonfim,8,6
140017 Cantá,-,-
140020 Caracaraí,24,-
140023 Caroebe,16,-
140028 Iracema,-,1
140030 Mucajaí,14,8
140040 Normandia,19,1
140045 Pacaraima,13,-
140047 Rorainópolis,30,-
140050 São João da Baliza,15,-
140060 São Luiz,13,-
140070 Uiramutã,-,-
140000 Município ignorado - RR,-,-
150010 Abaetetuba,262,57
150013 Abel Figueiredo,21,-
150020 Acará,33,-
150030 Afuá,30,-
150034 Água Azul do Norte,40,-
150040 Alenquer,91,6
150050 Almeirim,87,7
150060 Altamira,179,90
150070 Anajás,20,-
150080 Ananindeua,698,159
150085 Anapu,44,-
150090 Augusto Corrêa,73,13
150095 Aurora do Pará,58,-
150100 Aveiro,-,-
150110 Bagre,15,-
150120 Baião,30,-
150125 Bannach,10,-
150130 Barcarena,151,18
150140 Belém,2854,990
150145 Belterra,20,-
150150 Benevides,-,-
150157 Bom Jesus do Tocantins,31,-
150160 Bonito,-,-
150170 Bragança,268,101
150172 Brasil Novo,33,-
150175 Brejo Grande do Araguaia,24,-
150178 Breu Branco,44,-
150180 Breves,182,-
150190 Bujaru,30,13
150200 Cachoeira do Arari,20,-
150195 Cachoeira do Piriá,-,-
150210 Cametá,166,17
150215 Canaã dos Carajás,100,23
150220 Capanema,176,102
150230 Capitão Poço,86,78
150240 Castanhal,320,100
150250 Chaves,16,-
150260 Colares,8,-
150270 Conceição do Araguaia,117,2
150275 Concórdia do Pará,25,-
150276 Cumaru do Norte,11,-
150277 Curionópolis,50,-
150280 Curralinho,26,-
150285 Curuá,-,-
150290 Curuçá,27,-
150293 Dom Eliseu,75,6
150295 Eldorado do Carajás,41,-
150300 Faro,10,-
150304 Floresta do Araguaia,20,-
150307 Garrafão do Norte,20,-
