Município,Sim,Não,Total
110001 Alta Floresta D'Oeste,17,2,19
110037 Alto Alegre dos Parecis,6,-,6
110040 Alto Paraíso,10,-,10
110034 Alvorada D'Oeste,6,1,7
110002 Ariquemes,123,38,161
110045 Buritis,26,1,27
110003 Cabixi,7,-,7
110060 Cacaulândia,1,-,1
110004 Cacoal,264,80,344
110070 Campo Novo de Rondônia,3,-,3
110080 Candeias do Jamari,15,-,15
110090 Castanheiras,10,-,10
110005 Cerejeiras,9,-,9
110092 Chupinguaia,7,1,8
110006 Colorado do Oeste,12,2,14
110007 Corumbiara,5,-,5
110008 Costa Marques,6,-,6
110094 Cujubim,5,-,5
110009 Espigão D'Oeste,18,1,19
110100 Governador Jorge Teixeira,4,-,4
110010 Guajará-Mirim,47,3,50
110110 Itapuã do Oeste,5,-,5
110011 Jaru,41,15,56
110012 Ji-Paraná,106,89,195
110013 Machadinho D'Oeste,11,-,11
110120 Ministro Andreazza,5,-,5
110130 Mirante da Serra,10,1,11
110140 Monte Negro,6,-,6
110014 Nova Brasilândia D'Oeste,7,-,7
110033 Nova Mamoré,4,1,5
110143 Nova União,2,-,2
110050 Novo Horizonte do Oeste,3,-,3
110015 Ouro Preto do Oeste,22,17,39
110145 Parecis,5,-,5
110018 Pimenta Bueno,25,9,34
110146 Pimenteiras do Oeste,1,-,1
110020 Porto Velho,1108,144,1252
110025 Presidente Médici,7,-,7
110147 Primavera de Rondônia,1,-,1
110026 Rio Crespo,2,-,2
110028 Rolim de Moura,36,11,47
110029 Santa Luzia D'Oeste,5,-,5
110148 São Felipe D'Oeste,3,-,3
110149 São Francisco do Guaporé,17,1,18
110032 São Miguel do Guaporé,5,-,5
110150 Seringueiras,4,-,4
110155 Teixeirópolis,4,-,4
110160 Theobroma,5,-,5
110170 Urupá,3,-,3
110175 Vale do Anari,3,-,3
110180 Vale do Paraíso,3,-,3
110030 Vilhena,92,72,164
110000 Município ignorado - RO,-,-,-
120001 Acrelândia,6,1,7
120005 Assis Brasil,8,-,8
120010 Brasiléia,33,1,34
120013 Bujari,3,-,3
120017 Capixaba,3,-,3
120020 Cruzeiro do Sul,100,11,111
120025 Epitaciolândia,2,-,2
120030 Feijó,9,-,9
120032 Jordão,3,-,3
120033 Mâncio Lima,4,-,4
120034 Manoel Urbano,9,-,9
120035 Marechal Thaumaturgo,8,-,8
120038 Plácido de Castro,8,-,8
120080 Porto Acre,3,-,3
120039 Porto Walter,5,-,5
120040 Rio Branco,647,77,724
120042 Rodrigues Alves,7,-,7
120043 Santa Rosa do Purus,5,-,5
120050 Sena Madureira,10,-,10
120045 Senador Guiomard,7,-,7
120060 Tarauacá,18,6,24
120070 Xapuri,7,-,7
120000 Município ignorado - AC,-,-,-
130002 Alvarães,5,-,5
130006 Amaturá,7,-,7
130008 Anamã,5,-,5
130010 Anori,10,-,10
130014 Apuí,12,-,12
130020 Atalaia do Norte,6,-,6
130030 Autazes,18,-,18
130040 Barcelos,11,-,11
130050 Barreirinha,14,-,14
130060 Benjamin Constant,22,-,22
130063 Beruri,6,-,6
130068 Boa Vista do Ramos,8,-,8
130070 Boca do Acre,26,-,26
130080 Borba,10,-,10
130083 Caapiranga,3,-,3
130090 Canutama,4,-,4
130100 Carauari,10,1,11
130110 Careiro,16,-,16
130115 Careiro da Várzea,10,-,10
130120 Coari,46,2,48
130130 Codajás,10,-,10
130140 Eirunepé,14,-,14
130150 Envira,9,-,9
130160 Fonte Boa,7,-,7
130165 Guajará,15,-,15
130170 Humaitá,41,5,46
130180 Ipixuna,7,-,7
130185 Iranduba,31,2,33
130190 Itacoatiara,69,-,69
130195 Itamarati,3,-,3
130200 Itapiranga,7,-,7
130210 Japurá,4,-,4
130220 Juruá,5,-,5
130230 Jutaí,10,-,10
130240 Lábrea,20,-,20
130250 Manacapuru,45,2,47
130255 Manaquiri,9,-,9
130260 Manaus,2994,713,3707
130270 Manicoré,21,-,21
130280 Maraã,7,-,7
