OBJECTID,Codigo_Municipio,GR,Nome_Estado,Nome_municipio,Pop_Total,Total_Enfermeiros,Enfermeiros_SUS,Enfermeiros_100mil_hab_Ind,Enfermeiros_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
1,5200050,Centro-Oeste,Goiás,Abadia de Goiás,8773,10,10,113.986093696569,113.986093696569,161556481.115234,67245.5826604341
2,3100104,Sudeste,Minas Gerais,Abadia dos Dourados,6989,4,4,57.2327943911861,57.2327943911861,983318789.241211,224031.73619628
3,5200100,Centro-Oeste,Goiás,Abadiânia,20042,19,18,94.8009180720487,89.8113960682567,1139644277.3623,205312.805612602
4,3100203,Sudeste,Minas Gerais,Abaeté,23237,15,15,64.5522227482033,64.5522227482033,2045804301.81641,278373.402013704
5,1500107,Norte,Pará,Abaetetuba,157698,81,81,51.3639995434311,51.3639995434311,1622717199.54626,203700.589225893
6,2300101,Nordeste,Ceará,Abaiara,11737,8,8,68.1605180199369,68.1605180199369,184277970.902344,59759.0434265202
7,2900108,Nordeste,Bahia,Abaíra,8739,7,7,80.1006980203685,80.1006980203685,572191616.300293,162673.70190031
8,2900207,Nordeste,Bahia,Abaré,20086,18,18,89.6146569750075,89.6146569750075,1654234643.19116,191604.676549825
9,4100103,Sul,Paraná,Abatiá,7457,7,7,93.8715301059407,93.8715301059407,272423116.646484,124223.510785095
10,4200051,Sul,Santa Catarina,Abdon Batista,2563,4,4,156.067108856808,156.067108856808,301354800.027344,106902.842094619
11,1500131,Norte,Pará,Abel Figueiredo,7434,6,6,80.7102502017756,80.7102502017756,622841153.758545,145356.549743168
12,4200101,Sul,Santa Catarina,Abelardo Luz,17904,17,16,94.9508489722967,89.3655049151028,1196087275.4707,205375.980423349
13,3100302,Sudeste,Minas Gerais,Abre Campo,13454,13,13,96.6255388731976,96.6255388731976,537493384.320313,141508.835386467
14,2600054,Nordeste,Pernambuco,Abreu e Lima,99990,73,70,73.007300730073,70.00700070007,129444894.625244,90799.3244840705
15,1700251,Norte,Tocantins,Abreulândia,2579,3,3,116.324156649864,116.324156649864,1960493133.13574,391398.450803623
16,3100401,Sudeste,Minas Gerais,Acaiaca,3994,1,1,25.0375563345017,25.0375563345017,116569090.605469,59157.9288730399
17,2100055,Nordeste,Maranhão,Açailândia,112445,77,74,68.4779225399084,65.80995153186,5886062506.04907,498876.044666923
18,2900306,Nordeste,Bahia,Acajutiba,15159,10,10,65.9674120984234,65.9674120984234,190377677.118164,79550.4251237152
19,1500206,Norte,Pará,Acará,55591,14,14,25.1839326509687,25.1839326509687,4378619535.97791,440571.107907006
