OBJECTID,GR,Nome_Estado,Codigo_Municipio,Nome_municipio,Pop_Total,Leitos_UTI_Total,Leitos_UTI_100mil_hab_Ind,Leitos_UTI_SUS_Total,Leitos_UTI_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
1,Centro-Oeste,Goiás,5200050,Abadia de Goiás,8773,0,0,0,0,0.0124816475622538,0.591110230038338
2,Sudeste,Minas Gerais,3100104,Abadia dos Dourados,6989,0,0,0,0,0.0753144965986507,1.95912445673287
3,Centro-Oeste,Goiás,5200100,Abadiânia,20042,0,0,0,0,0.0883201093906223,1.81134961906781
4,Sudeste,Minas Gerais,3100203,Abaeté,23237,0,0,0,0,0.155999091973342,2.43461286121149
5,Norte,Pará,1500107,Abaetetuba,157698,0,0,0,0,0.130888576843759,1.82953870027611
6,Nordeste,Ceará,2300101,Abaiara,11737,0,0,0,0,0.0147481592989038,0.534500781257564
7,Nordeste,Bahia,2900108,Abaíra,8739,0,0,0,0,0.0449363554398587,1.43922362369565
8,Nordeste,Bahia,2900207,Abaré,20086,0,0,0,0,0.131907828830037,1.70817257987122
9,Sul,Paraná,4100103,Abatiá,7457,0,0,0,0,0.0201897952706531,1.07449792829056
10,Sul,Santa Catarina,4200051,Abdon Batista,2563,0,0,0,0,0.0215542110956903,0.916697439607404
11,Norte,Pará,1500131,Abel Figueiredo,7434,0,0,0,0,0.0500731897972742,1.30356045561117
12,Sul,Santa Catarina,4200101,Abelardo Luz,17904,0,0,0,0,0.0863326919833298,1.75238350748399
13,Sudeste,Minas Gerais,3100302,Abre Campo,13454,0,0,0,0,0.0406871042849843,1.22928152572525
14,Nordeste,Pernambuco,2600054,Abreu e Lima,99990,32,32.003200320032,0,0,0.0103472048666333,0.812613520345185
15,Norte,Tocantins,1700251,Abreulândia,2579,0,0,0,0,0.156044573582506,3.4937976948294
16,Sudeste,Minas Gerais,3100401,Acaiaca,3994,0,0,0,0,0.00881681392661449,0.516546528525998
17,Nordeste,Maranhão,2100055,Açailândia,112445,0,0,0,0,0.473329341360753,4.47424613253423
18,Nordeste,Bahia,2900306,Acajutiba,15159,0,0,0,0,0.0150456642862196,0.706970804070788
19,Norte,Pará,1500206,Acará,55591,0,0,0,0,0.353115006928149,3.95607093327893
20,Nordeste,Ceará,2300150,Acarape,14929,0,0,0,0,0.0126393751954907,0.558007214324748
21,Nordeste,Ceará,2300200,Acaraú,62641,0,0,0,0,0.0685395968641416,2.06700666026052
22,Nordeste,Rio Grande do Norte,2400109,Acari,11136,0,0,0,0,0.04973495418011,1.08468906871531
23,Nordeste,Piauí,2200053,Acauã,7084,0,0,0,0,0.10502748602056,1.75435719183372
24,Sul,Rio Grande do Sul,4300034,Aceguá,4901,0,0,0,0,0.147248979063761,2.30952158560429
25,Nordeste,Ceará,2300309,Acopiara,54270,0,0,0,0,0.185066488837876,2.96731549571066
26,Centro-Oeste,Mato Grosso,5100102,Acorizal,5399,0,0,0,0,0.0717142052370718,1.85530431655262
27,Norte,Acre,1200013,Acrelândia,15256,0,0,0,0,0.149057078228623,2.29210837166332
28,Centro-Oeste,Goiás,5200134,Acreúna,22366,0,0,0,0,0.133201917582028,2.28785043025261
29,Nordeste,Rio Grande do Norte,2400208,Açu,58017,0,0,0,0,0.106375163593427,1.6154283602144
30,Sudeste,Minas Gerais,3100500,Açucena,9470,0,0,0,0,0.069985001515704,1.78534098870111
31,Sudeste,São Paulo,3500105,Adamantina,35068,5,14.2580130033079,4,11.4064104026463,0.035927172507968,1.20271955874888
32,Centro-Oeste,Goiás,5200159,Adelândia,2516,0,0,0,0,0.00975693321390736,0.607893387523015
33,Sudeste,São Paulo,3500204,Adolfo,3562,0,0,0,0,0.0183695506761978,0.833896249411956
34,Sul,Paraná,4100202,Adrianópolis,5919,0,0,0,0,0.120455161807399,2.52867513412477
35,Nordeste,Bahia,2900355,Adustina,17040,0,0,0,0,0.0522171444295054,1.13258828769439
36,Nordeste,Pernambuco,2600104,Afogados da Ingazeira,37259,0,0,0,0,0.0309585745224297,0.974395580490603
37,Nordeste,Rio Grande do Norte,2400307,Afonso Bezerra,11035,0,0,0,0,0.0470178259547396,1.2044248558981
38,Sudeste,Espírito Santo,3200102,Afonso Cláudio,30586,0,0,0,0,0.0812880877216458,1.8577875523148
39,Nordeste,Maranhão,2100105,Afonso Cunha,6524,0,0,0,0,0.030245753907181,0.834965751110195
40,Nordeste,Pernambuco,2600203,Afrânio,19635,0,0,0,0,0.122443222459424,2.13078854263315
41,Norte,Pará,1500305,Afuá,39218,0,0,0,0,0.680226939069037,4.34668143438751
42,Nordeste,Pernambuco,2600302,Agrestina,24885,0,0,0,0,0.0164697047127049,0.740615119466117
43,Nordeste,Piauí,2200103,Agricolândia,5139,0,0,0,0,0.00917865126186257,0.674671461559286
44,Sul,Santa Catarina,4200200,Agrolândia,10864,0,0,0,0,0.018947900798139,0.914467266188357
45,Sul,Santa Catarina,4200309,Agronômica,5448,0,0,0,0,0.0118467566438767,0.635565753828522
46,Norte,Pará,1500347,Água Azul do Norte,27430,0,0,0,0,0.581895956911012,4.63145016534244
47,Sudeste,Minas Gerais,3100609,Água Boa,13735,0,0,0,0,0.112651883795195,2.25987958794398
48,Centro-Oeste,Mato Grosso,5100201,Água Boa,25721,0,0,0,0,0.628304512545981,4.89465527587101
49,Nordeste,Piauí,2200202,Água Branca,17411,0,0,0,0,0.00792469380635907,0.444861169203034
50,Nordeste,Paraíba,2500106,Água Branca,10234,0,0,0,0,0.0193825303048811,0.742483594825693
51,Nordeste,Alagoas,2700102,Água Branca,20196,0,0,0,0,0.0385290365545643,1.02444717827362
52,Centro-Oeste,Mato Grosso do Sul,5000203,Água Clara,15522,0,0,0,0,0.673939642780397,5.57377188992119
53,Sudeste,Minas Gerais,3100708,Água Comprida,1999,0,0,0,0,0.0424850100756089,1.13311711757781
54,Sul,Santa Catarina,4200408,Água Doce,7145,0,0,0,0,0.119258884317105,2.53935645451748
55,Nordeste,Maranhão,2100154,Água Doce do Maranhão,12571,0,0,0,0,0.0360581865618101,1.14319952533818
56,Sudeste,Espírito Santo,3200169,Água Doce do Norte,11019,0,0,0,0,0.0405323992662829,1.51268915606211
57,Nordeste,Bahia,2900405,Água Fria,16970,0,0,0,0,0.0616368103443108,1.13086189709563
58,Centro-Oeste,Goiás,5200175,Água Fria de Goiás,5735,0,0,0,0,0.170462262261765,2.63542081916279
59,Centro-Oeste,Goiás,5200209,Água Limpa,1850,0,0,0,0,0.0386512485791854,1.26360629287414
60,Nordeste,Rio Grande do Norte,2400406,Água Nova,3252,0,0,0,0,0.00414123222526541,0.26975669702414
61,Nordeste,Pernambuco,2600401,Água Preta,36771,0,0,0,0,0.0438227758278629,1.26575764256341
62,Sul,Rio Grande do Sul,4300059,Água Santa,3748,0,0,0,0,0.026831483394858,0.858158825779448
63,Sudeste,São Paulo,3500303,Aguaí,36305,0,0,0,0,0.0415171418856062,1.40752000709518
64,Sudeste,Minas Gerais,3100807,Aguanil,4486,0,0,0,0,0.0201585877733805,0.725214324389228
65,Nordeste,Pernambuco,2600500,Águas Belas,43443,0,0,0,0,0.0728690996116939,1.44319006182586
66,Sudeste,São Paulo,3500402,Águas da Prata,8180,0,0,0,0,0.0124703246029299,0.6395709659092
67,Sul,Santa Catarina,4200507,Águas de Chapecó,6486,0,0,0,0,0.0127206222409768,0.850622472847702
68,Sudeste,São Paulo,3500501,Águas de Lindóia,18705,0,0,0,0,0.00527583060363668,0.381990932544566
69,Sudeste,São Paulo,3500550,Águas de Santa Bárbara,6075,0,0,0,0,0.0355872327357929,1.10374219138697
70,Sudeste,São Paulo,3500600,Águas de São Pedro,3451,0,0,0,0,0.000317232735710604,0.0843867742178504
71,Sudeste,Minas Gerais,3100906,Águas Formosas,19207,0,0,0,0,0.0696035440824403,1.47626646678297
72,Sul,Santa Catarina,4200556,Águas Frias,2366,0,0,0,0,0.00691435722183087,0.597467594179489
73,Centro-Oeste,Goiás,5200258,Águas Lindas de Goiás,212440,0,0,0,0,0.0158863405344505,0.69950175109027
74,Sul,Santa Catarina,4200606,Águas Mornas,6469,0,0,0,0,0.0299595920888578,1.00239773192679
75,Sudeste,Minas Gerais,3101003,Águas Vermelhas,13539,0,0,0,0,0.105932344613223,2.37074384892674
76,Sul,Rio Grande do Sul,4300109,Agudo,16461,0,0,0,0,0.0499322749112707,1.65601741975175
77,Sudeste,São Paulo,3500709,Agudos,37214,0,0,0,0,0.0848837494783083,2.04152230000533
78,Sul,Paraná,4100301,Agudos do Sul,9371,0,0,0,0,0.0173375897014694,0.99358674423928
79,Sudeste,Espírito Santo,3200136,Águia Branca,9642,0,0,0,0,0.0389849373726747,1.62757116713077
80,Nordeste,Paraíba,2500205,Aguiar,5640,0,0,0,0,0.028213510472284,0.993151595479852
81,Norte,Tocantins,1700301,Aguiarnópolis,6733,0,0,0,0,0.0192432697429865,0.679384197272344
82,Sudeste,Minas Gerais,3101102,Aimorés,25167,0,0,0,0,0.116170046701029,2.2962067935074
83,Nordeste,Bahia,2900603,Aiquara,4446,0,0,0,0,0.0140504808513242,0.678245129705723
84,Nordeste,Ceará,2300408,Aiuaba,17399,0,0,0,0,0.199061274891832,2.56207341613139
85,Sudeste,Minas Gerais,3101201,Aiuruoca,6003,0,0,0,0,0.0568011011544058,1.41443839417718
86,Sul,Rio Grande do Sul,4300208,Ajuricaba,7024,0,0,0,0,0.0297108338235148,1.41407238722331
87,Sudeste,Minas Gerais,3101300,Alagoa,2674,0,0,0,0,0.0141298511113632,0.632603842985983
88,Nordeste,Paraíba,2500304,Alagoa Grande,28496,0,0,0,0,0.0262364130469308,0.812589991625431
89,Nordeste,Paraíba,2500403,Alagoa Nova,20849,0,0,0,0,0.0100060341533066,0.524091896497247
90,Nordeste,Paraíba,2500502,Alagoinha,14489,0,0,0,0,0.00793564543495506,0.453533697408792
91,Nordeste,Pernambuco,2600609,Alagoinha,14636,0,0,0,0,0.0177746987652085,0.591533959427692
92,Nordeste,Piauí,2200251,Alagoinha do Piauí,7651,0,0,0,0,0.0438412297433217,0.950143068024215
93,Nordeste,Bahia,2900702,Alagoinhas,151596,18,11.8736642127761,10,6.59648011820892,0.0587570164182978,1.31901648003809
94,Sudeste,São Paulo,3500758,Alambari,6025,0,0,0,0,0.0141137886274691,0.695510313021305
95,Sudeste,Minas Gerais,3101409,Albertina,3007,0,0,0,0,0.00508033403286845,0.390549520313478
96,Nordeste,Maranhão,2100204,Alcântara,22097,0,0,0,0,0.118542537609571,2.02552027263243
97,Nordeste,Ceará,2300507,Alcântaras,11714,0,0,0,0,0.011281946477169,0.606221486580384
98,Nordeste,Paraíba,2500536,Alcantil,5492,0,0,0,0,0.0250782006346242,0.860499403821839
99,Centro-Oeste,Mato Grosso do Sul,5000252,Alcinópolis,5343,0,0,0,0,0.375786527534501,4.12997236481427
100,Nordeste,Bahia,2900801,Alcobaça,22470,0,0,0,0,0.125955592176297,1.7425154369307
101,Nordeste,Maranhão,2100303,Aldeias Altas,26532,0,0,0,0,0.158257808684581,2.01177820603083
102,Sul,Rio Grande do Sul,4300307,Alecrim,5950,0,0,0,0,0.0289660865188353,1.10671560739938
103,Sudeste,Espírito Santo,3200201,Alegre,30084,0,0,0,0,0.0669425150061898,1.73750207054233
104,Sul,Rio Grande do Sul,4300406,Alegrete,73589,8,10.871189987634,8,10.871189987634,0.727947277848443,5.78109780973047
105,Nordeste,Piauí,2200277,Alegrete do Piauí,4915,0,0,0,0,0.0199542059639839,0.619336566416077
106,Sul,Rio Grande do Sul,4300455,Alegria,3464,0,0,0,0,0.0158156458621761,0.998141383425508
107,Sudeste,Minas Gerais,3101508,Além Paraíba,35362,5,14.1394717493354,5,14.1394717493354,0.0445716348803558,1.45098578727733
108,Norte,Pará,1500404,Alenquer,56789,0,0,0,0,1.92131568878889,11.2696436343375
109,Nordeste,Rio Grande do Norte,2400505,Alexandria,13577,0,0,0,0,0.0311564383572858,1.07023895256781
110,Centro-Oeste,Goiás,5200308,Alexânia,27653,0,0,0,0,0.0716180298517202,1.48233730380403
111,Sudeste,Minas Gerais,3101607,Alfenas,79996,27,33.7516875843792,20,25.0012500625031,0.0740693925278038,1.74481715648848
112,Sudeste,Espírito Santo,3200300,Alfredo Chaves,14601,0,0,0,0,0.0533339881828283,1.68475589719222
113,Sudeste,São Paulo,3500808,Alfredo Marcondes,4166,0,0,0,0,0.0103952749873315,0.553634221988467
114,Sudeste,Minas Gerais,3101631,Alfredo Vasconcelos,6907,0,0,0,0,0.0113744009009338,0.659585336662186
115,Sul,Santa Catarina,4200705,Alfredo Wagner,10036,0,0,0,0,0.0670455282842113,1.31079517945758
116,Nordeste,Paraíba,2500577,Algodão de Jandaíra,2567,0,0,0,0,0.0180197276113461,0.817209519042371
117,Nordeste,Paraíba,2500601,Alhandra,19588,0,0,0,0,0.0149592380002446,0.788593615203536
118,Nordeste,Pernambuco,2600708,Aliança,38386,0,0,0,0,0.0222991729227431,0.818595509089296
119,Norte,Tocantins,1700350,Aliança do Tocantins,5390,0,0,0,0,0.130824732492556,2.45146407603447
120,Nordeste,Bahia,2900900,Almadina,5464,0,0,0,0,0.0205798059093922,0.61941122665605
121,Norte,Tocantins,1700400,Almas,7055,0,0,0,0,0.3324641477098,4.17953857683187
122,Norte,Pará,1500503,Almeirim,34109,0,0,0,0,5.92804208800177,17.137101533222
123,Sudeste,Minas Gerais,3101706,Almenara,41896,0,0,0,0,0.19380275028351,2.92609681568098
124,Nordeste,Rio Grande do Norte,2400604,Almino Afonso,4735,0,0,0,0,0.0104605193328524,0.599157167508035
125,Sul,Paraná,4100400,Almirante Tamandaré,118623,0,0,0,0,0.0174563952318749,0.798191826562272
126,Sul,Rio Grande do Sul,4300471,Almirante Tamandaré do Sul,1964,0,0,0,0,0.0243737756441078,1.31297399033743
127,Centro-Oeste,Goiás,5200506,Aloândia,1995,0,0,0,0,0.00870090676841073,0.444623601128411
128,Sudeste,Minas Gerais,3101805,Alpercata,7424,0,0,0,0,0.0143248937390581,0.728142571280248
129,Sul,Rio Grande do Sul,4300505,Alpestre,6258,0,0,0,0,0.0295745965462402,1.22777051381955
130,Sudeste,Minas Gerais,3101904,Alpinópolis,19853,0,0,0,0,0.0394687003593504,1.39078080299833
131,Centro-Oeste,Mato Grosso,5100250,Alta Floresta,51782,10,19.3117299447685,0,0,0.738427204133018,5.55663750226317
132,Norte,Rondônia,1100015,Alta Floresta D'Oeste,22945,0,0,0,0,0.587648280508063,5.80735040285881
133,Sudeste,São Paulo,3500907,Altair,4160,0,0,0,0,0.0271093816951407,0.991231722701844
134,Norte,Pará,1500602,Altamira,114594,10,8.72646037314345,10,8.72646037314345,13.0473261627722,29.8978570861169
135,Nordeste,Maranhão,2100402,Altamira do Maranhão,8128,0,0,0,0,0.0427105970885577,1.24385890212692
136,Sul,Paraná,4100459,Altamira do Paraná,1942,0,0,0,0,0.03455150665377,1.7990993651145
