FID,CD_MUN,NM_MUN,EST_POP_19,Shape__Area,Shape__Length,COD_UF
1,4215604,Santa Rosa de Lima,2142,261710627.003906,106566.313846304,42
2,4205175,Entre Rios,3203,130780856.304688,72773.4519154512,42
3,4319372,São Pedro do Butiá,2947,138802841.503906,70370.9832785315,43
4,1100015,Alta Floresta D'Oeste,22945,7458273376.30273,655163.720092659,11
5,2511202,Pedras de Fogo,28458,416167802.902832,102455.086740377,25
6,1100023,Ariquemes,107863,4591759471.55518,446317.411322985,11
7,1100031,Cabixi,5312,1398193335.19824,196424.288375053,11
8,1100049,Cacoal,85359,3969130761.32275,333294.128884657,11
9,1100056,Cerejeiras,16323,2954156280.86816,391891.063104425,11
10,1100064,Colorado do Oeste,15882,1539601157.96191,184626.037382023,11
11,1100072,Corumbiara,7391,3241087086.75684,354193.032258424,11
12,1100080,Costa Marques,18331,5250348594.86133,570947.742705106,11
13,1100098,Espigão D'Oeste,32374,4729487601.40723,345573.077164884,11
14,1100106,Guajará-Mirim,46174,26011289618.5801,1028414.26028721,11
15,1100114,Jaru,51775,3066274681.59961,441779.270322905,11
16,1100148,Nova Brasilândia D'Oeste,20474,1786319738.13867,290080.175264657,11
17,1100155,Ouro Preto do Oeste,36035,2051798189.80859,309458.498263088,11
18,1100189,Pimenta Bueno,36660,6557812112.01709,566394.864989629,11
19,1100254,Presidente Médici,18986,1838387590.15576,278131.345329704,11
20,1100262,Rio Crespo,3764,1778561380.9043,211120.243090755,11
21,1100288,Rolim de Moura,55058,1530174268.53125,199757.11486528,11
22,1100296,Santa Luzia D'Oeste,6495,1259874618.59375,202213.431325771,11
23,1100320,São Miguel do Guaporé,23005,7823781785.8291,717229.20602191,11
24,1100338,Nova Mamoré,30583,10475553808.5444,650144.514541005,11
25,1100346,Alvorada D'Oeste,14411,3170012951.47705,448230.301804919,11
26,1100379,Alto Alegre dos Parecis,13241,4181300910.09961,477689.742907017,11
27,1100403,Alto Paraíso,21428,2745894167.15869,405746.767090695,11
28,1100502,Novo Horizonte do Oeste,8538,884943024.899414,157128.045189935,11
29,1100601,Cacaulândia,6230,2039761979.11914,196389.658371236,11
30,1100700,Campo Novo de Rondônia,14139,3582343938.75,391960.900674388,11
31,1100809,Candeias do Jamari,26693,7056327333.54492,747180.212986772,11
32,1100908,Castanheiras,3052,935375008.935547,165518.234531513,11
33,1100924,Chupinguaia,11182,5413465484.08691,479891.24874409,11
34,1100940,Cujubim,25215,3990043400.89502,404607.55281468,11
35,1101005,Governador Jorge Teixeira,7767,5282952216.37891,409830.482743309,11
36,1101104,Itapuã do Oeste,10458,4214731091.63428,469602.833629072,11
37,2104107,Fortaleza dos Nogueiras,12631,1893761289.73438,337075.410026569,21
38,2106706,Mirador,21015,8686896023.17798,584569.935240618,21
39,2106359,Marajá do Sena,7792,1421481857.29712,222561.314847917,21
40,2709400,Viçosa,25733,380293959.362549,102925.577410853,27
41,2709301,União dos Palmares,65611,433969116.245361,117365.267435806,27
42,2708303,São José da Laje,23927,264708368.200928,83546.6573168122,27
43,2504900,Cruz do Espírito Santo,17319,196823010.181885,70145.0559960945,25
44,2705804,Olho d'Água do Casado,9373,338876716.954346,100223.926061309,27
45,2708105,Santana do Mundaú,10740,239690339.358643,81318.7331781387,27
46,2705507,Murici,28236,431960692.102539,108770.881888277,27
47,2700102,Água Branca,20196,483765323.315918,114772.725045682,27
48,5300108,Brasília,3015268,6256690191.24219,436265.058525414,53
49,2703809,Joaquim Gomes,23993,307745479.337158,115708.394861976,27
50,2703007,Ibateguara,15616,273642028.65625,77733.8557345112,27
51,2702801,Flexeiras,12790,344788524.251465,101690.262102785,27
52,2701902,Chã Preta,7311,163046049.16748,59008.9790525181,27
53,2701704,Capela,17053,272608150.367676,105208.839637438,27
54,2701100,Branquinha,10494,173579315.223877,83110.0519831076,27
55,2111607,São Raimundo das Mangabeiras,18868,3598203826.354,311577.446714493,21
56,2111722,Satubinha,13914,446861559.137451,137731.025564752,21
57,2111748,Senador Alexandre Costa,11141,432919132.408447,97753.4502619343,21
58,2102754,Capinzal do Norte,10934,598450286.235596,117628.146149373,21
59,2102804,Carolina,24322,6592330119.45947,650760.229710052,21
60,2703601,Japaratinga,8361,88098898.1520996,48031.6230951059,27
61,2704500,Maragogi,32704,344653254.103271,82899.5968759148,27
62,2706448,Paripueira,13176,95958769.4567871,56095.1385651699,27
63,5101407,Aripuanã,22354,26083646572.6211,1022180.5951967,51
64,5102850,Castanheira,8729,4081396067.23877,350462.834889214,51
65,5105150,Juína,40997,27451145463.4434,1081954.67540737,51
66,4309951,Ibirapuitã,4013,400117342.166016,130014.235336768,43
67,4312674,Nicolau Vergueiro,1682,201502804.960938,91194.8316472739,43
68,4320800,Soledade,31002,1589189338.66406,343379.093034481,43
69,4321469,Tio Hugo,3030,148304880.998047,78692.12760584,43
70,4301925,Barra do Rio Azul,1690,187225500.988281,91276.4960853411,43
71,4300901,Aratiba,6235,435835218.640625,146774.322943168,43
72,4301701,Barão de Cotegipe,6623,332784889.15625,93306.0101529486,43
73,4310702,Itatiba do Sul,3324,270647010.683594,129821.20103281,43
74,2510303,Nova Palmeira,4906,321153405.428955,100638.713494629,25
75,2103109,Cedral,10675,283481036.293396,113979.653586737,21
76,2925204,Pojuca,39519,332081334.462891,110016.143283648,29
77,2103307,Codó,122859,4418931870.55493,423388.816472067,21
78,2103406,Coelho Neto,49435,987455081.383301,157035.216630302,21
79,2103752,Davinópolis,12908,341230179.873047,102247.572030503,21
80,2103802,Dom Pedro,23350,363657083.731445,100055.505970392,21
81,2104073,Feira Nova do Maranhão,8504,1505386627.55615,190723.130804313,21
82,2510808,Patos,107605,483151279.523682,163772.435909791,25
83,4323309,Vila Flores,3385,140853299.550781,65998.9123947111,43
84,2103901,Duque Bacelar,11349,321690179.850342,99779.7908055845,21
85,2104206,Fortuna,15552,706471889.391846,153734.254305572,21
86,2507309,Jacaraú,14431,261987604.165771,99242.7059537414,25
87,4206009,Governador Celso Ramos,14471,162390350.635742,72689.383076234,42
88,4202305,Biguaçu,68481,466112922.824219,121734.25628753,42
89,5002209,Bonito,21976,6198461018.7832,541474.104461479,50
90,2104503,Governador Archer,10840,452240710.639648,113855.370460517,21
91,2104552,Governador Edison Lobão,18296,626149777.906738,147149.419293371,21
92,2104602,Governador Eugênio Barros,16828,829700164.547607,175321.625028905,21
93,2104628,Governador Luiz Rocha,7807,379169520.416992,133695.152632818,21
94,2112001,Tasso Fragoso,8521,4505996775.96338,433962.262457171,21
95,2112100,Timbiras,29124,1504389780.65332,194014.655870875,21
96,2112407,Turiaçu,35604,2612109530.69824,333944.159256214,21
97,2106805,Mirinzal,14962,693269710.72937,148857.433523861,21
98,2107258,Nova Colinas,5384,759721009.915527,127789.390035146,21
99,2107308,Nova Iorque,4683,997081935.878174,202496.392716033,21
100,2107357,Nova Olinda do Maranhão,20928,2475399292.56494,320472.242393525,21
101,2107407,Olho d'Água das Cunhãs,19505,703562287.024658,137146.492555348,21
102,2109403,Primeira Cruz,15315,1346701705.46277,229022.847843345,21
103,2109700,Sambaíba,5671,2537356164.18237,445518.051652208,21
104,2110278,Santo Amaro do Maranhão,15846,1598828441.27661,231361.896148191,21
105,2510600,Ouro Velho,3039,131245214.329346,61355.8398178936,25
106,2104404,Gonçalves Dias,17934,896686144.537109,141184.106907177,21
107,2509396,Maturéia,6569,84960797.8007813,49239.7314528833,25
108,2508109,Lagoa,4666,180179788.244873,66731.9358471721,25
109,2100105,Afonso Cunha,6524,375824377.032715,93081.5992121905,21
110,2100154,Água Doce do Maranhão,12571,447425927.030029,127342.544982236,21
111,2100303,Aldeias Altas,26532,1967207630.5564,224233.728790356,21
112,2100501,Alto Parnaíba,11190,11517880737.8486,569296.860866074,21
113,2100550,Amapá do Maranhão,6962,506222879.979675,101922.883064079,21
114,2104677,Governador Nunes Freire,25577,1045453247.5116,176286.571755704,21
115,2104701,Graça Aranha,6262,275701273.079102,95013.865306377,21
116,2105005,Humberto de Campos,28717,1729478719.48877,332455.351127183,21
117,2110237,Santana do Maranhão,13386,941191123.092773,167269.935325161,21
118,2110658,São Domingos do Azeitão,7392,981119859.141357,150956.187912404,21
119,2110708,São Domingos do Maranhão,34376,1170889472.33813,197188.726264275,21
120,2110807,São Félix de Balsas,4585,2077327049.8269,267311.857216674,21
121,2509701,Monteiro,33222,1018333933.38647,172104.723318369,25
122,2105104,Icatu,27113,1134700944.10901,216463.039336273,21
123,2105302,Imperatriz,258682,1390097954.06104,224346.224916292,21
124,2105450,Jatobá,10153,601559930.512939,121456.351820883,21
125,2108009,Pastos Bons,19472,1668292903.88208,221634.03147948,21
126,2108058,Paulino Neves,16035,988763824.633667,160624.380014792,21
127,2108454,Peritoró,23196,835172122.875732,115501.12495994,21
128,2108702,Pio XII,21485,551272381.772461,131328.065955688,21
129,2109056,Porto Rico do Maranhão,5975,250572096.087708,119801.232265658,21
130,2510105,Nova Floresta,10638,48499113.394043,35531.5796297091,25
131,2100907,Araioses,46440,1803173537.20325,267386.293389262,21
132,2101103,Axixá,12130,160956772.899536,73072.8994963,21
133,2101400,Balsas,94887,13505292923.6135,915503.444144564,21
134,2101806,Benedito Leite,5632,1821389848.87915,307515.999868448,21
135,1101302,Mirante da Serra,10947,1245289316.94922,221087.17702665,11
136,1101401,Monte Negro,15852,2006678046.75146,265412.881455711,11
