FID,CD_UF,NM_UF,NM_REGIAO,EST_POP_19,Shape__Area,Shape__Length
1,11,Rondônia,Norte,1777225,248286995664.163,3603391.28213843
2,12,Acre,Norte,881935,169564301653.951,2897316.04883071
3,13,Amazonas,Norte,4144597,1581655857016.11,8429709.47441077
4,14,Roraima,Norte,605761,225597619862.759,3849121.23982709
5,15,Pará,Norte,8602865,1263866028767.76,7818883.27290824
6,16,Amapá,Norte,845731,143578453086.411,2568656.20157349
7,17,Tocantins,Norte,1572866,288501816010.445,4582657.28070638
8,21,Maranhão,Nordeste,7075181,334816188884.3,5793925.62199253
9,22,Piauí,Nordeste,3273227,257925491714.2,3455073.78388037
10,23,Ceará,Nordeste,9132078,151140177538.908,2178681.18795944
11,24,Rio Grande do Norte,Nordeste,3506853,53717640321.3599,1552202.14700225
12,25,Paraíba,Nordeste,4018127,57726458559.0259,2136243.03019727
13,26,Pernambuco,Nordeste,9557071,100821361785.83,2920365.71617856
14,27,Alagoas,Nordeste,3337357,28808804699.9648,1106232.49801177
15,28,Sergipe,Nordeste,2298696,22835223139.2266,1015476.59179988
16,29,Bahia,Nordeste,14873064,596773946600.411,6360381.82311035
17,31,Minas Gerais,Sudeste,21168791,656238606968.679,6530113.49140872
18,32,Espírito Santo,Sudeste,4018650,52186158008.542,1701276.77861701
19,33,Rio de Janeiro,Sudeste,17264943,51284465272.8809,3552642.60497178
20,35,São Paulo,Sudeste,45919049,291377997803.39,4737858.27835306
21,41,Paraná,Sul,11433957,242361640348.764,3240154.0243545
22,42,Santa Catarina,Sul,7164788,121616869135.591,3756177.67416995
23,43,Rio Grande do Sul,Sul,11377239,375560860247.646,4322117.41006207
24,50,Mato Grosso do Sul,Centro-Oeste,2778986,408569123059.793,4111220.652593
25,51,Mato Grosso,Centro-Oeste,3484466,958419652061.17,6240167.57739012
26,52,Goiás,Centro-Oeste,7018354,370765619233.48,5169893.24542573
27,53,Distrito Federal,Centro-Oeste,3015268,6256690191.24219,436265.058525414
