OBJECTID,Codigo_Municipio,Nome_municipio,Nome_Estado,GR,Pop_Total,Total_Medicos,Medicos_SUS,Medicos_100mil_hab_Ind,Medicos_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
1,5200050,Abadia de Goiás,Goiás,Centro-Oeste,8773,16,16,182.37774991451,182.37774991451,0.0124816475622538,0.591110230038338
2,3100104,Abadia dos Dourados,Minas Gerais,Sudeste,6989,14,14,200.314780369151,200.314780369152,0.0753144965986507,1.95912445673287
3,5200100,Abadiânia,Goiás,Centro-Oeste,20042,16,16,79.8323520606726,79.8323520606726,0.0883201093906223,1.81134961906781
4,3100203,Abaeté,Minas Gerais,Sudeste,23237,51,48,219.477557343891,206.567112794251,0.155999091973342,2.43461286121149
5,1500107,Abaetetuba,Pará,Norte,157698,90,82,57.0711106038124,51.9981229945846,0.130888576843759,1.82953870027611
6,2300101,Abaiara,Ceará,Nordeste,11737,10,9,85.2006475249212,76.6805827724291,0.0147481592989038,0.534500781257564
7,2900108,Abaíra,Bahia,Nordeste,8739,3,3,34.3288705801579,34.3288705801579,0.0449363554398587,1.43922362369565
8,2900207,Abaré,Bahia,Nordeste,20086,12,12,59.743104650005,59.743104650005,0.131907828830037,1.70817257987122
9,4100103,Abatiá,Paraná,Sul,7457,6,6,80.4613115193778,80.4613115193778,0.0201897952706531,1.07449792829056
10,4200051,Abdon Batista,Santa Catarina,Sul,2563,2,2,78.0335544284042,78.0335544284042,0.0215542110956903,0.916697439607404
11,1500131,Abel Figueiredo,Pará,Norte,7434,6,6,80.7102502017756,80.7102502017756,0.0500731897972742,1.30356045561117
12,4200101,Abelardo Luz,Santa Catarina,Sul,17904,41,33,228.999106344951,184.316353887399,0.0863326919833298,1.75238350748399
13,3100302,Abre Campo,Minas Gerais,Sudeste,13454,18,18,133.789207670581,133.789207670581,0.0406871042849843,1.22928152572525
14,2600054,Abreu e Lima,Pernambuco,Nordeste,99990,131,108,131.013101310131,108.010801080108,0.0103472048666333,0.812613520345185
15,1700251,Abreulândia,Tocantins,Norte,2579,1,1,38.7747188832881,38.7747188832881,0.156044573582506,3.4937976948294
16,3100401,Acaiaca,Minas Gerais,Sudeste,3994,3,3,75.1126690035053,75.1126690035053,0.00881681392661449,0.516546528525998
17,2100055,Açailândia,Maranhão,Nordeste,112445,97,76,86.2643959268976,67.5885988705589,0.473329341360753,4.47424613253423
18,2900306,Acajutiba,Bahia,Nordeste,15159,8,6,52.7739296787387,39.580447259054,0.0150456642862196,0.706970804070788
19,1500206,Acará,Pará,Norte,55591,12,12,21.5862279865446,21.5862279865446,0.353115006928149,3.95607093327893
20,2300150,Acarape,Ceará,Nordeste,14929,11,11,73.682095250854,73.682095250854,0.0126393751954907,0.558007214324748
21,2300200,Acaraú,Ceará,Nordeste,62641,48,45,76.6271291965326,71.8379336217493,0.0685395968641416,2.06700666026052
22,2400109,Acari,Rio Grande do Norte,Nordeste,11136,6,6,53.8793103448276,53.8793103448276,0.04973495418011,1.08468906871531
23,2200053,Acauã,Piauí,Nordeste,7084,2,2,28.2326369282891,28.2326369282891,0.10502748602056,1.75435719183372
24,4300034,Aceguá,Rio Grande do Sul,Sul,4901,5,5,102.0199959192,102.0199959192,0.147248979063761,2.30952158560429
25,2300309,Acopiara,Ceará,Nordeste,54270,23,18,42.3806891468583,33.167495854063,0.185066488837876,2.96731549571066
26,5100102,Acorizal,Mato Grosso,Centro-Oeste,5399,2,2,37.0438970179663,37.0438970179663,0.0717142052370718,1.85530431655262
27,1200013,Acrelândia,Acre,Norte,15256,5,4,32.7739905610907,26.2191924488726,0.149057078228623,2.29210837166332
28,5200134,Acreúna,Goiás,Centro-Oeste,22366,16,14,71.5371546096754,62.595010283466,0.133201917582028,2.28785043025261
29,2400208,Açu,Rio Grande do Norte,Nordeste,58017,65,54,112.036127341986,93.0761673302653,0.106375163593427,1.6154283602144
30,3100500,Açucena,Minas Gerais,Sudeste,9470,5,5,52.7983104540655,52.7983104540655,0.069985001515704,1.78534098870111
31,3500105,Adamantina,São Paulo,Sudeste,35068,140,130,399.22436409262,370.708338086004,0.035927172507968,1.20271955874888
32,5200159,Adelândia,Goiás,Centro-Oeste,2516,4,4,158.982511923688,158.982511923688,0.00975693321390736,0.607893387523015
33,3500204,Adolfo,São Paulo,Sudeste,3562,6,6,168.444693992139,168.444693992139,0.0183695506761978,0.833896249411956
34,4100202,Adrianópolis,Paraná,Sul,5919,7,6,118.263220138537,101.36847440446,0.120455161807399,2.52867513412477
35,2900355,Adustina,Bahia,Nordeste,17040,8,8,46.9483568075117,46.9483568075117,0.0522171444295054,1.13258828769439
36,2600104,Afogados da Ingazeira,Pernambuco,Nordeste,37259,87,84,233.500630720095,225.448884833195,0.0309585745224297,0.974395580490603
37,2400307,Afonso Bezerra,Rio Grande do Norte,Nordeste,11035,4,4,36.2483008608971,36.2483008608971,0.0470178259547396,1.2044248558981
38,3200102,Afonso Cláudio,Espírito Santo,Sudeste,30586,33,33,107.892499836527,107.892499836527,0.0812880877216458,1.8577875523148
39,2100105,Afonso Cunha,Maranhão,Nordeste,6524,3,3,45.9840588595953,45.9840588595953,0.030245753907181,0.834965751110195
40,2600203,Afrânio,Pernambuco,Nordeste,19635,20,19,101.858925388337,96.7659791189203,0.122443222459424,2.13078854263315
41,1500305,Afuá,Pará,Norte,39218,14,14,35.6978938242644,35.6978938242644,0.680226939069037,4.34668143438751
42,2600302,Agrestina,Pernambuco,Nordeste,24885,31,25,124.573035965441,100.462125778581,0.0164697047127049,0.740615119466117
43,2200103,Agricolândia,Piauí,Nordeste,5139,3,3,58.3771161704612,58.3771161704612,0.00917865126186257,0.674671461559286
44,4200200,Agrolândia,Santa Catarina,Sul,10864,8,7,73.6377025036819,64.4329896907217,0.018947900798139,0.914467266188357
45,4200309,Agronômica,Santa Catarina,Sul,5448,4,4,73.4214390602056,73.4214390602056,0.0118467566438767,0.635565753828522
46,1500347,Água Azul do Norte,Pará,Norte,27430,15,15,54.6846518410499,54.6846518410499,0.581895956911012,4.63145016534244
47,3100609,Água Boa,Minas Gerais,Sudeste,13735,11,7,80.0873680378595,50.9646887513651,0.112651883795195,2.25987958794398
48,5100201,Água Boa,Mato Grosso,Centro-Oeste,25721,40,21,155.514948874461,81.6453481590918,0.628304512545981,4.89465527587101
49,2200202,Água Branca,Piauí,Nordeste,17411,13,13,74.6654413876285,74.6654413876285,0.00792469380635907,0.444861169203034
50,2500106,Água Branca,Paraíba,Nordeste,10234,10,10,97.7135040062537,97.7135040062537,0.0193825303048811,0.742483594825693
