,País,Profissionais de enfermagem - Total,Profissionais de enfermagem a cada 10k habitantes,Médicos - Total,Médicos a cada 10k habitantes
0,Afghanistan,6370,1.76,9842,2.78
1,Albania,10534,36.49,3511,12.16
2,Algeria,65359,15.48,72604,17.19
3,Andorra,313,40.13,260,33.33
4,Angola,12554,4.08,6400,2.15
5,Antigua and Barbuda,435,45.17,282,29.56
6,Argentina,114219,26.0,175313,39.9
7,Armenia,17984,61.07,12964,44.02
8,Australia,308556,125.51,90417,36.78
9,Austria,2338,2.63,45596,51.7
10,Azerbaijan,61157,64.34,32756,34.46
11,Bahamas,1761,45.67,766,20.07
12,Bahrain,3422,24.94,1270,9.26
13,Bangladesh,66544,4.12,93741,5.81
14,Barbados,877,30.6,711,24.84
15,Belarus,103859,110.03,48995,51.9
16,Belgium,223460,194.61,35069,30.71
17,Belize,897,23.41,422,11.23
18,Benin,4465,3.89,908,0.79
19,Bhutan,1397,18.52,320,4.24
20,Bolivia (Plurinational State of),17449,15.59,17542,15.9
21,Bosnia and Herzegovina,19057,57.33,7413,21.62
22,Botswana,12179,54.03,1138,5.27
23,Brazil,2119620,101.19,453351,21.64
24,Brunei Darussalam,2530,58.97,683,16.09
25,Bulgaria,34671,48.16,29038,40.33
26,Burkina Faso,16945,8.83,1626,0.85
27,Burundi,9231,8.53,1084,1.0
28,Cabo Verde,706,12.98,410,7.81
29,Cambodia,11140,6.86,2944,1.93
30,Cameroon,127,0.06,1842,0.88
31,Canada,368664,99.44,84063,23.1
32,Central African Republic,927,2.06,324,0.72
33,Chad,3487,2.32,651,0.43
34,Chile,249563,133.25,48531,25.91
35,China,3804021,26.62,2828999,19.8
36,Colombia,66095,13.31,108499,21.85
37,Comoros,500,6.28,216,2.72
38,Congo,3289,6.27,723,1.64
39,Cook Islands,118,67.43,25,14.12
40,Costa Rica,17070,34.14,14468,28.94
41,Croatia,34184,81.22,12624,30.0
42,Cuba,85732,75.61,95487,84.22
43,Cyprus,6145,52.51,2283,19.51
44,Czechia,89337,83.96,43951,41.21
45,Côte d'Ivoire,15163,6.05,5240,2.31
46,Democratic People's Republic of Korea,113135,44.49,93667,36.83
47,Democratic Republic of the Congo,93326,11.1,5832,0.74
48,Denmark,58938,103.2,22902,40.1
49,Djibouti,655,7.29,201,2.24
50,Dominica,461,64.39,80,11.19
51,Dominican Republic,14668,13.8,14983,15.27
52,Ecuador,42811,25.06,33589,20.37
53,Egypt,189579,19.26,44502,4.52
54,El Salvador,11778,18.34,9955,15.66
55,Equatorial Guinea,634,5.02,507,4.02
56,Eritrea,4971,14.4,212,0.63
57,Estonia,14758,111.56,5931,44.83
58,Eswatini,4706,41.42,366,3.28
59,Ethiopia,77931,7.14,8395,0.77
60,Fiji,2982,33.75,747,8.6
61,Finland,81022,147.37,20956,38.12
62,France,745485,114.71,212337,32.67
63,Gabon,6083,29.46,1408,6.82
64,Gambia,3222,15.45,213,1.02
65,Georgia,18931,47.29,28501,71.2
66,Germany,1094000,132.35,351195,42.49
67,Ghana,125024,42.0,3957,1.36
68,Greece,38400,36.33,57909,54.79
69,Grenada,700,62.84,156,14.07
70,Guatemala,1271,0.74,6122,3.55
71,Guinea,1453,1.24,977,0.83
72,Guinea-Bissau,1284,6.85,227,1.27
73,Guyana,810,10.4,625,8.02
74,Haiti,7561,6.8,2606,2.34
75,Honduras,7054,7.36,2913,3.09
76,Hungary,67134,69.16,33078,34.08
77,Iceland,5459,162.13,1373,40.78
78,India,2336204,17.27,1159309,8.57
79,Indonesia,646405,24.15,114271,4.27
80,Iran (Islamic Republic of),36211,4.43,129604,15.84
81,Iraq,78588,20.45,27208,7.08
82,Ireland,76526,161.0,15962,33.12
