,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes
0,110001,Alta Floresta D'Oeste,22945,RO,23,0,23,100.0,10.02,17,2,19,89.47,8.28,1,1,2,50.0,8.72,43,6,49,87.76,21.36,2,0,2,100.0,0.87,0,0,0,0.0,0.0
1,110037,Alto Alegre dos Parecis,13241,RO,10,0,10,100.0,7.55,6,0,6,100.0,4.53,1,0,1,100.0,7.55,16,0,16,100.0,12.08,0,0,0,0.0,0.0,0,0,0,0.0,0.0
2,110040,Alto Paraíso,21428,RO,9,0,9,100.0,4.2,10,0,10,100.0,4.67,1,0,1,100.0,4.67,16,0,16,100.0,7.47,0,0,0,0.0,0.0,0,0,0,0.0,0.0
3,110034,Alvorada D'Oeste,14411,RO,14,0,14,100.0,9.71,6,1,7,85.71,4.86,0,0,0,0.0,0.0,35,0,35,100.0,24.29,0,0,0,0.0,0.0,0,0,0,0.0,0.0
4,110002,Ariquemes,107863,RO,90,12,102,88.24,9.46,123,38,161,76.4,14.93,3,8,11,27.27,10.2,155,105,260,59.62,24.1,15,39,54,27.78,5.01,6,0,6,100.0,0.56
5,110045,Buritis,39654,RO,24,4,28,85.71,7.06,26,1,27,96.3,6.81,1,2,3,33.33,7.57,32,34,66,48.48,16.64,0,1,1,0.0,0.25,0,0,0,0.0,0.0
6,110003,Cabixi,5312,RO,8,0,8,100.0,15.06,7,0,7,100.0,13.18,0,0,0,0.0,0.0,9,0,9,100.0,16.94,0,0,0,0.0,0.0,0,0,0,0.0,0.0
7,110060,Cacaulândia,6230,RO,4,0,4,100.0,6.42,1,0,1,100.0,1.61,1,0,1,100.0,16.05,26,0,26,100.0,41.73,0,0,0,0.0,0.0,0,0,0,0.0,0.0
8,110004,Cacoal,85359,RO,198,18,216,91.67,25.3,264,80,344,76.74,40.3,2,5,7,28.57,8.2,287,73,360,79.72,42.17,27,26,53,50.94,6.21,0,16,16,0.0,1.87
9,110070,Campo Novo de Rondônia,14139,RO,12,0,12,100.0,8.49,3,0,3,100.0,2.12,1,0,1,100.0,7.07,19,0,19,100.0,13.44,0,0,0,0.0,0.0,0,0,0,0.0,0.0
