Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
52,120001,Acrelândia,15256,AC,9,0,9,100.0,5.9,6,1,7,85.71,4.59,0,0,0,0.0,0.0,16,0,16,100.0,10.49,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Acrelândia<br><br>População:  15256<br>Enfermeiros SUS:  9<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  9<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  5.9,Acrelândia<br><br>População:  15256<br>Médicos SUS:  6<br>Médicos não-SUS:  1<br>Médicos - Total:  7<br>% de médicos SUS:  85.71<br>Médicos a cada 10k habitantes:  4.59,Acrelândia<br><br>População:  15256<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Acrelândia<br><br>População:  15256<br>Leitos (internação) SUS:  16<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  16<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  10.49,Acrelândia<br><br>População:  15256<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Acrelândia<br><br>População:  15256<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
53,120005,Assis Brasil,7417,AC,8,0,8,100.0,10.79,8,0,8,100.0,10.79,0,0,0,0.0,0.0,12,0,12,100.0,16.18,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Assis Brasil<br><br>População:  7417<br>Enfermeiros SUS:  8<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  8<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.79,Assis Brasil<br><br>População:  7417<br>Médicos SUS:  8<br>Médicos não-SUS:  0<br>Médicos - Total:  8<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  10.79,Assis Brasil<br><br>População:  7417<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Assis Brasil<br><br>População:  7417<br>Leitos (internação) SUS:  12<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  12<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  16.18,Assis Brasil<br><br>População:  7417<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Assis Brasil<br><br>População:  7417<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
54,120010,Brasiléia,26278,AC,52,0,52,100.0,19.79,33,1,34,97.06,12.94,1,0,1,100.0,3.81,35,6,41,85.37,15.6,13,29,42,30.95,15.98,0,14,14,0.0,5.33,Brasiléia<br><br>População:  26278<br>Enfermeiros SUS:  52<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  52<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  19.79,Brasiléia<br><br>População:  26278<br>Médicos SUS:  33<br>Médicos não-SUS:  1<br>Médicos - Total:  34<br>% de médicos SUS:  97.06<br>Médicos a cada 10k habitantes:  12.94,Brasiléia<br><br>População:  26278<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  3.81,Brasiléia<br><br>População:  26278<br>Leitos (internação) SUS:  35<br>Leitos (internação) não-SUS:  6<br>Leitos (internação) - Total:  41<br>% de leitos (internação) SUS:  85.37<br>Leitos (internação) a cada 10k habitantes:  15.6,Brasiléia<br><br>População:  26278<br>Leitos UTI SUS:  13<br>Leitos UTI não-SUS:  29<br>Leitos UTI - Total:  42<br>% de leitos UTI SUS:  30.95<br>Leitos UTI a cada 10k habitantes:  15.98,Brasiléia<br><br>População:  26278<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  14<br>Leitos UTI COVID-19 - Total:  14<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  5.33
55,120013,Bujari,10266,AC,7,0,7,100.0,6.82,3,0,3,100.0,2.92,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Bujari<br><br>População:  10266<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.82,Bujari<br><br>População:  10266<br>Médicos SUS:  3<br>Médicos não-SUS:  0<br>Médicos - Total:  3<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  2.92,Bujari<br><br>População:  10266<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Bujari<br><br>População:  10266<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Bujari<br><br>População:  10266<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Bujari<br><br>População:  10266<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
56,120017,Capixaba,11733,AC,7,0,7,100.0,5.97,3,0,3,100.0,2.56,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Capixaba<br><br>População:  11733<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  5.97,Capixaba<br><br>População:  11733<br>Médicos SUS:  3<br>Médicos não-SUS:  0<br>Médicos - Total:  3<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  2.56,Capixaba<br><br>População:  11733<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Capixaba<br><br>População:  11733<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Capixaba<br><br>População:  11733<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Capixaba<br><br>População:  11733<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
57,120020,Cruzeiro do Sul,88376,AC,143,2,145,98.62,16.41,100,11,111,90.09,12.56,3,2,5,60.0,5.66,169,14,183,92.35,20.71,1,40,41,2.44,4.64,0,10,10,0.0,1.13,Cruzeiro do Sul<br><br>População:  88376<br>Enfermeiros SUS:  143<br>Enfermeiros não-SUS:  2<br>Enfermeiros - Total:  145<br>% de enfermeiros SUS:  98.62<br>Enfermeiros a cada 10k habitantes:  16.41,Cruzeiro do Sul<br><br>População:  88376<br>Médicos SUS:  100<br>Médicos não-SUS:  11<br>Médicos - Total:  111<br>% de médicos SUS:  90.09<br>Médicos a cada 10k habitantes:  12.56,Cruzeiro do Sul<br><br>População:  88376<br>Hospitais públicos:  3<br>Hospitais não-públicos:  2<br>Hospitais - Total:  5<br>% de hospitais públicos:  60.0<br>Hospitais a cada 100k habitantes:  5.66,Cruzeiro do Sul<br><br>População:  88376<br>Leitos (internação) SUS:  169<br>Leitos (internação) não-SUS:  14<br>Leitos (internação) - Total:  183<br>% de leitos (internação) SUS:  92.35<br>Leitos (internação) a cada 10k habitantes:  20.71,Cruzeiro do Sul<br><br>População:  88376<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  40<br>Leitos UTI - Total:  41<br>% de leitos UTI SUS:  2.44<br>Leitos UTI a cada 10k habitantes:  4.64,Cruzeiro do Sul<br><br>População:  88376<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  10<br>Leitos UTI COVID-19 - Total:  10<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  1.13
58,120025,Epitaciolândia,18411,AC,11,0,11,100.0,5.97,2,0,2,100.0,1.09,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Epitaciolândia<br><br>População:  18411<br>Enfermeiros SUS:  11<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  11<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  5.97,Epitaciolândia<br><br>População:  18411<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  1.09,Epitaciolândia<br><br>População:  18411<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Epitaciolândia<br><br>População:  18411<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Epitaciolândia<br><br>População:  18411<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Epitaciolândia<br><br>População:  18411<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
59,120030,Feijó,34780,AC,21,0,21,100.0,6.04,9,0,9,100.0,2.59,1,0,1,100.0,2.88,41,0,41,100.0,11.79,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Feijó<br><br>População:  34780<br>Enfermeiros SUS:  21<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  21<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.04,Feijó<br><br>População:  34780<br>Médicos SUS:  9<br>Médicos não-SUS:  0<br>Médicos - Total:  9<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  2.59,Feijó<br><br>População:  34780<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  2.88,Feijó<br><br>População:  34780<br>Leitos (internação) SUS:  41<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  41<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  11.79,Feijó<br><br>População:  34780<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Feijó<br><br>População:  34780<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
60,120032,Jordão,8317,AC,6,0,6,100.0,7.21,3,0,3,100.0,3.61,0,0,0,0.0,0.0,10,0,10,100.0,12.02,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Jordão<br><br>População:  8317<br>Enfermeiros SUS:  6<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.21,Jordão<br><br>População:  8317<br>Médicos SUS:  3<br>Médicos não-SUS:  0<br>Médicos - Total:  3<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.61,Jordão<br><br>População:  8317<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Jordão<br><br>População:  8317<br>Leitos (internação) SUS:  10<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  10<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  12.02,Jordão<br><br>População:  8317<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Jordão<br><br>População:  8317<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
61,120033,Mâncio Lima,18977,AC,19,0,19,100.0,10.01,4,0,4,100.0,2.11,1,0,1,100.0,5.27,25,0,25,100.0,13.17,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Mâncio Lima<br><br>População:  18977<br>Enfermeiros SUS:  19<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  19<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.01,Mâncio Lima<br><br>População:  18977<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  2.11,Mâncio Lima<br><br>População:  18977<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  5.27,Mâncio Lima<br><br>População:  18977<br>Leitos (internação) SUS:  25<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  25<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  13.17,Mâncio Lima<br><br>População:  18977<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Mâncio Lima<br><br>População:  18977<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
