Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
1650,270010,Água Branca,20196,AL,22,0,22,100.0,10.89,22,0,22,100.0,10.89,0,0,0,0.0,0.0,25,0,25,100.0,12.38,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Água Branca<br><br>População:  20196<br>Enfermeiros SUS:  22<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  22<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.89,Água Branca<br><br>População:  20196<br>Médicos SUS:  22<br>Médicos não-SUS:  0<br>Médicos - Total:  22<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  10.89,Água Branca<br><br>População:  20196<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Água Branca<br><br>População:  20196<br>Leitos (internação) SUS:  25<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  25<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  12.38,Água Branca<br><br>População:  20196<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Água Branca<br><br>População:  20196<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1651,270020,Anadia,17545,AL,14,0,14,100.0,7.98,8,0,8,100.0,4.56,0,0,0,0.0,0.0,25,0,25,100.0,14.25,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Anadia<br><br>População:  17545<br>Enfermeiros SUS:  14<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  14<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.98,Anadia<br><br>População:  17545<br>Médicos SUS:  8<br>Médicos não-SUS:  0<br>Médicos - Total:  8<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.56,Anadia<br><br>População:  17545<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Anadia<br><br>População:  17545<br>Leitos (internação) SUS:  25<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  25<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  14.25,Anadia<br><br>População:  17545<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Anadia<br><br>População:  17545<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1652,270030,Arapiraca,231747,AL,335,10,345,97.1,14.89,508,92,600,84.67,25.89,1,7,8,12.5,3.45,777,202,979,79.37,42.24,125,23,148,84.46,6.39,17,10,27,62.96,1.17,Arapiraca<br><br>População:  231747<br>Enfermeiros SUS:  335<br>Enfermeiros não-SUS:  10<br>Enfermeiros - Total:  345<br>% de enfermeiros SUS:  97.1<br>Enfermeiros a cada 10k habitantes:  14.89,Arapiraca<br><br>População:  231747<br>Médicos SUS:  508<br>Médicos não-SUS:  92<br>Médicos - Total:  600<br>% de médicos SUS:  84.67<br>Médicos a cada 10k habitantes:  25.89,Arapiraca<br><br>População:  231747<br>Hospitais públicos:  1<br>Hospitais não-públicos:  7<br>Hospitais - Total:  8<br>% de hospitais públicos:  12.5<br>Hospitais a cada 100k habitantes:  3.45,Arapiraca<br><br>População:  231747<br>Leitos (internação) SUS:  777<br>Leitos (internação) não-SUS:  202<br>Leitos (internação) - Total:  979<br>% de leitos (internação) SUS:  79.37<br>Leitos (internação) a cada 10k habitantes:  42.24,Arapiraca<br><br>População:  231747<br>Leitos UTI SUS:  125<br>Leitos UTI não-SUS:  23<br>Leitos UTI - Total:  148<br>% de leitos UTI SUS:  84.46<br>Leitos UTI a cada 10k habitantes:  6.39,Arapiraca<br><br>População:  231747<br>Leitos UTI COVID-19 SUS:  17<br>Leitos UTI COVID-19 não-SUS:  10<br>Leitos UTI COVID-19 - Total:  27<br>% de leitos UTI COVID-19 SUS:  62.96<br>Leitos UTI COVID-19 a cada 10k habitantes:  1.17
1653,270040,Atalaia,47185,AL,31,0,31,100.0,6.57,23,0,23,100.0,4.87,0,0,0,0.0,0.0,44,0,44,100.0,9.32,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Atalaia<br><br>População:  47185<br>Enfermeiros SUS:  31<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  31<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.57,Atalaia<br><br>População:  47185<br>Médicos SUS:  23<br>Médicos não-SUS:  0<br>Médicos - Total:  23<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.87,Atalaia<br><br>População:  47185<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Atalaia<br><br>População:  47185<br>Leitos (internação) SUS:  44<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  44<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  9.32,Atalaia<br><br>População:  47185<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Atalaia<br><br>População:  47185<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1654,270050,Barra de Santo Antônio,15932,AL,13,0,13,100.0,8.16,13,0,13,100.0,8.16,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Barra de Santo Antônio<br><br>População:  15932<br>Enfermeiros SUS:  13<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  13<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.16,Barra de Santo Antônio<br><br>População:  15932<br>Médicos SUS:  13<br>Médicos não-SUS:  0<br>Médicos - Total:  13<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  8.16,Barra de Santo Antônio<br><br>População:  15932<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Barra de Santo Antônio<br><br>População:  15932<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Barra de Santo Antônio<br><br>População:  15932<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Barra de Santo Antônio<br><br>População:  15932<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1655,270060,Barra de São Miguel,8322,AL,5,1,6,83.33,7.21,9,0,9,100.0,10.81,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Barra de São Miguel<br><br>População:  8322<br>Enfermeiros SUS:  5<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  83.33<br>Enfermeiros a cada 10k habitantes:  7.21,Barra de São Miguel<br><br>População:  8322<br>Médicos SUS:  9<br>Médicos não-SUS:  0<br>Médicos - Total:  9<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  10.81,Barra de São Miguel<br><br>População:  8322<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Barra de São Miguel<br><br>População:  8322<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Barra de São Miguel<br><br>População:  8322<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Barra de São Miguel<br><br>População:  8322<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1656,270070,Batalha,18232,AL,23,0,23,100.0,12.62,15,0,15,100.0,8.23,0,0,0,0.0,0.0,35,0,35,100.0,19.2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Batalha<br><br>População:  18232<br>Enfermeiros SUS:  23<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  23<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  12.62,Batalha<br><br>População:  18232<br>Médicos SUS:  15<br>Médicos não-SUS:  0<br>Médicos - Total:  15<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  8.23,Batalha<br><br>População:  18232<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Batalha<br><br>População:  18232<br>Leitos (internação) SUS:  35<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  35<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  19.2,Batalha<br><br>População:  18232<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Batalha<br><br>População:  18232<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1657,270080,Belém,4344,AL,2,0,2,100.0,4.6,2,0,2,100.0,4.6,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Belém<br><br>População:  4344<br>Enfermeiros SUS:  2<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  2<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  4.6,Belém<br><br>População:  4344<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.6,Belém<br><br>População:  4344<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Belém<br><br>População:  4344<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Belém<br><br>População:  4344<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Belém<br><br>População:  4344<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1658,270090,Belo Monte,6704,AL,3,0,3,100.0,4.47,5,0,5,100.0,7.46,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Belo Monte<br><br>População:  6704<br>Enfermeiros SUS:  3<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  3<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  4.47,Belo Monte<br><br>População:  6704<br>Médicos SUS:  5<br>Médicos não-SUS:  0<br>Médicos - Total:  5<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  7.46,Belo Monte<br><br>População:  6704<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Belo Monte<br><br>População:  6704<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Belo Monte<br><br>População:  6704<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Belo Monte<br><br>População:  6704<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1659,270100,Boca da Mata,27281,AL,21,0,21,100.0,7.7,11,7,18,61.11,6.6,0,0,0,0.0,0.0,14,0,14,100.0,5.13,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Boca da Mata<br><br>População:  27281<br>Enfermeiros SUS:  21<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  21<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.7,Boca da Mata<br><br>População:  27281<br>Médicos SUS:  11<br>Médicos não-SUS:  7<br>Médicos - Total:  18<br>% de médicos SUS:  61.11<br>Médicos a cada 10k habitantes:  6.6,Boca da Mata<br><br>População:  27281<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Boca da Mata<br><br>População:  27281<br>Leitos (internação) SUS:  14<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  14<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  5.13,Boca da Mata<br><br>População:  27281<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Boca da Mata<br><br>População:  27281<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
