Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
74,130002,Alvarães,16041,AM,14,0,14,100.0,8.73,5,0,5,100.0,3.12,1,0,1,100.0,6.23,22,0,22,100.0,13.71,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alvarães<br><br>População:  16041<br>Enfermeiros SUS:  14<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  14<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.73,Alvarães<br><br>População:  16041<br>Médicos SUS:  5<br>Médicos não-SUS:  0<br>Médicos - Total:  5<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.12,Alvarães<br><br>População:  16041<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  6.23,Alvarães<br><br>População:  16041<br>Leitos (internação) SUS:  22<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  22<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  13.71,Alvarães<br><br>População:  16041<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alvarães<br><br>População:  16041<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
75,130006,Amaturá,11536,AM,19,0,19,100.0,16.47,7,0,7,100.0,6.07,1,0,1,100.0,8.67,30,0,30,100.0,26.01,1,0,1,100.0,0.87,0,0,0,0.0,0.0,Amaturá<br><br>População:  11536<br>Enfermeiros SUS:  19<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  19<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  16.47,Amaturá<br><br>População:  11536<br>Médicos SUS:  7<br>Médicos não-SUS:  0<br>Médicos - Total:  7<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  6.07,Amaturá<br><br>População:  11536<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  8.67,Amaturá<br><br>População:  11536<br>Leitos (internação) SUS:  30<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  30<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  26.01,Amaturá<br><br>População:  11536<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.87,Amaturá<br><br>População:  11536<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
76,130008,Anamã,13614,AM,17,0,17,100.0,12.49,5,0,5,100.0,3.67,1,0,1,100.0,7.35,20,0,20,100.0,14.69,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Anamã<br><br>População:  13614<br>Enfermeiros SUS:  17<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  17<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  12.49,Anamã<br><br>População:  13614<br>Médicos SUS:  5<br>Médicos não-SUS:  0<br>Médicos - Total:  5<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.67,Anamã<br><br>População:  13614<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  7.35,Anamã<br><br>População:  13614<br>Leitos (internação) SUS:  20<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  20<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  14.69,Anamã<br><br>População:  13614<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Anamã<br><br>População:  13614<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
77,130010,Anori,21010,AM,10,0,10,100.0,4.76,10,0,10,100.0,4.76,1,0,1,100.0,4.76,23,0,23,100.0,10.95,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Anori<br><br>População:  21010<br>Enfermeiros SUS:  10<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  10<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  4.76,Anori<br><br>População:  21010<br>Médicos SUS:  10<br>Médicos não-SUS:  0<br>Médicos - Total:  10<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.76,Anori<br><br>População:  21010<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  4.76,Anori<br><br>População:  21010<br>Leitos (internação) SUS:  23<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  23<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  10.95,Anori<br><br>População:  21010<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Anori<br><br>População:  21010<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
78,130014,Apuí,21973,AM,20,0,20,100.0,9.1,12,0,12,100.0,5.46,1,0,1,100.0,4.55,42,0,42,100.0,19.11,6,0,6,100.0,2.73,0,0,0,0.0,0.0,Apuí<br><br>População:  21973<br>Enfermeiros SUS:  20<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  20<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.1,Apuí<br><br>População:  21973<br>Médicos SUS:  12<br>Médicos não-SUS:  0<br>Médicos - Total:  12<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  5.46,Apuí<br><br>População:  21973<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  4.55,Apuí<br><br>População:  21973<br>Leitos (internação) SUS:  42<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  42<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  19.11,Apuí<br><br>População:  21973<br>Leitos UTI SUS:  6<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  6<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  2.73,Apuí<br><br>População:  21973<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
79,130020,Atalaia do Norte,19921,AM,37,0,37,100.0,18.57,6,0,6,100.0,3.01,1,0,1,100.0,5.02,30,0,30,100.0,15.06,1,0,1,100.0,0.5,0,0,0,0.0,0.0,Atalaia do Norte<br><br>População:  19921<br>Enfermeiros SUS:  37<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  37<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  18.57,Atalaia do Norte<br><br>População:  19921<br>Médicos SUS:  6<br>Médicos não-SUS:  0<br>Médicos - Total:  6<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.01,Atalaia do Norte<br><br>População:  19921<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  5.02,Atalaia do Norte<br><br>População:  19921<br>Leitos (internação) SUS:  30<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  30<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  15.06,Atalaia do Norte<br><br>População:  19921<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.5,Atalaia do Norte<br><br>População:  19921<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
80,130030,Autazes,39565,AM,37,0,37,100.0,9.35,18,0,18,100.0,4.55,1,0,1,100.0,2.53,31,0,31,100.0,7.84,2,0,2,100.0,0.51,0,0,0,0.0,0.0,Autazes<br><br>População:  39565<br>Enfermeiros SUS:  37<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  37<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.35,Autazes<br><br>População:  39565<br>Médicos SUS:  18<br>Médicos não-SUS:  0<br>Médicos - Total:  18<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.55,Autazes<br><br>População:  39565<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  2.53,Autazes<br><br>População:  39565<br>Leitos (internação) SUS:  31<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  31<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  7.84,Autazes<br><br>População:  39565<br>Leitos UTI SUS:  2<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  2<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.51,Autazes<br><br>População:  39565<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
81,130040,Barcelos,27502,AM,31,0,31,100.0,11.27,11,0,11,100.0,4.0,2,0,2,100.0,7.27,60,0,60,100.0,21.82,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Barcelos<br><br>População:  27502<br>Enfermeiros SUS:  31<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  31<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  11.27,Barcelos<br><br>População:  27502<br>Médicos SUS:  11<br>Médicos não-SUS:  0<br>Médicos - Total:  11<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.0,Barcelos<br><br>População:  27502<br>Hospitais públicos:  2<br>Hospitais não-públicos:  0<br>Hospitais - Total:  2<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  7.27,Barcelos<br><br>População:  27502<br>Leitos (internação) SUS:  60<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  60<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  21.82,Barcelos<br><br>População:  27502<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Barcelos<br><br>População:  27502<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
82,130050,Barreirinha,32041,AM,43,0,43,100.0,13.42,14,0,14,100.0,4.37,1,0,1,100.0,3.12,31,0,31,100.0,9.68,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Barreirinha<br><br>População:  32041<br>Enfermeiros SUS:  43<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  43<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  13.42,Barreirinha<br><br>População:  32041<br>Médicos SUS:  14<br>Médicos não-SUS:  0<br>Médicos - Total:  14<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.37,Barreirinha<br><br>População:  32041<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  3.12,Barreirinha<br><br>População:  32041<br>Leitos (internação) SUS:  31<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  31<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  9.68,Barreirinha<br><br>População:  32041<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Barreirinha<br><br>População:  32041<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
83,130060,Benjamin Constant,42984,AM,35,0,35,100.0,8.14,22,0,22,100.0,5.12,1,0,1,100.0,2.33,37,0,37,100.0,8.61,4,0,4,100.0,0.93,0,0,0,0.0,0.0,Benjamin Constant<br><br>População:  42984<br>Enfermeiros SUS:  35<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  35<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.14,Benjamin Constant<br><br>População:  42984<br>Médicos SUS:  22<br>Médicos não-SUS:  0<br>Médicos - Total:  22<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  5.12,Benjamin Constant<br><br>População:  42984<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  2.33,Benjamin Constant<br><br>População:  42984<br>Leitos (internação) SUS:  37<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  37<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  8.61,Benjamin Constant<br><br>População:  42984<br>Leitos UTI SUS:  4<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  4<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.93,Benjamin Constant<br><br>População:  42984<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
