Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
1827,290010,Abaíra,8739,BA,11,0,11,100.0,12.59,3,0,3,100.0,3.43,1,0,1,100.0,11.44,9,0,9,100.0,10.3,1,0,1,100.0,1.14,0,0,0,0.0,0.0,Abaíra<br><br>População:  8739<br>Enfermeiros SUS:  11<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  11<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  12.59,Abaíra<br><br>População:  8739<br>Médicos SUS:  3<br>Médicos não-SUS:  0<br>Médicos - Total:  3<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.43,Abaíra<br><br>População:  8739<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  11.44,Abaíra<br><br>População:  8739<br>Leitos (internação) SUS:  9<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  9<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  10.3,Abaíra<br><br>População:  8739<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  1.14,Abaíra<br><br>População:  8739<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1828,290020,Abaré,20086,BA,20,0,20,100.0,9.96,10,0,10,100.0,4.98,1,0,1,100.0,4.98,24,0,24,100.0,11.95,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Abaré<br><br>População:  20086<br>Enfermeiros SUS:  20<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  20<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.96,Abaré<br><br>População:  20086<br>Médicos SUS:  10<br>Médicos não-SUS:  0<br>Médicos - Total:  10<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.98,Abaré<br><br>População:  20086<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  4.98,Abaré<br><br>População:  20086<br>Leitos (internação) SUS:  24<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  24<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  11.95,Abaré<br><br>População:  20086<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Abaré<br><br>População:  20086<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1829,290030,Acajutiba,15159,BA,10,0,10,100.0,6.6,9,2,11,81.82,7.26,0,0,0,0.0,0.0,8,0,8,100.0,5.28,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Acajutiba<br><br>População:  15159<br>Enfermeiros SUS:  10<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  10<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.6,Acajutiba<br><br>População:  15159<br>Médicos SUS:  9<br>Médicos não-SUS:  2<br>Médicos - Total:  11<br>% de médicos SUS:  81.82<br>Médicos a cada 10k habitantes:  7.26,Acajutiba<br><br>População:  15159<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Acajutiba<br><br>População:  15159<br>Leitos (internação) SUS:  8<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  8<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  5.28,Acajutiba<br><br>População:  15159<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Acajutiba<br><br>População:  15159<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1830,290035,Adustina,17040,BA,17,1,18,94.44,10.56,7,0,7,100.0,4.11,0,0,0,0.0,0.0,19,0,19,100.0,11.15,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Adustina<br><br>População:  17040<br>Enfermeiros SUS:  17<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  18<br>% de enfermeiros SUS:  94.44<br>Enfermeiros a cada 10k habitantes:  10.56,Adustina<br><br>População:  17040<br>Médicos SUS:  7<br>Médicos não-SUS:  0<br>Médicos - Total:  7<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.11,Adustina<br><br>População:  17040<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Adustina<br><br>População:  17040<br>Leitos (internação) SUS:  19<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  19<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  11.15,Adustina<br><br>População:  17040<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Adustina<br><br>População:  17040<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1831,290040,Água Fria,16970,BA,16,0,16,100.0,9.43,9,0,9,100.0,5.3,1,0,1,100.0,5.89,20,0,20,100.0,11.79,6,0,6,100.0,3.54,0,0,0,0.0,0.0,Água Fria<br><br>População:  16970<br>Enfermeiros SUS:  16<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  16<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.43,Água Fria<br><br>População:  16970<br>Médicos SUS:  9<br>Médicos não-SUS:  0<br>Médicos - Total:  9<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  5.3,Água Fria<br><br>População:  16970<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  5.89,Água Fria<br><br>População:  16970<br>Leitos (internação) SUS:  20<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  20<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  11.79,Água Fria<br><br>População:  16970<br>Leitos UTI SUS:  6<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  6<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  3.54,Água Fria<br><br>População:  16970<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1832,290060,Aiquara,4446,BA,7,0,7,100.0,15.74,2,0,2,100.0,4.5,0,0,0,0.0,0.0,13,0,13,100.0,29.24,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Aiquara<br><br>População:  4446<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  15.74,Aiquara<br><br>População:  4446<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.5,Aiquara<br><br>População:  4446<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Aiquara<br><br>População:  4446<br>Leitos (internação) SUS:  13<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  13<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  29.24,Aiquara<br><br>População:  4446<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Aiquara<br><br>População:  4446<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1833,290070,Alagoinhas,151596,BA,202,30,232,87.07,15.3,177,135,312,56.73,20.58,2,6,8,25.0,5.28,172,70,242,71.07,15.96,25,12,37,67.57,2.44,10,2,12,83.33,0.79,Alagoinhas<br><br>População:  151596<br>Enfermeiros SUS:  202<br>Enfermeiros não-SUS:  30<br>Enfermeiros - Total:  232<br>% de enfermeiros SUS:  87.07<br>Enfermeiros a cada 10k habitantes:  15.3,Alagoinhas<br><br>População:  151596<br>Médicos SUS:  177<br>Médicos não-SUS:  135<br>Médicos - Total:  312<br>% de médicos SUS:  56.73<br>Médicos a cada 10k habitantes:  20.58,Alagoinhas<br><br>População:  151596<br>Hospitais públicos:  2<br>Hospitais não-públicos:  6<br>Hospitais - Total:  8<br>% de hospitais públicos:  25.0<br>Hospitais a cada 100k habitantes:  5.28,Alagoinhas<br><br>População:  151596<br>Leitos (internação) SUS:  172<br>Leitos (internação) não-SUS:  70<br>Leitos (internação) - Total:  242<br>% de leitos (internação) SUS:  71.07<br>Leitos (internação) a cada 10k habitantes:  15.96,Alagoinhas<br><br>População:  151596<br>Leitos UTI SUS:  25<br>Leitos UTI não-SUS:  12<br>Leitos UTI - Total:  37<br>% de leitos UTI SUS:  67.57<br>Leitos UTI a cada 10k habitantes:  2.44,Alagoinhas<br><br>População:  151596<br>Leitos UTI COVID-19 SUS:  10<br>Leitos UTI COVID-19 não-SUS:  2<br>Leitos UTI COVID-19 - Total:  12<br>% de leitos UTI COVID-19 SUS:  83.33<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.79
1834,290080,Alcobaça,22470,BA,19,0,19,100.0,8.46,24,0,24,100.0,10.68,0,1,1,0.0,4.45,51,8,59,86.44,26.26,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alcobaça<br><br>População:  22470<br>Enfermeiros SUS:  19<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  19<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.46,Alcobaça<br><br>População:  22470<br>Médicos SUS:  24<br>Médicos não-SUS:  0<br>Médicos - Total:  24<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  10.68,Alcobaça<br><br>População:  22470<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  4.45,Alcobaça<br><br>População:  22470<br>Leitos (internação) SUS:  51<br>Leitos (internação) não-SUS:  8<br>Leitos (internação) - Total:  59<br>% de leitos (internação) SUS:  86.44<br>Leitos (internação) a cada 10k habitantes:  26.26,Alcobaça<br><br>População:  22470<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alcobaça<br><br>População:  22470<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1835,290090,Almadina,5464,BA,5,0,5,100.0,9.15,4,0,4,100.0,7.32,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Almadina<br><br>População:  5464<br>Enfermeiros SUS:  5<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  5<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.15,Almadina<br><br>População:  5464<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  7.32,Almadina<br><br>População:  5464<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Almadina<br><br>População:  5464<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Almadina<br><br>População:  5464<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Almadina<br><br>População:  5464<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1836,290100,Amargosa,37241,BA,46,0,46,100.0,12.35,44,10,54,81.48,14.5,1,1,2,50.0,5.37,52,0,52,100.0,13.96,1,0,1,100.0,0.27,0,0,0,0.0,0.0,Amargosa<br><br>População:  37241<br>Enfermeiros SUS:  46<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  46<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  12.35,Amargosa<br><br>População:  37241<br>Médicos SUS:  44<br>Médicos não-SUS:  10<br>Médicos - Total:  54<br>% de médicos SUS:  81.48<br>Médicos a cada 10k habitantes:  14.5,Amargosa<br><br>População:  37241<br>Hospitais públicos:  1<br>Hospitais não-públicos:  1<br>Hospitais - Total:  2<br>% de hospitais públicos:  50.0<br>Hospitais a cada 100k habitantes:  5.37,Amargosa<br><br>População:  37241<br>Leitos (internação) SUS:  52<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  52<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  13.96,Amargosa<br><br>População:  37241<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.27,Amargosa<br><br>População:  37241<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
