Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
891,230010,Abaiara,11737,CE,8,0,8,100.0,6.82,9,1,10,90.0,8.52,0,0,0,0.0,0.0,1,0,1,100.0,0.85,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Abaiara<br><br>População:  11737<br>Enfermeiros SUS:  8<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  8<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.82,Abaiara<br><br>População:  11737<br>Médicos SUS:  9<br>Médicos não-SUS:  1<br>Médicos - Total:  10<br>% de médicos SUS:  90.0<br>Médicos a cada 10k habitantes:  8.52,Abaiara<br><br>População:  11737<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Abaiara<br><br>População:  11737<br>Leitos (internação) SUS:  1<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  1<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  0.85,Abaiara<br><br>População:  11737<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Abaiara<br><br>População:  11737<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
892,230015,Acarape,14929,CE,17,0,17,100.0,11.39,12,0,12,100.0,8.04,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Acarape<br><br>População:  14929<br>Enfermeiros SUS:  17<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  17<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  11.39,Acarape<br><br>População:  14929<br>Médicos SUS:  12<br>Médicos não-SUS:  0<br>Médicos - Total:  12<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  8.04,Acarape<br><br>População:  14929<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Acarape<br><br>População:  14929<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Acarape<br><br>População:  14929<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Acarape<br><br>População:  14929<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
893,230020,Acaraú,62641,CE,54,0,54,100.0,8.62,52,3,55,94.55,8.78,0,1,1,0.0,1.6,64,9,73,87.67,11.65,2,0,2,100.0,0.32,0,0,0,0.0,0.0,Acaraú<br><br>População:  62641<br>Enfermeiros SUS:  54<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  54<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.62,Acaraú<br><br>População:  62641<br>Médicos SUS:  52<br>Médicos não-SUS:  3<br>Médicos - Total:  55<br>% de médicos SUS:  94.55<br>Médicos a cada 10k habitantes:  8.78,Acaraú<br><br>População:  62641<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  1.6,Acaraú<br><br>População:  62641<br>Leitos (internação) SUS:  64<br>Leitos (internação) não-SUS:  9<br>Leitos (internação) - Total:  73<br>% de leitos (internação) SUS:  87.67<br>Leitos (internação) a cada 10k habitantes:  11.65,Acaraú<br><br>População:  62641<br>Leitos UTI SUS:  2<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  2<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.32,Acaraú<br><br>População:  62641<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
894,230030,Acopiara,54270,CE,46,1,47,97.87,8.66,19,5,24,79.17,4.42,1,0,1,100.0,1.84,104,0,104,100.0,19.16,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Acopiara<br><br>População:  54270<br>Enfermeiros SUS:  46<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  47<br>% de enfermeiros SUS:  97.87<br>Enfermeiros a cada 10k habitantes:  8.66,Acopiara<br><br>População:  54270<br>Médicos SUS:  19<br>Médicos não-SUS:  5<br>Médicos - Total:  24<br>% de médicos SUS:  79.17<br>Médicos a cada 10k habitantes:  4.42,Acopiara<br><br>População:  54270<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  1.84,Acopiara<br><br>População:  54270<br>Leitos (internação) SUS:  104<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  104<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  19.16,Acopiara<br><br>População:  54270<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Acopiara<br><br>População:  54270<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
895,230040,Aiuaba,17399,CE,17,0,17,100.0,9.77,15,0,15,100.0,8.62,1,0,1,100.0,5.75,29,0,29,100.0,16.67,1,0,1,100.0,0.57,0,0,0,0.0,0.0,Aiuaba<br><br>População:  17399<br>Enfermeiros SUS:  17<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  17<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.77,Aiuaba<br><br>População:  17399<br>Médicos SUS:  15<br>Médicos não-SUS:  0<br>Médicos - Total:  15<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  8.62,Aiuaba<br><br>População:  17399<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  5.75,Aiuaba<br><br>População:  17399<br>Leitos (internação) SUS:  29<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  29<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  16.67,Aiuaba<br><br>População:  17399<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.57,Aiuaba<br><br>População:  17399<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
896,230050,Alcântaras,11714,CE,16,0,16,100.0,13.66,5,0,5,100.0,4.27,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alcântaras<br><br>População:  11714<br>Enfermeiros SUS:  16<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  16<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  13.66,Alcântaras<br><br>População:  11714<br>Médicos SUS:  5<br>Médicos não-SUS:  0<br>Médicos - Total:  5<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.27,Alcântaras<br><br>População:  11714<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alcântaras<br><br>População:  11714<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alcântaras<br><br>População:  11714<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alcântaras<br><br>População:  11714<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
897,230060,Altaneira,7586,CE,11,0,11,100.0,14.5,7,0,7,100.0,9.23,1,0,1,100.0,13.18,19,0,19,100.0,25.05,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Altaneira<br><br>População:  7586<br>Enfermeiros SUS:  11<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  11<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  14.5,Altaneira<br><br>População:  7586<br>Médicos SUS:  7<br>Médicos não-SUS:  0<br>Médicos - Total:  7<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  9.23,Altaneira<br><br>População:  7586<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  13.18,Altaneira<br><br>População:  7586<br>Leitos (internação) SUS:  19<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  19<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  25.05,Altaneira<br><br>População:  7586<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Altaneira<br><br>População:  7586<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
898,230070,Alto Santo,17146,CE,15,0,15,100.0,8.75,10,0,10,100.0,5.83,1,0,1,100.0,5.83,35,0,35,100.0,20.41,1,0,1,100.0,0.58,0,0,0,0.0,0.0,Alto Santo<br><br>População:  17146<br>Enfermeiros SUS:  15<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  15<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.75,Alto Santo<br><br>População:  17146<br>Médicos SUS:  10<br>Médicos não-SUS:  0<br>Médicos - Total:  10<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  5.83,Alto Santo<br><br>População:  17146<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  5.83,Alto Santo<br><br>População:  17146<br>Leitos (internação) SUS:  35<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  35<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  20.41,Alto Santo<br><br>População:  17146<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.58,Alto Santo<br><br>População:  17146<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
899,230075,Amontada,43452,CE,30,0,30,100.0,6.9,16,0,16,100.0,3.68,1,0,1,100.0,2.3,40,0,40,100.0,9.21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Amontada<br><br>População:  43452<br>Enfermeiros SUS:  30<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  30<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.9,Amontada<br><br>População:  43452<br>Médicos SUS:  16<br>Médicos não-SUS:  0<br>Médicos - Total:  16<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.68,Amontada<br><br>População:  43452<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  2.3,Amontada<br><br>População:  43452<br>Leitos (internação) SUS:  40<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  40<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  9.21,Amontada<br><br>População:  43452<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Amontada<br><br>População:  43452<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
900,230080,Antonina do Norte,7353,CE,6,0,6,100.0,8.16,2,0,2,100.0,2.72,1,0,1,100.0,13.6,16,0,16,100.0,21.76,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Antonina do Norte<br><br>População:  7353<br>Enfermeiros SUS:  6<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.16,Antonina do Norte<br><br>População:  7353<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  2.72,Antonina do Norte<br><br>População:  7353<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  13.6,Antonina do Norte<br><br>População:  7353<br>Leitos (internação) SUS:  16<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  16<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  21.76,Antonina do Norte<br><br>População:  7353<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Antonina do Norte<br><br>População:  7353<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
