Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
3097,320010,Afonso Cláudio,30586,ES,24,0,24,100.0,7.85,32,0,32,100.0,10.46,0,1,1,0.0,3.27,52,6,58,89.66,18.96,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Afonso Cláudio<br><br>População:  30586<br>Enfermeiros SUS:  24<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  24<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.85,Afonso Cláudio<br><br>População:  30586<br>Médicos SUS:  32<br>Médicos não-SUS:  0<br>Médicos - Total:  32<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  10.46,Afonso Cláudio<br><br>População:  30586<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  3.27,Afonso Cláudio<br><br>População:  30586<br>Leitos (internação) SUS:  52<br>Leitos (internação) não-SUS:  6<br>Leitos (internação) - Total:  58<br>% de leitos (internação) SUS:  89.66<br>Leitos (internação) a cada 10k habitantes:  18.96,Afonso Cláudio<br><br>População:  30586<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Afonso Cláudio<br><br>População:  30586<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3098,320016,Água Doce do Norte,11019,ES,6,0,6,100.0,5.45,4,0,4,100.0,3.63,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Água Doce do Norte<br><br>População:  11019<br>Enfermeiros SUS:  6<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  5.45,Água Doce do Norte<br><br>População:  11019<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.63,Água Doce do Norte<br><br>População:  11019<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Água Doce do Norte<br><br>População:  11019<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Água Doce do Norte<br><br>População:  11019<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Água Doce do Norte<br><br>População:  11019<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3099,320013,Águia Branca,9642,ES,10,0,10,100.0,10.37,4,0,4,100.0,4.15,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Águia Branca<br><br>População:  9642<br>Enfermeiros SUS:  10<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  10<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.37,Águia Branca<br><br>População:  9642<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.15,Águia Branca<br><br>População:  9642<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Águia Branca<br><br>População:  9642<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Águia Branca<br><br>População:  9642<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Águia Branca<br><br>População:  9642<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3100,320020,Alegre,30084,ES,32,0,32,100.0,10.64,44,19,63,69.84,20.94,0,1,1,0.0,3.32,43,7,50,86.0,16.62,1,0,1,100.0,0.33,0,0,0,0.0,0.0,Alegre<br><br>População:  30084<br>Enfermeiros SUS:  32<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  32<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.64,Alegre<br><br>População:  30084<br>Médicos SUS:  44<br>Médicos não-SUS:  19<br>Médicos - Total:  63<br>% de médicos SUS:  69.84<br>Médicos a cada 10k habitantes:  20.94,Alegre<br><br>População:  30084<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  3.32,Alegre<br><br>População:  30084<br>Leitos (internação) SUS:  43<br>Leitos (internação) não-SUS:  7<br>Leitos (internação) - Total:  50<br>% de leitos (internação) SUS:  86.0<br>Leitos (internação) a cada 10k habitantes:  16.62,Alegre<br><br>População:  30084<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.33,Alegre<br><br>População:  30084<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3101,320030,Alfredo Chaves,14601,ES,17,0,17,100.0,11.64,21,4,25,84.0,17.12,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alfredo Chaves<br><br>População:  14601<br>Enfermeiros SUS:  17<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  17<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  11.64,Alfredo Chaves<br><br>População:  14601<br>Médicos SUS:  21<br>Médicos não-SUS:  4<br>Médicos - Total:  25<br>% de médicos SUS:  84.0<br>Médicos a cada 10k habitantes:  17.12,Alfredo Chaves<br><br>População:  14601<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alfredo Chaves<br><br>População:  14601<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alfredo Chaves<br><br>População:  14601<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alfredo Chaves<br><br>População:  14601<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3102,320035,Alto Rio Novo,7836,ES,8,0,8,100.0,10.21,9,0,9,100.0,11.49,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Rio Novo<br><br>População:  7836<br>Enfermeiros SUS:  8<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  8<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.21,Alto Rio Novo<br><br>População:  7836<br>Médicos SUS:  9<br>Médicos não-SUS:  0<br>Médicos - Total:  9<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  11.49,Alto Rio Novo<br><br>População:  7836<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alto Rio Novo<br><br>População:  7836<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alto Rio Novo<br><br>População:  7836<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Rio Novo<br><br>População:  7836<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3103,320040,Anchieta,29263,ES,35,17,52,67.31,17.77,50,22,72,69.44,24.6,0,1,1,0.0,3.42,53,312,365,14.52,124.73,1,0,1,100.0,0.34,0,0,0,0.0,0.0,Anchieta<br><br>População:  29263<br>Enfermeiros SUS:  35<br>Enfermeiros não-SUS:  17<br>Enfermeiros - Total:  52<br>% de enfermeiros SUS:  67.31<br>Enfermeiros a cada 10k habitantes:  17.77,Anchieta<br><br>População:  29263<br>Médicos SUS:  50<br>Médicos não-SUS:  22<br>Médicos - Total:  72<br>% de médicos SUS:  69.44<br>Médicos a cada 10k habitantes:  24.6,Anchieta<br><br>População:  29263<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  3.42,Anchieta<br><br>População:  29263<br>Leitos (internação) SUS:  53<br>Leitos (internação) não-SUS:  312<br>Leitos (internação) - Total:  365<br>% de leitos (internação) SUS:  14.52<br>Leitos (internação) a cada 10k habitantes:  124.73,Anchieta<br><br>População:  29263<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.34,Anchieta<br><br>População:  29263<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3104,320050,Apiacá,7567,ES,10,0,10,100.0,13.22,9,0,9,100.0,11.89,0,1,1,0.0,13.22,16,0,16,100.0,21.14,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Apiacá<br><br>População:  7567<br>Enfermeiros SUS:  10<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  10<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  13.22,Apiacá<br><br>População:  7567<br>Médicos SUS:  9<br>Médicos não-SUS:  0<br>Médicos - Total:  9<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  11.89,Apiacá<br><br>População:  7567<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  13.22,Apiacá<br><br>População:  7567<br>Leitos (internação) SUS:  16<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  16<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  21.14,Apiacá<br><br>População:  7567<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Apiacá<br><br>População:  7567<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3105,320060,Aracruz,101220,ES,86,11,97,88.66,9.58,145,79,224,64.73,22.13,1,2,3,33.33,2.96,130,30,160,81.25,15.81,28,2,30,93.33,2.96,20,0,20,100.0,1.98,Aracruz<br><br>População:  101220<br>Enfermeiros SUS:  86<br>Enfermeiros não-SUS:  11<br>Enfermeiros - Total:  97<br>% de enfermeiros SUS:  88.66<br>Enfermeiros a cada 10k habitantes:  9.58,Aracruz<br><br>População:  101220<br>Médicos SUS:  145<br>Médicos não-SUS:  79<br>Médicos - Total:  224<br>% de médicos SUS:  64.73<br>Médicos a cada 10k habitantes:  22.13,Aracruz<br><br>População:  101220<br>Hospitais públicos:  1<br>Hospitais não-públicos:  2<br>Hospitais - Total:  3<br>% de hospitais públicos:  33.33<br>Hospitais a cada 100k habitantes:  2.96,Aracruz<br><br>População:  101220<br>Leitos (internação) SUS:  130<br>Leitos (internação) não-SUS:  30<br>Leitos (internação) - Total:  160<br>% de leitos (internação) SUS:  81.25<br>Leitos (internação) a cada 10k habitantes:  15.81,Aracruz<br><br>População:  101220<br>Leitos UTI SUS:  28<br>Leitos UTI não-SUS:  2<br>Leitos UTI - Total:  30<br>% de leitos UTI SUS:  93.33<br>Leitos UTI a cada 10k habitantes:  2.96,Aracruz<br><br>População:  101220<br>Leitos UTI COVID-19 SUS:  20<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  20<br>% de leitos UTI COVID-19 SUS:  100.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  1.98
3106,320070,Atilio Vivacqua,11936,ES,16,0,16,100.0,13.4,15,0,15,100.0,12.57,1,0,1,100.0,8.38,10,0,10,100.0,8.38,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Atilio Vivacqua<br><br>População:  11936<br>Enfermeiros SUS:  16<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  16<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  13.4,Atilio Vivacqua<br><br>População:  11936<br>Médicos SUS:  15<br>Médicos não-SUS:  0<br>Médicos - Total:  15<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  12.57,Atilio Vivacqua<br><br>População:  11936<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  8.38,Atilio Vivacqua<br><br>População:  11936<br>Leitos (internação) SUS:  10<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  10<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  8.38,Atilio Vivacqua<br><br>População:  11936<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Atilio Vivacqua<br><br>População:  11936<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
