Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
5323,520005,Abadia de Goiás,8773,GO,12,0,12,100.0,13.68,13,0,13,100.0,14.82,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Abadia de Goiás<br><br>População:  8773<br>Enfermeiros SUS:  12<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  12<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  13.68,Abadia de Goiás<br><br>População:  8773<br>Médicos SUS:  13<br>Médicos não-SUS:  0<br>Médicos - Total:  13<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  14.82,Abadia de Goiás<br><br>População:  8773<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Abadia de Goiás<br><br>População:  8773<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Abadia de Goiás<br><br>População:  8773<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Abadia de Goiás<br><br>População:  8773<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5324,520010,Abadiânia,20042,GO,23,1,24,95.83,11.97,19,0,19,100.0,9.48,0,0,0,0.0,0.0,9,0,9,100.0,4.49,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Abadiânia<br><br>População:  20042<br>Enfermeiros SUS:  23<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  24<br>% de enfermeiros SUS:  95.83<br>Enfermeiros a cada 10k habitantes:  11.97,Abadiânia<br><br>População:  20042<br>Médicos SUS:  19<br>Médicos não-SUS:  0<br>Médicos - Total:  19<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  9.48,Abadiânia<br><br>População:  20042<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Abadiânia<br><br>População:  20042<br>Leitos (internação) SUS:  9<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  9<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  4.49,Abadiânia<br><br>População:  20042<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Abadiânia<br><br>População:  20042<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5325,520013,Acreúna,22366,GO,20,0,20,100.0,8.94,14,2,16,87.5,7.15,1,2,3,33.33,13.41,38,34,72,52.78,32.19,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Acreúna<br><br>População:  22366<br>Enfermeiros SUS:  20<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  20<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.94,Acreúna<br><br>População:  22366<br>Médicos SUS:  14<br>Médicos não-SUS:  2<br>Médicos - Total:  16<br>% de médicos SUS:  87.5<br>Médicos a cada 10k habitantes:  7.15,Acreúna<br><br>População:  22366<br>Hospitais públicos:  1<br>Hospitais não-públicos:  2<br>Hospitais - Total:  3<br>% de hospitais públicos:  33.33<br>Hospitais a cada 100k habitantes:  13.41,Acreúna<br><br>População:  22366<br>Leitos (internação) SUS:  38<br>Leitos (internação) não-SUS:  34<br>Leitos (internação) - Total:  72<br>% de leitos (internação) SUS:  52.78<br>Leitos (internação) a cada 10k habitantes:  32.19,Acreúna<br><br>População:  22366<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Acreúna<br><br>População:  22366<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5326,520015,Adelândia,2516,GO,6,0,6,100.0,23.85,3,0,3,100.0,11.92,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Adelândia<br><br>População:  2516<br>Enfermeiros SUS:  6<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  23.85,Adelândia<br><br>População:  2516<br>Médicos SUS:  3<br>Médicos não-SUS:  0<br>Médicos - Total:  3<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  11.92,Adelândia<br><br>População:  2516<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Adelândia<br><br>População:  2516<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Adelândia<br><br>População:  2516<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Adelândia<br><br>População:  2516<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5327,520017,Água Fria de Goiás,5735,GO,5,0,5,100.0,8.72,7,0,7,100.0,12.21,0,0,0,0.0,0.0,12,0,12,100.0,20.92,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Água Fria de Goiás<br><br>População:  5735<br>Enfermeiros SUS:  5<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  5<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.72,Água Fria de Goiás<br><br>População:  5735<br>Médicos SUS:  7<br>Médicos não-SUS:  0<br>Médicos - Total:  7<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  12.21,Água Fria de Goiás<br><br>População:  5735<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Água Fria de Goiás<br><br>População:  5735<br>Leitos (internação) SUS:  12<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  12<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  20.92,Água Fria de Goiás<br><br>População:  5735<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Água Fria de Goiás<br><br>População:  5735<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5328,520020,Água Limpa,1850,GO,2,0,2,100.0,10.81,1,0,1,100.0,5.41,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Água Limpa<br><br>População:  1850<br>Enfermeiros SUS:  2<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  2<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.81,Água Limpa<br><br>População:  1850<br>Médicos SUS:  1<br>Médicos não-SUS:  0<br>Médicos - Total:  1<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  5.41,Água Limpa<br><br>População:  1850<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Água Limpa<br><br>População:  1850<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Água Limpa<br><br>População:  1850<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Água Limpa<br><br>População:  1850<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5329,520025,Águas Lindas de Goiás,212440,GO,65,5,70,92.86,3.3,87,37,124,70.16,5.84,2,0,2,100.0,0.94,230,1,231,99.57,10.87,0,10,10,0.0,0.47,0,10,10,0.0,0.47,Águas Lindas de Goiás<br><br>População:  212440<br>Enfermeiros SUS:  65<br>Enfermeiros não-SUS:  5<br>Enfermeiros - Total:  70<br>% de enfermeiros SUS:  92.86<br>Enfermeiros a cada 10k habitantes:  3.3,Águas Lindas de Goiás<br><br>População:  212440<br>Médicos SUS:  87<br>Médicos não-SUS:  37<br>Médicos - Total:  124<br>% de médicos SUS:  70.16<br>Médicos a cada 10k habitantes:  5.84,Águas Lindas de Goiás<br><br>População:  212440<br>Hospitais públicos:  2<br>Hospitais não-públicos:  0<br>Hospitais - Total:  2<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  0.94,Águas Lindas de Goiás<br><br>População:  212440<br>Leitos (internação) SUS:  230<br>Leitos (internação) não-SUS:  1<br>Leitos (internação) - Total:  231<br>% de leitos (internação) SUS:  99.57<br>Leitos (internação) a cada 10k habitantes:  10.87,Águas Lindas de Goiás<br><br>População:  212440<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  10<br>Leitos UTI - Total:  10<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.47,Águas Lindas de Goiás<br><br>População:  212440<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  10<br>Leitos UTI COVID-19 - Total:  10<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.47
5330,520030,Alexânia,27653,GO,21,0,21,100.0,7.59,23,4,27,85.19,9.76,1,0,1,100.0,3.62,34,0,34,100.0,12.3,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alexânia<br><br>População:  27653<br>Enfermeiros SUS:  21<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  21<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.59,Alexânia<br><br>População:  27653<br>Médicos SUS:  23<br>Médicos não-SUS:  4<br>Médicos - Total:  27<br>% de médicos SUS:  85.19<br>Médicos a cada 10k habitantes:  9.76,Alexânia<br><br>População:  27653<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  3.62,Alexânia<br><br>População:  27653<br>Leitos (internação) SUS:  34<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  34<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  12.3,Alexânia<br><br>População:  27653<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alexânia<br><br>População:  27653<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5331,520050,Aloândia,1995,GO,3,0,3,100.0,15.04,2,0,2,100.0,10.03,1,0,1,100.0,50.13,14,0,14,100.0,70.18,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Aloândia<br><br>População:  1995<br>Enfermeiros SUS:  3<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  3<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  15.04,Aloândia<br><br>População:  1995<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  10.03,Aloândia<br><br>População:  1995<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  50.13,Aloândia<br><br>População:  1995<br>Leitos (internação) SUS:  14<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  14<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  70.18,Aloândia<br><br>População:  1995<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Aloândia<br><br>População:  1995<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5332,520055,Alto Horizonte,6414,GO,15,0,15,100.0,23.39,8,0,8,100.0,12.47,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Horizonte<br><br>População:  6414<br>Enfermeiros SUS:  15<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  15<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  23.39,Alto Horizonte<br><br>População:  6414<br>Médicos SUS:  8<br>Médicos não-SUS:  0<br>Médicos - Total:  8<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  12.47,Alto Horizonte<br><br>População:  6414<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alto Horizonte<br><br>População:  6414<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alto Horizonte<br><br>População:  6414<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Horizonte<br><br>População:  6414<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
