Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
450,210005,Açailândia,112445,MA,87,2,89,97.75,7.91,87,20,107,81.31,9.52,2,2,4,50.0,3.56,206,90,296,69.59,26.32,13,7,20,65.0,1.78,10,7,17,58.82,1.51,Açailândia<br><br>População:  112445<br>Enfermeiros SUS:  87<br>Enfermeiros não-SUS:  2<br>Enfermeiros - Total:  89<br>% de enfermeiros SUS:  97.75<br>Enfermeiros a cada 10k habitantes:  7.91,Açailândia<br><br>População:  112445<br>Médicos SUS:  87<br>Médicos não-SUS:  20<br>Médicos - Total:  107<br>% de médicos SUS:  81.31<br>Médicos a cada 10k habitantes:  9.52,Açailândia<br><br>População:  112445<br>Hospitais públicos:  2<br>Hospitais não-públicos:  2<br>Hospitais - Total:  4<br>% de hospitais públicos:  50.0<br>Hospitais a cada 100k habitantes:  3.56,Açailândia<br><br>População:  112445<br>Leitos (internação) SUS:  206<br>Leitos (internação) não-SUS:  90<br>Leitos (internação) - Total:  296<br>% de leitos (internação) SUS:  69.59<br>Leitos (internação) a cada 10k habitantes:  26.32,Açailândia<br><br>População:  112445<br>Leitos UTI SUS:  13<br>Leitos UTI não-SUS:  7<br>Leitos UTI - Total:  20<br>% de leitos UTI SUS:  65.0<br>Leitos UTI a cada 10k habitantes:  1.78,Açailândia<br><br>População:  112445<br>Leitos UTI COVID-19 SUS:  10<br>Leitos UTI COVID-19 não-SUS:  7<br>Leitos UTI COVID-19 - Total:  17<br>% de leitos UTI COVID-19 SUS:  58.82<br>Leitos UTI COVID-19 a cada 10k habitantes:  1.51
451,210010,Afonso Cunha,6524,MA,5,0,5,100.0,7.66,2,0,2,100.0,3.07,1,0,1,100.0,15.33,20,0,20,100.0,30.66,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Afonso Cunha<br><br>População:  6524<br>Enfermeiros SUS:  5<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  5<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.66,Afonso Cunha<br><br>População:  6524<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.07,Afonso Cunha<br><br>População:  6524<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  15.33,Afonso Cunha<br><br>População:  6524<br>Leitos (internação) SUS:  20<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  20<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  30.66,Afonso Cunha<br><br>População:  6524<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Afonso Cunha<br><br>População:  6524<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
452,210015,Água Doce do Maranhão,12571,MA,7,0,7,100.0,5.57,6,0,6,100.0,4.77,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Água Doce do Maranhão<br><br>População:  12571<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  5.57,Água Doce do Maranhão<br><br>População:  12571<br>Médicos SUS:  6<br>Médicos não-SUS:  0<br>Médicos - Total:  6<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.77,Água Doce do Maranhão<br><br>População:  12571<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Água Doce do Maranhão<br><br>População:  12571<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Água Doce do Maranhão<br><br>População:  12571<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Água Doce do Maranhão<br><br>População:  12571<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
453,210020,Alcântara,22097,MA,17,0,17,100.0,7.69,10,0,10,100.0,4.53,1,0,1,100.0,4.53,24,0,24,100.0,10.86,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alcântara<br><br>População:  22097<br>Enfermeiros SUS:  17<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  17<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.69,Alcântara<br><br>População:  22097<br>Médicos SUS:  10<br>Médicos não-SUS:  0<br>Médicos - Total:  10<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.53,Alcântara<br><br>População:  22097<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  4.53,Alcântara<br><br>População:  22097<br>Leitos (internação) SUS:  24<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  24<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  10.86,Alcântara<br><br>População:  22097<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alcântara<br><br>População:  22097<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
454,210030,Aldeias Altas,26532,MA,14,0,14,100.0,5.28,8,0,8,100.0,3.02,1,0,1,100.0,3.77,25,0,25,100.0,9.42,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Aldeias Altas<br><br>População:  26532<br>Enfermeiros SUS:  14<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  14<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  5.28,Aldeias Altas<br><br>População:  26532<br>Médicos SUS:  8<br>Médicos não-SUS:  0<br>Médicos - Total:  8<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.02,Aldeias Altas<br><br>População:  26532<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  3.77,Aldeias Altas<br><br>População:  26532<br>Leitos (internação) SUS:  25<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  25<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  9.42,Aldeias Altas<br><br>População:  26532<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Aldeias Altas<br><br>População:  26532<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
455,210040,Altamira do Maranhão,8128,MA,7,0,7,100.0,8.61,6,0,6,100.0,7.38,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Altamira do Maranhão<br><br>População:  8128<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.61,Altamira do Maranhão<br><br>População:  8128<br>Médicos SUS:  6<br>Médicos não-SUS:  0<br>Médicos - Total:  6<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  7.38,Altamira do Maranhão<br><br>População:  8128<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Altamira do Maranhão<br><br>População:  8128<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Altamira do Maranhão<br><br>População:  8128<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Altamira do Maranhão<br><br>População:  8128<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
456,210043,Alto Alegre do Maranhão,27053,MA,38,0,38,100.0,14.05,30,0,30,100.0,11.09,1,0,1,100.0,3.7,48,0,48,100.0,17.74,8,8,16,50.0,5.91,0,0,0,0.0,0.0,Alto Alegre do Maranhão<br><br>População:  27053<br>Enfermeiros SUS:  38<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  38<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  14.05,Alto Alegre do Maranhão<br><br>População:  27053<br>Médicos SUS:  30<br>Médicos não-SUS:  0<br>Médicos - Total:  30<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  11.09,Alto Alegre do Maranhão<br><br>População:  27053<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  3.7,Alto Alegre do Maranhão<br><br>População:  27053<br>Leitos (internação) SUS:  48<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  48<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  17.74,Alto Alegre do Maranhão<br><br>População:  27053<br>Leitos UTI SUS:  8<br>Leitos UTI não-SUS:  8<br>Leitos UTI - Total:  16<br>% de leitos UTI SUS:  50.0<br>Leitos UTI a cada 10k habitantes:  5.91,Alto Alegre do Maranhão<br><br>População:  27053<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
457,210047,Alto Alegre do Pindaré,31919,MA,31,0,31,100.0,9.71,16,0,16,100.0,5.01,1,0,1,100.0,3.13,28,0,28,100.0,8.77,11,0,11,100.0,3.45,0,0,0,0.0,0.0,Alto Alegre do Pindaré<br><br>População:  31919<br>Enfermeiros SUS:  31<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  31<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.71,Alto Alegre do Pindaré<br><br>População:  31919<br>Médicos SUS:  16<br>Médicos não-SUS:  0<br>Médicos - Total:  16<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  5.01,Alto Alegre do Pindaré<br><br>População:  31919<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  3.13,Alto Alegre do Pindaré<br><br>População:  31919<br>Leitos (internação) SUS:  28<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  28<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  8.77,Alto Alegre do Pindaré<br><br>População:  31919<br>Leitos UTI SUS:  11<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  11<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  3.45,Alto Alegre do Pindaré<br><br>População:  31919<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
458,210050,Alto Parnaíba,11190,MA,11,0,11,100.0,9.83,5,1,6,83.33,5.36,1,0,1,100.0,8.94,22,0,22,100.0,19.66,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Parnaíba<br><br>População:  11190<br>Enfermeiros SUS:  11<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  11<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.83,Alto Parnaíba<br><br>População:  11190<br>Médicos SUS:  5<br>Médicos não-SUS:  1<br>Médicos - Total:  6<br>% de médicos SUS:  83.33<br>Médicos a cada 10k habitantes:  5.36,Alto Parnaíba<br><br>População:  11190<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  8.94,Alto Parnaíba<br><br>População:  11190<br>Leitos (internação) SUS:  22<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  22<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  19.66,Alto Parnaíba<br><br>População:  11190<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Parnaíba<br><br>População:  11190<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
459,210055,Amapá do Maranhão,6962,MA,6,0,6,100.0,8.62,2,0,2,100.0,2.87,1,0,1,100.0,14.36,11,0,11,100.0,15.8,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Amapá do Maranhão<br><br>População:  6962<br>Enfermeiros SUS:  6<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.62,Amapá do Maranhão<br><br>População:  6962<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  2.87,Amapá do Maranhão<br><br>População:  6962<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  14.36,Amapá do Maranhão<br><br>População:  6962<br>Leitos (internação) SUS:  11<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  11<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  15.8,Amapá do Maranhão<br><br>População:  6962<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Amapá do Maranhão<br><br>População:  6962<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
