Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
2244,310010,Abadia dos Dourados,6989,MG,4,0,4,100.0,5.72,13,0,13,100.0,18.6,0,1,1,0.0,14.31,12,5,17,70.59,24.32,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Abadia dos Dourados<br><br>População:  6989<br>Enfermeiros SUS:  4<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  4<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  5.72,Abadia dos Dourados<br><br>População:  6989<br>Médicos SUS:  13<br>Médicos não-SUS:  0<br>Médicos - Total:  13<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  18.6,Abadia dos Dourados<br><br>População:  6989<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  14.31,Abadia dos Dourados<br><br>População:  6989<br>Leitos (internação) SUS:  12<br>Leitos (internação) não-SUS:  5<br>Leitos (internação) - Total:  17<br>% de leitos (internação) SUS:  70.59<br>Leitos (internação) a cada 10k habitantes:  24.32,Abadia dos Dourados<br><br>População:  6989<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Abadia dos Dourados<br><br>População:  6989<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
2245,310020,Abaeté,23237,MG,18,0,18,100.0,7.75,40,6,46,86.96,19.8,0,1,1,0.0,4.3,41,5,46,89.13,19.8,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Abaeté<br><br>População:  23237<br>Enfermeiros SUS:  18<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  18<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.75,Abaeté<br><br>População:  23237<br>Médicos SUS:  40<br>Médicos não-SUS:  6<br>Médicos - Total:  46<br>% de médicos SUS:  86.96<br>Médicos a cada 10k habitantes:  19.8,Abaeté<br><br>População:  23237<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  4.3,Abaeté<br><br>População:  23237<br>Leitos (internação) SUS:  41<br>Leitos (internação) não-SUS:  5<br>Leitos (internação) - Total:  46<br>% de leitos (internação) SUS:  89.13<br>Leitos (internação) a cada 10k habitantes:  19.8,Abaeté<br><br>População:  23237<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Abaeté<br><br>População:  23237<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
2246,310030,Abre Campo,13454,MG,13,0,13,100.0,9.66,18,0,18,100.0,13.38,0,1,1,0.0,7.43,59,7,66,89.39,49.06,2,1,3,66.67,2.23,0,0,0,0.0,0.0,Abre Campo<br><br>População:  13454<br>Enfermeiros SUS:  13<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  13<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.66,Abre Campo<br><br>População:  13454<br>Médicos SUS:  18<br>Médicos não-SUS:  0<br>Médicos - Total:  18<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  13.38,Abre Campo<br><br>População:  13454<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  7.43,Abre Campo<br><br>População:  13454<br>Leitos (internação) SUS:  59<br>Leitos (internação) não-SUS:  7<br>Leitos (internação) - Total:  66<br>% de leitos (internação) SUS:  89.39<br>Leitos (internação) a cada 10k habitantes:  49.06,Abre Campo<br><br>População:  13454<br>Leitos UTI SUS:  2<br>Leitos UTI não-SUS:  1<br>Leitos UTI - Total:  3<br>% de leitos UTI SUS:  66.67<br>Leitos UTI a cada 10k habitantes:  2.23,Abre Campo<br><br>População:  13454<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
2247,310040,Acaiaca,3994,MG,2,0,2,100.0,5.01,3,0,3,100.0,7.51,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Acaiaca<br><br>População:  3994<br>Enfermeiros SUS:  2<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  2<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  5.01,Acaiaca<br><br>População:  3994<br>Médicos SUS:  3<br>Médicos não-SUS:  0<br>Médicos - Total:  3<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  7.51,Acaiaca<br><br>População:  3994<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Acaiaca<br><br>População:  3994<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Acaiaca<br><br>População:  3994<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Acaiaca<br><br>População:  3994<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
2248,310050,Açucena,9470,MG,9,0,9,100.0,9.5,6,0,6,100.0,6.34,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Açucena<br><br>População:  9470<br>Enfermeiros SUS:  9<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  9<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.5,Açucena<br><br>População:  9470<br>Médicos SUS:  6<br>Médicos não-SUS:  0<br>Médicos - Total:  6<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  6.34,Açucena<br><br>População:  9470<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Açucena<br><br>População:  9470<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Açucena<br><br>População:  9470<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Açucena<br><br>População:  9470<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
2249,310060,Água Boa,13735,MG,8,4,12,66.67,8.74,6,4,10,60.0,7.28,0,1,1,0.0,7.28,10,5,15,66.67,10.92,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Água Boa<br><br>População:  13735<br>Enfermeiros SUS:  8<br>Enfermeiros não-SUS:  4<br>Enfermeiros - Total:  12<br>% de enfermeiros SUS:  66.67<br>Enfermeiros a cada 10k habitantes:  8.74,Água Boa<br><br>População:  13735<br>Médicos SUS:  6<br>Médicos não-SUS:  4<br>Médicos - Total:  10<br>% de médicos SUS:  60.0<br>Médicos a cada 10k habitantes:  7.28,Água Boa<br><br>População:  13735<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  7.28,Água Boa<br><br>População:  13735<br>Leitos (internação) SUS:  10<br>Leitos (internação) não-SUS:  5<br>Leitos (internação) - Total:  15<br>% de leitos (internação) SUS:  66.67<br>Leitos (internação) a cada 10k habitantes:  10.92,Água Boa<br><br>População:  13735<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Água Boa<br><br>População:  13735<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
2250,310070,Água Comprida,1999,MG,7,0,7,100.0,35.02,3,0,3,100.0,15.01,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Água Comprida<br><br>População:  1999<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  35.02,Água Comprida<br><br>População:  1999<br>Médicos SUS:  3<br>Médicos não-SUS:  0<br>Médicos - Total:  3<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  15.01,Água Comprida<br><br>População:  1999<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Água Comprida<br><br>População:  1999<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Água Comprida<br><br>População:  1999<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Água Comprida<br><br>População:  1999<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
2251,310080,Aguanil,4486,MG,4,0,4,100.0,8.92,2,0,2,100.0,4.46,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Aguanil<br><br>População:  4486<br>Enfermeiros SUS:  4<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  4<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.92,Aguanil<br><br>População:  4486<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.46,Aguanil<br><br>População:  4486<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Aguanil<br><br>População:  4486<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Aguanil<br><br>População:  4486<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Aguanil<br><br>População:  4486<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
2252,310090,Águas Formosas,19207,MG,12,0,12,100.0,6.25,14,1,15,93.33,7.81,0,1,1,0.0,5.21,59,6,65,90.77,33.84,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Águas Formosas<br><br>População:  19207<br>Enfermeiros SUS:  12<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  12<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.25,Águas Formosas<br><br>População:  19207<br>Médicos SUS:  14<br>Médicos não-SUS:  1<br>Médicos - Total:  15<br>% de médicos SUS:  93.33<br>Médicos a cada 10k habitantes:  7.81,Águas Formosas<br><br>População:  19207<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  5.21,Águas Formosas<br><br>População:  19207<br>Leitos (internação) SUS:  59<br>Leitos (internação) não-SUS:  6<br>Leitos (internação) - Total:  65<br>% de leitos (internação) SUS:  90.77<br>Leitos (internação) a cada 10k habitantes:  33.84,Águas Formosas<br><br>População:  19207<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Águas Formosas<br><br>População:  19207<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
2253,310100,Águas Vermelhas,13539,MG,9,0,9,100.0,6.65,13,1,14,92.86,10.34,1,0,1,100.0,7.39,46,1,47,97.87,34.71,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Águas Vermelhas<br><br>População:  13539<br>Enfermeiros SUS:  9<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  9<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.65,Águas Vermelhas<br><br>População:  13539<br>Médicos SUS:  13<br>Médicos não-SUS:  1<br>Médicos - Total:  14<br>% de médicos SUS:  92.86<br>Médicos a cada 10k habitantes:  10.34,Águas Vermelhas<br><br>População:  13539<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  7.39,Águas Vermelhas<br><br>População:  13539<br>Leitos (internação) SUS:  46<br>Leitos (internação) não-SUS:  1<br>Leitos (internação) - Total:  47<br>% de leitos (internação) SUS:  97.87<br>Leitos (internação) a cada 10k habitantes:  34.71,Águas Vermelhas<br><br>População:  13539<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Águas Vermelhas<br><br>População:  13539<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
