Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
5103,500020,Água Clara,15522,MS,12,0,12,100.0,7.73,12,4,16,75.0,10.31,1,0,1,100.0,6.44,17,0,17,100.0,10.95,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Água Clara<br><br>População:  15522<br>Enfermeiros SUS:  12<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  12<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.73,Água Clara<br><br>População:  15522<br>Médicos SUS:  12<br>Médicos não-SUS:  4<br>Médicos - Total:  16<br>% de médicos SUS:  75.0<br>Médicos a cada 10k habitantes:  10.31,Água Clara<br><br>População:  15522<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  6.44,Água Clara<br><br>População:  15522<br>Leitos (internação) SUS:  17<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  17<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  10.95,Água Clara<br><br>População:  15522<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Água Clara<br><br>População:  15522<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5104,500025,Alcinópolis,5343,MS,12,0,12,100.0,22.46,6,0,6,100.0,11.23,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alcinópolis<br><br>População:  5343<br>Enfermeiros SUS:  12<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  12<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  22.46,Alcinópolis<br><br>População:  5343<br>Médicos SUS:  6<br>Médicos não-SUS:  0<br>Médicos - Total:  6<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  11.23,Alcinópolis<br><br>População:  5343<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alcinópolis<br><br>População:  5343<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alcinópolis<br><br>População:  5343<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alcinópolis<br><br>População:  5343<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5105,500060,Amambai,39396,MS,29,3,32,90.62,8.12,29,14,43,67.44,10.91,0,2,2,0.0,5.08,41,47,88,46.59,22.34,0,8,8,0.0,2.03,0,8,8,0.0,2.03,Amambai<br><br>População:  39396<br>Enfermeiros SUS:  29<br>Enfermeiros não-SUS:  3<br>Enfermeiros - Total:  32<br>% de enfermeiros SUS:  90.62<br>Enfermeiros a cada 10k habitantes:  8.12,Amambai<br><br>População:  39396<br>Médicos SUS:  29<br>Médicos não-SUS:  14<br>Médicos - Total:  43<br>% de médicos SUS:  67.44<br>Médicos a cada 10k habitantes:  10.91,Amambai<br><br>População:  39396<br>Hospitais públicos:  0<br>Hospitais não-públicos:  2<br>Hospitais - Total:  2<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  5.08,Amambai<br><br>População:  39396<br>Leitos (internação) SUS:  41<br>Leitos (internação) não-SUS:  47<br>Leitos (internação) - Total:  88<br>% de leitos (internação) SUS:  46.59<br>Leitos (internação) a cada 10k habitantes:  22.34,Amambai<br><br>População:  39396<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  8<br>Leitos UTI - Total:  8<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  2.03,Amambai<br><br>População:  39396<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  8<br>Leitos UTI COVID-19 - Total:  8<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  2.03
5106,500070,Anastácio,25135,MS,24,1,25,96.0,9.95,28,0,28,100.0,11.14,0,1,1,0.0,3.98,30,2,32,93.75,12.73,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Anastácio<br><br>População:  25135<br>Enfermeiros SUS:  24<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  25<br>% de enfermeiros SUS:  96.0<br>Enfermeiros a cada 10k habitantes:  9.95,Anastácio<br><br>População:  25135<br>Médicos SUS:  28<br>Médicos não-SUS:  0<br>Médicos - Total:  28<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  11.14,Anastácio<br><br>População:  25135<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  3.98,Anastácio<br><br>População:  25135<br>Leitos (internação) SUS:  30<br>Leitos (internação) não-SUS:  2<br>Leitos (internação) - Total:  32<br>% de leitos (internação) SUS:  93.75<br>Leitos (internação) a cada 10k habitantes:  12.73,Anastácio<br><br>População:  25135<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Anastácio<br><br>População:  25135<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5107,500080,Anaurilândia,9035,MS,10,0,10,100.0,11.07,22,0,22,100.0,24.35,0,1,1,0.0,11.07,8,4,12,66.67,13.28,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Anaurilândia<br><br>População:  9035<br>Enfermeiros SUS:  10<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  10<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  11.07,Anaurilândia<br><br>População:  9035<br>Médicos SUS:  22<br>Médicos não-SUS:  0<br>Médicos - Total:  22<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  24.35,Anaurilândia<br><br>População:  9035<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  11.07,Anaurilândia<br><br>População:  9035<br>Leitos (internação) SUS:  8<br>Leitos (internação) não-SUS:  4<br>Leitos (internação) - Total:  12<br>% de leitos (internação) SUS:  66.67<br>Leitos (internação) a cada 10k habitantes:  13.28,Anaurilândia<br><br>População:  9035<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Anaurilândia<br><br>População:  9035<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5108,500085,Angélica,10780,MS,9,0,9,100.0,8.35,2,0,2,100.0,1.86,0,1,1,0.0,9.28,14,13,27,51.85,25.05,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Angélica<br><br>População:  10780<br>Enfermeiros SUS:  9<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  9<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.35,Angélica<br><br>População:  10780<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  1.86,Angélica<br><br>População:  10780<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  9.28,Angélica<br><br>População:  10780<br>Leitos (internação) SUS:  14<br>Leitos (internação) não-SUS:  13<br>Leitos (internação) - Total:  27<br>% de leitos (internação) SUS:  51.85<br>Leitos (internação) a cada 10k habitantes:  25.05,Angélica<br><br>População:  10780<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Angélica<br><br>População:  10780<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5109,500090,Antônio João,8956,MS,8,0,8,100.0,8.93,7,1,8,87.5,8.93,1,0,1,100.0,11.17,10,0,10,100.0,11.17,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Antônio João<br><br>População:  8956<br>Enfermeiros SUS:  8<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  8<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.93,Antônio João<br><br>População:  8956<br>Médicos SUS:  7<br>Médicos não-SUS:  1<br>Médicos - Total:  8<br>% de médicos SUS:  87.5<br>Médicos a cada 10k habitantes:  8.93,Antônio João<br><br>População:  8956<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  11.17,Antônio João<br><br>População:  8956<br>Leitos (internação) SUS:  10<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  10<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  11.17,Antônio João<br><br>População:  8956<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Antônio João<br><br>População:  8956<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5110,500100,Aparecida do Taboado,25745,MS,22,0,22,100.0,8.55,33,8,41,80.49,15.93,2,0,2,100.0,7.77,78,28,106,73.58,41.17,2,0,2,100.0,0.78,0,0,0,0.0,0.0,Aparecida do Taboado<br><br>População:  25745<br>Enfermeiros SUS:  22<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  22<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.55,Aparecida do Taboado<br><br>População:  25745<br>Médicos SUS:  33<br>Médicos não-SUS:  8<br>Médicos - Total:  41<br>% de médicos SUS:  80.49<br>Médicos a cada 10k habitantes:  15.93,Aparecida do Taboado<br><br>População:  25745<br>Hospitais públicos:  2<br>Hospitais não-públicos:  0<br>Hospitais - Total:  2<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  7.77,Aparecida do Taboado<br><br>População:  25745<br>Leitos (internação) SUS:  78<br>Leitos (internação) não-SUS:  28<br>Leitos (internação) - Total:  106<br>% de leitos (internação) SUS:  73.58<br>Leitos (internação) a cada 10k habitantes:  41.17,Aparecida do Taboado<br><br>População:  25745<br>Leitos UTI SUS:  2<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  2<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.78,Aparecida do Taboado<br><br>População:  25745<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5111,500110,Aquidauana,47871,MS,54,7,61,88.52,12.74,50,25,75,66.67,15.67,0,3,3,0.0,6.27,109,34,143,76.22,29.87,14,6,20,70.0,4.18,0,0,0,0.0,0.0,Aquidauana<br><br>População:  47871<br>Enfermeiros SUS:  54<br>Enfermeiros não-SUS:  7<br>Enfermeiros - Total:  61<br>% de enfermeiros SUS:  88.52<br>Enfermeiros a cada 10k habitantes:  12.74,Aquidauana<br><br>População:  47871<br>Médicos SUS:  50<br>Médicos não-SUS:  25<br>Médicos - Total:  75<br>% de médicos SUS:  66.67<br>Médicos a cada 10k habitantes:  15.67,Aquidauana<br><br>População:  47871<br>Hospitais públicos:  0<br>Hospitais não-públicos:  3<br>Hospitais - Total:  3<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  6.27,Aquidauana<br><br>População:  47871<br>Leitos (internação) SUS:  109<br>Leitos (internação) não-SUS:  34<br>Leitos (internação) - Total:  143<br>% de leitos (internação) SUS:  76.22<br>Leitos (internação) a cada 10k habitantes:  29.87,Aquidauana<br><br>População:  47871<br>Leitos UTI SUS:  14<br>Leitos UTI não-SUS:  6<br>Leitos UTI - Total:  20<br>% de leitos UTI SUS:  70.0<br>Leitos UTI a cada 10k habitantes:  4.18,Aquidauana<br><br>População:  47871<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5112,500124,Aral Moreira,12149,MS,13,0,13,100.0,10.7,8,0,8,100.0,6.58,1,0,1,100.0,8.23,9,0,9,100.0,7.41,1,0,1,100.0,0.82,0,0,0,0.0,0.0,Aral Moreira<br><br>População:  12149<br>Enfermeiros SUS:  13<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  13<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.7,Aral Moreira<br><br>População:  12149<br>Médicos SUS:  8<br>Médicos não-SUS:  0<br>Médicos - Total:  8<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  6.58,Aral Moreira<br><br>População:  12149<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  8.23,Aral Moreira<br><br>População:  12149<br>Leitos (internação) SUS:  9<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  9<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  7.41,Aral Moreira<br><br>População:  12149<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.82,Aral Moreira<br><br>População:  12149<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
