Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
5182,510010,Acorizal,5399,MT,7,0,7,100.0,12.97,2,0,2,100.0,3.7,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Acorizal<br><br>População:  5399<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  12.97,Acorizal<br><br>População:  5399<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.7,Acorizal<br><br>População:  5399<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Acorizal<br><br>População:  5399<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Acorizal<br><br>População:  5399<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Acorizal<br><br>População:  5399<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5183,510020,Água Boa,25721,MT,24,6,30,80.0,11.66,19,21,40,47.5,15.55,1,1,2,50.0,7.78,62,15,77,80.52,29.94,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Água Boa<br><br>População:  25721<br>Enfermeiros SUS:  24<br>Enfermeiros não-SUS:  6<br>Enfermeiros - Total:  30<br>% de enfermeiros SUS:  80.0<br>Enfermeiros a cada 10k habitantes:  11.66,Água Boa<br><br>População:  25721<br>Médicos SUS:  19<br>Médicos não-SUS:  21<br>Médicos - Total:  40<br>% de médicos SUS:  47.5<br>Médicos a cada 10k habitantes:  15.55,Água Boa<br><br>População:  25721<br>Hospitais públicos:  1<br>Hospitais não-públicos:  1<br>Hospitais - Total:  2<br>% de hospitais públicos:  50.0<br>Hospitais a cada 100k habitantes:  7.78,Água Boa<br><br>População:  25721<br>Leitos (internação) SUS:  62<br>Leitos (internação) não-SUS:  15<br>Leitos (internação) - Total:  77<br>% de leitos (internação) SUS:  80.52<br>Leitos (internação) a cada 10k habitantes:  29.94,Água Boa<br><br>População:  25721<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Água Boa<br><br>População:  25721<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5184,510025,Alta Floresta,51782,MT,65,7,72,90.28,13.9,79,21,100,79.0,19.31,1,3,4,25.0,7.72,80,61,141,56.74,27.23,0,26,26,0.0,5.02,0,0,0,0.0,0.0,Alta Floresta<br><br>População:  51782<br>Enfermeiros SUS:  65<br>Enfermeiros não-SUS:  7<br>Enfermeiros - Total:  72<br>% de enfermeiros SUS:  90.28<br>Enfermeiros a cada 10k habitantes:  13.9,Alta Floresta<br><br>População:  51782<br>Médicos SUS:  79<br>Médicos não-SUS:  21<br>Médicos - Total:  100<br>% de médicos SUS:  79.0<br>Médicos a cada 10k habitantes:  19.31,Alta Floresta<br><br>População:  51782<br>Hospitais públicos:  1<br>Hospitais não-públicos:  3<br>Hospitais - Total:  4<br>% de hospitais públicos:  25.0<br>Hospitais a cada 100k habitantes:  7.72,Alta Floresta<br><br>População:  51782<br>Leitos (internação) SUS:  80<br>Leitos (internação) não-SUS:  61<br>Leitos (internação) - Total:  141<br>% de leitos (internação) SUS:  56.74<br>Leitos (internação) a cada 10k habitantes:  27.23,Alta Floresta<br><br>População:  51782<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  26<br>Leitos UTI - Total:  26<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  5.02,Alta Floresta<br><br>População:  51782<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5185,510030,Alto Araguaia,19044,MT,14,1,15,93.33,7.88,16,3,19,84.21,9.98,1,2,3,33.33,15.75,34,64,98,34.69,51.46,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Araguaia<br><br>População:  19044<br>Enfermeiros SUS:  14<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  15<br>% de enfermeiros SUS:  93.33<br>Enfermeiros a cada 10k habitantes:  7.88,Alto Araguaia<br><br>População:  19044<br>Médicos SUS:  16<br>Médicos não-SUS:  3<br>Médicos - Total:  19<br>% de médicos SUS:  84.21<br>Médicos a cada 10k habitantes:  9.98,Alto Araguaia<br><br>População:  19044<br>Hospitais públicos:  1<br>Hospitais não-públicos:  2<br>Hospitais - Total:  3<br>% de hospitais públicos:  33.33<br>Hospitais a cada 100k habitantes:  15.75,Alto Araguaia<br><br>População:  19044<br>Leitos (internação) SUS:  34<br>Leitos (internação) não-SUS:  64<br>Leitos (internação) - Total:  98<br>% de leitos (internação) SUS:  34.69<br>Leitos (internação) a cada 10k habitantes:  51.46,Alto Araguaia<br><br>População:  19044<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Araguaia<br><br>População:  19044<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5186,510035,Alto Boa Vista,6822,MT,5,0,5,100.0,7.33,4,0,4,100.0,5.86,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Boa Vista<br><br>População:  6822<br>Enfermeiros SUS:  5<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  5<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.33,Alto Boa Vista<br><br>População:  6822<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  5.86,Alto Boa Vista<br><br>População:  6822<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alto Boa Vista<br><br>População:  6822<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alto Boa Vista<br><br>População:  6822<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Boa Vista<br><br>População:  6822<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5187,510040,Alto Garças,12030,MT,6,0,6,100.0,4.99,6,0,6,100.0,4.99,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Garças<br><br>População:  12030<br>Enfermeiros SUS:  6<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  4.99,Alto Garças<br><br>População:  12030<br>Médicos SUS:  6<br>Médicos não-SUS:  0<br>Médicos - Total:  6<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.99,Alto Garças<br><br>População:  12030<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alto Garças<br><br>População:  12030<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alto Garças<br><br>População:  12030<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Garças<br><br>População:  12030<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5188,510050,Alto Paraguai,11356,MT,15,0,15,100.0,13.21,2,0,2,100.0,1.76,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Paraguai<br><br>População:  11356<br>Enfermeiros SUS:  15<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  15<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  13.21,Alto Paraguai<br><br>População:  11356<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  1.76,Alto Paraguai<br><br>População:  11356<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alto Paraguai<br><br>População:  11356<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alto Paraguai<br><br>População:  11356<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Paraguai<br><br>População:  11356<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5189,510060,Alto Taquari,10847,MT,11,1,12,91.67,11.06,8,1,9,88.89,8.3,1,0,1,100.0,9.22,24,6,30,80.0,27.66,1,0,1,100.0,0.92,0,0,0,0.0,0.0,Alto Taquari<br><br>População:  10847<br>Enfermeiros SUS:  11<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  12<br>% de enfermeiros SUS:  91.67<br>Enfermeiros a cada 10k habitantes:  11.06,Alto Taquari<br><br>População:  10847<br>Médicos SUS:  8<br>Médicos não-SUS:  1<br>Médicos - Total:  9<br>% de médicos SUS:  88.89<br>Médicos a cada 10k habitantes:  8.3,Alto Taquari<br><br>População:  10847<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  9.22,Alto Taquari<br><br>População:  10847<br>Leitos (internação) SUS:  24<br>Leitos (internação) não-SUS:  6<br>Leitos (internação) - Total:  30<br>% de leitos (internação) SUS:  80.0<br>Leitos (internação) a cada 10k habitantes:  27.66,Alto Taquari<br><br>População:  10847<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.92,Alto Taquari<br><br>População:  10847<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5190,510080,Apiacás,10133,MT,9,0,9,100.0,8.88,3,0,3,100.0,2.96,1,0,1,100.0,9.87,32,0,32,100.0,31.58,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Apiacás<br><br>População:  10133<br>Enfermeiros SUS:  9<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  9<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.88,Apiacás<br><br>População:  10133<br>Médicos SUS:  3<br>Médicos não-SUS:  0<br>Médicos - Total:  3<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  2.96,Apiacás<br><br>População:  10133<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  9.87,Apiacás<br><br>População:  10133<br>Leitos (internação) SUS:  32<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  32<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  31.58,Apiacás<br><br>População:  10133<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Apiacás<br><br>População:  10133<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
5191,510100,Araguaiana,3100,MT,10,0,10,100.0,32.26,2,0,2,100.0,6.45,0,0,0,0.0,0.0,12,0,12,100.0,38.71,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Araguaiana<br><br>População:  3100<br>Enfermeiros SUS:  10<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  10<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  32.26,Araguaiana<br><br>População:  3100<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  6.45,Araguaiana<br><br>População:  3100<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Araguaiana<br><br>População:  3100<br>Leitos (internação) SUS:  12<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  12<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  38.71,Araguaiana<br><br>População:  3100<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Araguaiana<br><br>População:  3100<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
