Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
151,150010,Abaetetuba,157698,PA,99,0,99,100.0,6.28,89,10,99,89.9,6.28,2,3,5,40.0,3.17,262,57,319,82.13,20.23,11,7,18,61.11,1.14,0,0,0,0.0,0.0,Abaetetuba<br><br>População:  157698<br>Enfermeiros SUS:  99<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  99<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.28,Abaetetuba<br><br>População:  157698<br>Médicos SUS:  89<br>Médicos não-SUS:  10<br>Médicos - Total:  99<br>% de médicos SUS:  89.9<br>Médicos a cada 10k habitantes:  6.28,Abaetetuba<br><br>População:  157698<br>Hospitais públicos:  2<br>Hospitais não-públicos:  3<br>Hospitais - Total:  5<br>% de hospitais públicos:  40.0<br>Hospitais a cada 100k habitantes:  3.17,Abaetetuba<br><br>População:  157698<br>Leitos (internação) SUS:  262<br>Leitos (internação) não-SUS:  57<br>Leitos (internação) - Total:  319<br>% de leitos (internação) SUS:  82.13<br>Leitos (internação) a cada 10k habitantes:  20.23,Abaetetuba<br><br>População:  157698<br>Leitos UTI SUS:  11<br>Leitos UTI não-SUS:  7<br>Leitos UTI - Total:  18<br>% de leitos UTI SUS:  61.11<br>Leitos UTI a cada 10k habitantes:  1.14,Abaetetuba<br><br>População:  157698<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
152,150013,Abel Figueiredo,7434,PA,6,0,6,100.0,8.07,6,0,6,100.0,8.07,1,0,1,100.0,13.45,21,0,21,100.0,28.25,1,0,1,100.0,1.35,0,0,0,0.0,0.0,Abel Figueiredo<br><br>População:  7434<br>Enfermeiros SUS:  6<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.07,Abel Figueiredo<br><br>População:  7434<br>Médicos SUS:  6<br>Médicos não-SUS:  0<br>Médicos - Total:  6<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  8.07,Abel Figueiredo<br><br>População:  7434<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  13.45,Abel Figueiredo<br><br>População:  7434<br>Leitos (internação) SUS:  21<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  21<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  28.25,Abel Figueiredo<br><br>População:  7434<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  1.35,Abel Figueiredo<br><br>População:  7434<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
153,150020,Acará,55591,PA,15,0,15,100.0,2.7,10,0,10,100.0,1.8,1,0,1,100.0,1.8,33,0,33,100.0,5.94,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Acará<br><br>População:  55591<br>Enfermeiros SUS:  15<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  15<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  2.7,Acará<br><br>População:  55591<br>Médicos SUS:  10<br>Médicos não-SUS:  0<br>Médicos - Total:  10<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  1.8,Acará<br><br>População:  55591<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  1.8,Acará<br><br>População:  55591<br>Leitos (internação) SUS:  33<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  33<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  5.94,Acará<br><br>População:  55591<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Acará<br><br>População:  55591<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
154,150030,Afuá,39218,PA,15,0,15,100.0,3.82,15,0,15,100.0,3.82,0,0,0,0.0,0.0,30,0,30,100.0,7.65,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Afuá<br><br>População:  39218<br>Enfermeiros SUS:  15<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  15<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  3.82,Afuá<br><br>População:  39218<br>Médicos SUS:  15<br>Médicos não-SUS:  0<br>Médicos - Total:  15<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.82,Afuá<br><br>População:  39218<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Afuá<br><br>População:  39218<br>Leitos (internação) SUS:  30<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  30<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  7.65,Afuá<br><br>População:  39218<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Afuá<br><br>População:  39218<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
155,150034,Água Azul do Norte,27430,PA,18,0,18,100.0,6.56,10,0,10,100.0,3.65,1,0,1,100.0,3.65,40,0,40,100.0,14.58,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Água Azul do Norte<br><br>População:  27430<br>Enfermeiros SUS:  18<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  18<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.56,Água Azul do Norte<br><br>População:  27430<br>Médicos SUS:  10<br>Médicos não-SUS:  0<br>Médicos - Total:  10<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.65,Água Azul do Norte<br><br>População:  27430<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  3.65,Água Azul do Norte<br><br>População:  27430<br>Leitos (internação) SUS:  40<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  40<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  14.58,Água Azul do Norte<br><br>População:  27430<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Água Azul do Norte<br><br>População:  27430<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
156,150040,Alenquer,56789,PA,27,0,27,100.0,4.75,17,0,17,100.0,2.99,0,1,1,0.0,1.76,91,6,97,93.81,17.08,9,0,9,100.0,1.58,0,0,0,0.0,0.0,Alenquer<br><br>População:  56789<br>Enfermeiros SUS:  27<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  27<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  4.75,Alenquer<br><br>População:  56789<br>Médicos SUS:  17<br>Médicos não-SUS:  0<br>Médicos - Total:  17<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  2.99,Alenquer<br><br>População:  56789<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  1.76,Alenquer<br><br>População:  56789<br>Leitos (internação) SUS:  91<br>Leitos (internação) não-SUS:  6<br>Leitos (internação) - Total:  97<br>% de leitos (internação) SUS:  93.81<br>Leitos (internação) a cada 10k habitantes:  17.08,Alenquer<br><br>População:  56789<br>Leitos UTI SUS:  9<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  9<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  1.58,Alenquer<br><br>População:  56789<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
157,150050,Almeirim,34109,PA,26,1,27,96.3,7.92,15,2,17,88.24,4.98,2,0,2,100.0,5.86,87,7,94,92.55,27.56,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Almeirim<br><br>População:  34109<br>Enfermeiros SUS:  26<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  27<br>% de enfermeiros SUS:  96.3<br>Enfermeiros a cada 10k habitantes:  7.92,Almeirim<br><br>População:  34109<br>Médicos SUS:  15<br>Médicos não-SUS:  2<br>Médicos - Total:  17<br>% de médicos SUS:  88.24<br>Médicos a cada 10k habitantes:  4.98,Almeirim<br><br>População:  34109<br>Hospitais públicos:  2<br>Hospitais não-públicos:  0<br>Hospitais - Total:  2<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  5.86,Almeirim<br><br>População:  34109<br>Leitos (internação) SUS:  87<br>Leitos (internação) não-SUS:  7<br>Leitos (internação) - Total:  94<br>% de leitos (internação) SUS:  92.55<br>Leitos (internação) a cada 10k habitantes:  27.56,Almeirim<br><br>População:  34109<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Almeirim<br><br>População:  34109<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
158,150060,Altamira,114594,PA,169,0,169,100.0,14.75,127,9,136,93.38,11.87,2,1,3,66.67,2.62,179,90,269,66.54,23.47,50,0,50,100.0,4.36,10,0,10,100.0,0.87,Altamira<br><br>População:  114594<br>Enfermeiros SUS:  169<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  169<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  14.75,Altamira<br><br>População:  114594<br>Médicos SUS:  127<br>Médicos não-SUS:  9<br>Médicos - Total:  136<br>% de médicos SUS:  93.38<br>Médicos a cada 10k habitantes:  11.87,Altamira<br><br>População:  114594<br>Hospitais públicos:  2<br>Hospitais não-públicos:  1<br>Hospitais - Total:  3<br>% de hospitais públicos:  66.67<br>Hospitais a cada 100k habitantes:  2.62,Altamira<br><br>População:  114594<br>Leitos (internação) SUS:  179<br>Leitos (internação) não-SUS:  90<br>Leitos (internação) - Total:  269<br>% de leitos (internação) SUS:  66.54<br>Leitos (internação) a cada 10k habitantes:  23.47,Altamira<br><br>População:  114594<br>Leitos UTI SUS:  50<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  50<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  4.36,Altamira<br><br>População:  114594<br>Leitos UTI COVID-19 SUS:  10<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  10<br>% de leitos UTI COVID-19 SUS:  100.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.87
159,150070,Anajás,29277,PA,8,0,8,100.0,2.73,3,0,3,100.0,1.02,1,0,1,100.0,3.42,20,0,20,100.0,6.83,1,0,1,100.0,0.34,0,0,0,0.0,0.0,Anajás<br><br>População:  29277<br>Enfermeiros SUS:  8<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  8<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  2.73,Anajás<br><br>População:  29277<br>Médicos SUS:  3<br>Médicos não-SUS:  0<br>Médicos - Total:  3<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  1.02,Anajás<br><br>População:  29277<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  3.42,Anajás<br><br>População:  29277<br>Leitos (internação) SUS:  20<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  20<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  6.83,Anajás<br><br>População:  29277<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.34,Anajás<br><br>População:  29277<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
160,150080,Ananindeua,530598,PA,506,22,528,95.83,9.95,533,176,709,75.18,13.36,1,6,7,14.29,1.32,698,159,857,81.45,16.15,127,25,152,83.55,2.86,27,9,36,75.0,0.68,Ananindeua<br><br>População:  530598<br>Enfermeiros SUS:  506<br>Enfermeiros não-SUS:  22<br>Enfermeiros - Total:  528<br>% de enfermeiros SUS:  95.83<br>Enfermeiros a cada 10k habitantes:  9.95,Ananindeua<br><br>População:  530598<br>Médicos SUS:  533<br>Médicos não-SUS:  176<br>Médicos - Total:  709<br>% de médicos SUS:  75.18<br>Médicos a cada 10k habitantes:  13.36,Ananindeua<br><br>População:  530598<br>Hospitais públicos:  1<br>Hospitais não-públicos:  6<br>Hospitais - Total:  7<br>% de hospitais públicos:  14.29<br>Hospitais a cada 100k habitantes:  1.32,Ananindeua<br><br>População:  530598<br>Leitos (internação) SUS:  698<br>Leitos (internação) não-SUS:  159<br>Leitos (internação) - Total:  857<br>% de leitos (internação) SUS:  81.45<br>Leitos (internação) a cada 10k habitantes:  16.15,Ananindeua<br><br>População:  530598<br>Leitos UTI SUS:  127<br>Leitos UTI não-SUS:  25<br>Leitos UTI - Total:  152<br>% de leitos UTI SUS:  83.55<br>Leitos UTI a cada 10k habitantes:  2.86,Ananindeua<br><br>População:  530598<br>Leitos UTI COVID-19 SUS:  27<br>Leitos UTI COVID-19 não-SUS:  9<br>Leitos UTI COVID-19 - Total:  36<br>% de leitos UTI COVID-19 SUS:  75.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.68
