Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
3912,410010,Abatiá,7457,PR,7,0,7,100.0,9.39,5,0,5,100.0,6.71,0,1,1,0.0,13.41,21,1,22,95.45,29.5,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Abatiá<br><br>População:  7457<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.39,Abatiá<br><br>População:  7457<br>Médicos SUS:  5<br>Médicos não-SUS:  0<br>Médicos - Total:  5<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  6.71,Abatiá<br><br>População:  7457<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  13.41,Abatiá<br><br>População:  7457<br>Leitos (internação) SUS:  21<br>Leitos (internação) não-SUS:  1<br>Leitos (internação) - Total:  22<br>% de leitos (internação) SUS:  95.45<br>Leitos (internação) a cada 10k habitantes:  29.5,Abatiá<br><br>População:  7457<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Abatiá<br><br>População:  7457<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3913,410020,Adrianópolis,5919,PR,2,1,3,66.67,5.07,6,1,7,85.71,11.83,0,0,0,0.0,0.0,3,0,3,100.0,5.07,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Adrianópolis<br><br>População:  5919<br>Enfermeiros SUS:  2<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  3<br>% de enfermeiros SUS:  66.67<br>Enfermeiros a cada 10k habitantes:  5.07,Adrianópolis<br><br>População:  5919<br>Médicos SUS:  6<br>Médicos não-SUS:  1<br>Médicos - Total:  7<br>% de médicos SUS:  85.71<br>Médicos a cada 10k habitantes:  11.83,Adrianópolis<br><br>População:  5919<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Adrianópolis<br><br>População:  5919<br>Leitos (internação) SUS:  3<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  3<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  5.07,Adrianópolis<br><br>População:  5919<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Adrianópolis<br><br>População:  5919<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3914,410030,Agudos do Sul,9371,PR,7,0,7,100.0,7.47,9,0,9,100.0,9.6,0,0,0,0.0,0.0,8,0,8,100.0,8.54,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Agudos do Sul<br><br>População:  9371<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.47,Agudos do Sul<br><br>População:  9371<br>Médicos SUS:  9<br>Médicos não-SUS:  0<br>Médicos - Total:  9<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  9.6,Agudos do Sul<br><br>População:  9371<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Agudos do Sul<br><br>População:  9371<br>Leitos (internação) SUS:  8<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  8<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  8.54,Agudos do Sul<br><br>População:  9371<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Agudos do Sul<br><br>População:  9371<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3915,410040,Almirante Tamandaré,118623,PR,35,0,35,100.0,2.95,69,14,83,83.13,7.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Almirante Tamandaré<br><br>População:  118623<br>Enfermeiros SUS:  35<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  35<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  2.95,Almirante Tamandaré<br><br>População:  118623<br>Médicos SUS:  69<br>Médicos não-SUS:  14<br>Médicos - Total:  83<br>% de médicos SUS:  83.13<br>Médicos a cada 10k habitantes:  7.0,Almirante Tamandaré<br><br>População:  118623<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Almirante Tamandaré<br><br>População:  118623<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Almirante Tamandaré<br><br>População:  118623<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Almirante Tamandaré<br><br>População:  118623<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3916,410045,Altamira do Paraná,1942,PR,6,0,6,100.0,30.9,4,0,4,100.0,20.6,1,0,1,100.0,51.49,19,0,19,100.0,97.84,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Altamira do Paraná<br><br>População:  1942<br>Enfermeiros SUS:  6<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  30.9,Altamira do Paraná<br><br>População:  1942<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  20.6,Altamira do Paraná<br><br>População:  1942<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  51.49,Altamira do Paraná<br><br>População:  1942<br>Leitos (internação) SUS:  19<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  19<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  97.84,Altamira do Paraná<br><br>População:  1942<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Altamira do Paraná<br><br>População:  1942<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3917,412862,Alto Paraíso,2741,PR,4,0,4,100.0,14.59,1,0,1,100.0,3.65,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Paraíso<br><br>População:  2741<br>Enfermeiros SUS:  4<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  4<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  14.59,Alto Paraíso<br><br>População:  2741<br>Médicos SUS:  1<br>Médicos não-SUS:  0<br>Médicos - Total:  1<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.65,Alto Paraíso<br><br>População:  2741<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alto Paraíso<br><br>População:  2741<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alto Paraíso<br><br>População:  2741<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Paraíso<br><br>População:  2741<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3918,410060,Alto Paraná,14770,PR,7,0,7,100.0,4.74,8,1,9,88.89,6.09,0,1,1,0.0,6.77,19,1,20,95.0,13.54,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Paraná<br><br>População:  14770<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  4.74,Alto Paraná<br><br>População:  14770<br>Médicos SUS:  8<br>Médicos não-SUS:  1<br>Médicos - Total:  9<br>% de médicos SUS:  88.89<br>Médicos a cada 10k habitantes:  6.09,Alto Paraná<br><br>População:  14770<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  6.77,Alto Paraná<br><br>População:  14770<br>Leitos (internação) SUS:  19<br>Leitos (internação) não-SUS:  1<br>Leitos (internação) - Total:  20<br>% de leitos (internação) SUS:  95.0<br>Leitos (internação) a cada 10k habitantes:  13.54,Alto Paraná<br><br>População:  14770<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Paraná<br><br>População:  14770<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3919,410070,Alto Piquiri,9836,PR,7,0,7,100.0,7.12,10,2,12,83.33,12.2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Piquiri<br><br>População:  9836<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.12,Alto Piquiri<br><br>População:  9836<br>Médicos SUS:  10<br>Médicos não-SUS:  2<br>Médicos - Total:  12<br>% de médicos SUS:  83.33<br>Médicos a cada 10k habitantes:  12.2,Alto Piquiri<br><br>População:  9836<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alto Piquiri<br><br>População:  9836<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alto Piquiri<br><br>População:  9836<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Piquiri<br><br>População:  9836<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3920,410050,Altônia,22056,PR,17,0,17,100.0,7.71,16,0,16,100.0,7.25,1,0,1,100.0,4.53,39,0,39,100.0,17.68,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Altônia<br><br>População:  22056<br>Enfermeiros SUS:  17<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  17<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.71,Altônia<br><br>População:  22056<br>Médicos SUS:  16<br>Médicos não-SUS:  0<br>Médicos - Total:  16<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  7.25,Altônia<br><br>População:  22056<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  4.53,Altônia<br><br>População:  22056<br>Leitos (internação) SUS:  39<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  39<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  17.68,Altônia<br><br>População:  22056<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Altônia<br><br>População:  22056<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3921,410080,Alvorada do Sul,11406,PR,14,0,14,100.0,12.27,9,0,9,100.0,7.89,1,0,1,100.0,8.77,16,0,16,100.0,14.03,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alvorada do Sul<br><br>População:  11406<br>Enfermeiros SUS:  14<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  14<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  12.27,Alvorada do Sul<br><br>População:  11406<br>Médicos SUS:  9<br>Médicos não-SUS:  0<br>Médicos - Total:  9<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  7.89,Alvorada do Sul<br><br>População:  11406<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  8.77,Alvorada do Sul<br><br>População:  11406<br>Leitos (internação) SUS:  16<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  16<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  14.03,Alvorada do Sul<br><br>População:  11406<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alvorada do Sul<br><br>População:  11406<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
