Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
3175,330010,Angra dos Reis,203785,RJ,318,16,334,95.21,16.39,424,110,534,79.4,26.2,2,6,8,25.0,3.93,301,57,358,84.08,17.57,62,67,129,48.06,6.33,0,40,40,0.0,1.96,Angra dos Reis<br><br>População:  203785<br>Enfermeiros SUS:  318<br>Enfermeiros não-SUS:  16<br>Enfermeiros - Total:  334<br>% de enfermeiros SUS:  95.21<br>Enfermeiros a cada 10k habitantes:  16.39,Angra dos Reis<br><br>População:  203785<br>Médicos SUS:  424<br>Médicos não-SUS:  110<br>Médicos - Total:  534<br>% de médicos SUS:  79.4<br>Médicos a cada 10k habitantes:  26.2,Angra dos Reis<br><br>População:  203785<br>Hospitais públicos:  2<br>Hospitais não-públicos:  6<br>Hospitais - Total:  8<br>% de hospitais públicos:  25.0<br>Hospitais a cada 100k habitantes:  3.93,Angra dos Reis<br><br>População:  203785<br>Leitos (internação) SUS:  301<br>Leitos (internação) não-SUS:  57<br>Leitos (internação) - Total:  358<br>% de leitos (internação) SUS:  84.08<br>Leitos (internação) a cada 10k habitantes:  17.57,Angra dos Reis<br><br>População:  203785<br>Leitos UTI SUS:  62<br>Leitos UTI não-SUS:  67<br>Leitos UTI - Total:  129<br>% de leitos UTI SUS:  48.06<br>Leitos UTI a cada 10k habitantes:  6.33,Angra dos Reis<br><br>População:  203785<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  40<br>Leitos UTI COVID-19 - Total:  40<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  1.96
3176,330015,Aperibé,11759,RJ,19,0,19,100.0,16.16,21,0,21,100.0,17.86,1,0,1,100.0,8.5,35,0,35,100.0,29.76,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Aperibé<br><br>População:  11759<br>Enfermeiros SUS:  19<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  19<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  16.16,Aperibé<br><br>População:  11759<br>Médicos SUS:  21<br>Médicos não-SUS:  0<br>Médicos - Total:  21<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  17.86,Aperibé<br><br>População:  11759<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  8.5,Aperibé<br><br>População:  11759<br>Leitos (internação) SUS:  35<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  35<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  29.76,Aperibé<br><br>População:  11759<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Aperibé<br><br>População:  11759<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3177,330020,Araruama,132400,RJ,116,3,119,97.48,8.99,208,110,318,65.41,24.02,3,2,5,60.0,3.78,112,35,147,76.19,11.1,31,13,44,70.45,3.32,0,6,6,0.0,0.45,Araruama<br><br>População:  132400<br>Enfermeiros SUS:  116<br>Enfermeiros não-SUS:  3<br>Enfermeiros - Total:  119<br>% de enfermeiros SUS:  97.48<br>Enfermeiros a cada 10k habitantes:  8.99,Araruama<br><br>População:  132400<br>Médicos SUS:  208<br>Médicos não-SUS:  110<br>Médicos - Total:  318<br>% de médicos SUS:  65.41<br>Médicos a cada 10k habitantes:  24.02,Araruama<br><br>População:  132400<br>Hospitais públicos:  3<br>Hospitais não-públicos:  2<br>Hospitais - Total:  5<br>% de hospitais públicos:  60.0<br>Hospitais a cada 100k habitantes:  3.78,Araruama<br><br>População:  132400<br>Leitos (internação) SUS:  112<br>Leitos (internação) não-SUS:  35<br>Leitos (internação) - Total:  147<br>% de leitos (internação) SUS:  76.19<br>Leitos (internação) a cada 10k habitantes:  11.1,Araruama<br><br>População:  132400<br>Leitos UTI SUS:  31<br>Leitos UTI não-SUS:  13<br>Leitos UTI - Total:  44<br>% de leitos UTI SUS:  70.45<br>Leitos UTI a cada 10k habitantes:  3.32,Araruama<br><br>População:  132400<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  6<br>Leitos UTI COVID-19 - Total:  6<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.45
3178,330022,Areal,12572,RJ,22,0,22,100.0,17.5,24,2,26,92.31,20.68,1,0,1,100.0,7.95,21,0,21,100.0,16.7,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Areal<br><br>População:  12572<br>Enfermeiros SUS:  22<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  22<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  17.5,Areal<br><br>População:  12572<br>Médicos SUS:  24<br>Médicos não-SUS:  2<br>Médicos - Total:  26<br>% de médicos SUS:  92.31<br>Médicos a cada 10k habitantes:  20.68,Areal<br><br>População:  12572<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  7.95,Areal<br><br>População:  12572<br>Leitos (internação) SUS:  21<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  21<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  16.7,Areal<br><br>População:  12572<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Areal<br><br>População:  12572<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3179,330023,Armação dos Búzios,33870,RJ,51,0,51,100.0,15.06,119,19,138,86.23,40.74,1,0,1,100.0,2.95,48,0,48,100.0,14.17,5,1,6,83.33,1.77,0,0,0,0.0,0.0,Armação dos Búzios<br><br>População:  33870<br>Enfermeiros SUS:  51<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  51<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  15.06,Armação dos Búzios<br><br>População:  33870<br>Médicos SUS:  119<br>Médicos não-SUS:  19<br>Médicos - Total:  138<br>% de médicos SUS:  86.23<br>Médicos a cada 10k habitantes:  40.74,Armação dos Búzios<br><br>População:  33870<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  2.95,Armação dos Búzios<br><br>População:  33870<br>Leitos (internação) SUS:  48<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  48<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  14.17,Armação dos Búzios<br><br>População:  33870<br>Leitos UTI SUS:  5<br>Leitos UTI não-SUS:  1<br>Leitos UTI - Total:  6<br>% de leitos UTI SUS:  83.33<br>Leitos UTI a cada 10k habitantes:  1.77,Armação dos Búzios<br><br>População:  33870<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3180,330025,Arraial do Cabo,30349,RJ,40,0,40,100.0,13.18,55,0,55,100.0,18.12,1,0,1,100.0,3.3,79,0,79,100.0,26.03,15,0,15,100.0,4.94,0,0,0,0.0,0.0,Arraial do Cabo<br><br>População:  30349<br>Enfermeiros SUS:  40<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  40<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  13.18,Arraial do Cabo<br><br>População:  30349<br>Médicos SUS:  55<br>Médicos não-SUS:  0<br>Médicos - Total:  55<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  18.12,Arraial do Cabo<br><br>População:  30349<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  3.3,Arraial do Cabo<br><br>População:  30349<br>Leitos (internação) SUS:  79<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  79<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  26.03,Arraial do Cabo<br><br>População:  30349<br>Leitos UTI SUS:  15<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  15<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  4.94,Arraial do Cabo<br><br>População:  30349<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3181,330030,Barra do Piraí,100374,RJ,87,9,96,90.62,9.56,127,50,177,71.75,17.63,0,5,5,0.0,4.98,234,46,280,83.57,27.9,9,7,16,56.25,1.59,0,0,0,0.0,0.0,Barra do Piraí<br><br>População:  100374<br>Enfermeiros SUS:  87<br>Enfermeiros não-SUS:  9<br>Enfermeiros - Total:  96<br>% de enfermeiros SUS:  90.62<br>Enfermeiros a cada 10k habitantes:  9.56,Barra do Piraí<br><br>População:  100374<br>Médicos SUS:  127<br>Médicos não-SUS:  50<br>Médicos - Total:  177<br>% de médicos SUS:  71.75<br>Médicos a cada 10k habitantes:  17.63,Barra do Piraí<br><br>População:  100374<br>Hospitais públicos:  0<br>Hospitais não-públicos:  5<br>Hospitais - Total:  5<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  4.98,Barra do Piraí<br><br>População:  100374<br>Leitos (internação) SUS:  234<br>Leitos (internação) não-SUS:  46<br>Leitos (internação) - Total:  280<br>% de leitos (internação) SUS:  83.57<br>Leitos (internação) a cada 10k habitantes:  27.9,Barra do Piraí<br><br>População:  100374<br>Leitos UTI SUS:  9<br>Leitos UTI não-SUS:  7<br>Leitos UTI - Total:  16<br>% de leitos UTI SUS:  56.25<br>Leitos UTI a cada 10k habitantes:  1.59,Barra do Piraí<br><br>População:  100374<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3182,330040,Barra Mansa,184412,RJ,166,30,196,84.69,10.63,385,180,565,68.14,30.64,2,6,8,25.0,4.34,199,109,308,64.61,16.7,19,64,83,22.89,4.5,0,4,4,0.0,0.22,Barra Mansa<br><br>População:  184412<br>Enfermeiros SUS:  166<br>Enfermeiros não-SUS:  30<br>Enfermeiros - Total:  196<br>% de enfermeiros SUS:  84.69<br>Enfermeiros a cada 10k habitantes:  10.63,Barra Mansa<br><br>População:  184412<br>Médicos SUS:  385<br>Médicos não-SUS:  180<br>Médicos - Total:  565<br>% de médicos SUS:  68.14<br>Médicos a cada 10k habitantes:  30.64,Barra Mansa<br><br>População:  184412<br>Hospitais públicos:  2<br>Hospitais não-públicos:  6<br>Hospitais - Total:  8<br>% de hospitais públicos:  25.0<br>Hospitais a cada 100k habitantes:  4.34,Barra Mansa<br><br>População:  184412<br>Leitos (internação) SUS:  199<br>Leitos (internação) não-SUS:  109<br>Leitos (internação) - Total:  308<br>% de leitos (internação) SUS:  64.61<br>Leitos (internação) a cada 10k habitantes:  16.7,Barra Mansa<br><br>População:  184412<br>Leitos UTI SUS:  19<br>Leitos UTI não-SUS:  64<br>Leitos UTI - Total:  83<br>% de leitos UTI SUS:  22.89<br>Leitos UTI a cada 10k habitantes:  4.5,Barra Mansa<br><br>População:  184412<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  4<br>Leitos UTI COVID-19 - Total:  4<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.22
3183,330045,Belford Roxo,510906,RJ,167,4,171,97.66,3.35,290,75,365,79.45,7.14,1,5,6,16.67,1.17,222,125,347,63.98,6.79,17,28,45,37.78,0.88,0,0,0,0.0,0.0,Belford Roxo<br><br>População:  510906<br>Enfermeiros SUS:  167<br>Enfermeiros não-SUS:  4<br>Enfermeiros - Total:  171<br>% de enfermeiros SUS:  97.66<br>Enfermeiros a cada 10k habitantes:  3.35,Belford Roxo<br><br>População:  510906<br>Médicos SUS:  290<br>Médicos não-SUS:  75<br>Médicos - Total:  365<br>% de médicos SUS:  79.45<br>Médicos a cada 10k habitantes:  7.14,Belford Roxo<br><br>População:  510906<br>Hospitais públicos:  1<br>Hospitais não-públicos:  5<br>Hospitais - Total:  6<br>% de hospitais públicos:  16.67<br>Hospitais a cada 100k habitantes:  1.17,Belford Roxo<br><br>População:  510906<br>Leitos (internação) SUS:  222<br>Leitos (internação) não-SUS:  125<br>Leitos (internação) - Total:  347<br>% de leitos (internação) SUS:  63.98<br>Leitos (internação) a cada 10k habitantes:  6.79,Belford Roxo<br><br>População:  510906<br>Leitos UTI SUS:  17<br>Leitos UTI não-SUS:  28<br>Leitos UTI - Total:  45<br>% de leitos UTI SUS:  37.78<br>Leitos UTI a cada 10k habitantes:  0.88,Belford Roxo<br><br>População:  510906<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3184,330050,Bom Jardim,27446,RJ,17,0,17,100.0,6.19,47,11,58,81.03,21.13,0,1,1,0.0,3.64,60,5,65,92.31,23.68,2,0,2,100.0,0.73,0,0,0,0.0,0.0,Bom Jardim<br><br>População:  27446<br>Enfermeiros SUS:  17<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  17<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.19,Bom Jardim<br><br>População:  27446<br>Médicos SUS:  47<br>Médicos não-SUS:  11<br>Médicos - Total:  58<br>% de médicos SUS:  81.03<br>Médicos a cada 10k habitantes:  21.13,Bom Jardim<br><br>População:  27446<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  3.64,Bom Jardim<br><br>População:  27446<br>Leitos (internação) SUS:  60<br>Leitos (internação) não-SUS:  5<br>Leitos (internação) - Total:  65<br>% de leitos (internação) SUS:  92.31<br>Leitos (internação) a cada 10k habitantes:  23.68,Bom Jardim<br><br>População:  27446<br>Leitos UTI SUS:  2<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  2<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.73,Bom Jardim<br><br>População:  27446<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
