Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
1075,240010,Acari,11136,RN,5,0,5,100.0,4.49,6,0,6,100.0,5.39,0,1,1,0.0,8.98,34,6,40,85.0,35.92,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Acari<br><br>População:  11136<br>Enfermeiros SUS:  5<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  5<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  4.49,Acari<br><br>População:  11136<br>Médicos SUS:  6<br>Médicos não-SUS:  0<br>Médicos - Total:  6<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  5.39,Acari<br><br>População:  11136<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  8.98,Acari<br><br>População:  11136<br>Leitos (internação) SUS:  34<br>Leitos (internação) não-SUS:  6<br>Leitos (internação) - Total:  40<br>% de leitos (internação) SUS:  85.0<br>Leitos (internação) a cada 10k habitantes:  35.92,Acari<br><br>População:  11136<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Acari<br><br>População:  11136<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1076,240020,Açu,58017,RN,56,1,57,98.25,9.82,64,11,75,85.33,12.93,1,1,2,50.0,3.45,44,16,60,73.33,10.34,2,0,2,100.0,0.34,0,0,0,0.0,0.0,Açu<br><br>População:  58017<br>Enfermeiros SUS:  56<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  57<br>% de enfermeiros SUS:  98.25<br>Enfermeiros a cada 10k habitantes:  9.82,Açu<br><br>População:  58017<br>Médicos SUS:  64<br>Médicos não-SUS:  11<br>Médicos - Total:  75<br>% de médicos SUS:  85.33<br>Médicos a cada 10k habitantes:  12.93,Açu<br><br>População:  58017<br>Hospitais públicos:  1<br>Hospitais não-públicos:  1<br>Hospitais - Total:  2<br>% de hospitais públicos:  50.0<br>Hospitais a cada 100k habitantes:  3.45,Açu<br><br>População:  58017<br>Leitos (internação) SUS:  44<br>Leitos (internação) não-SUS:  16<br>Leitos (internação) - Total:  60<br>% de leitos (internação) SUS:  73.33<br>Leitos (internação) a cada 10k habitantes:  10.34,Açu<br><br>População:  58017<br>Leitos UTI SUS:  2<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  2<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.34,Açu<br><br>População:  58017<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1077,240030,Afonso Bezerra,11035,RN,12,0,12,100.0,10.87,4,0,4,100.0,3.62,1,0,1,100.0,9.06,11,0,11,100.0,9.97,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Afonso Bezerra<br><br>População:  11035<br>Enfermeiros SUS:  12<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  12<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.87,Afonso Bezerra<br><br>População:  11035<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.62,Afonso Bezerra<br><br>População:  11035<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  9.06,Afonso Bezerra<br><br>População:  11035<br>Leitos (internação) SUS:  11<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  11<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  9.97,Afonso Bezerra<br><br>População:  11035<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Afonso Bezerra<br><br>População:  11035<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1078,240040,Água Nova,3252,RN,2,0,2,100.0,6.15,2,0,2,100.0,6.15,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Água Nova<br><br>População:  3252<br>Enfermeiros SUS:  2<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  2<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.15,Água Nova<br><br>População:  3252<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  6.15,Água Nova<br><br>População:  3252<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Água Nova<br><br>População:  3252<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Água Nova<br><br>População:  3252<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Água Nova<br><br>População:  3252<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1079,240050,Alexandria,13577,RN,22,0,22,100.0,16.2,33,9,42,78.57,30.93,0,2,2,0.0,14.73,124,0,124,100.0,91.33,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alexandria<br><br>População:  13577<br>Enfermeiros SUS:  22<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  22<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  16.2,Alexandria<br><br>População:  13577<br>Médicos SUS:  33<br>Médicos não-SUS:  9<br>Médicos - Total:  42<br>% de médicos SUS:  78.57<br>Médicos a cada 10k habitantes:  30.93,Alexandria<br><br>População:  13577<br>Hospitais públicos:  0<br>Hospitais não-públicos:  2<br>Hospitais - Total:  2<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  14.73,Alexandria<br><br>População:  13577<br>Leitos (internação) SUS:  124<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  124<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  91.33,Alexandria<br><br>População:  13577<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alexandria<br><br>População:  13577<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1080,240060,Almino Afonso,4735,RN,7,0,7,100.0,14.78,4,0,4,100.0,8.45,1,0,1,100.0,21.12,50,0,50,100.0,105.6,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Almino Afonso<br><br>População:  4735<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  14.78,Almino Afonso<br><br>População:  4735<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  8.45,Almino Afonso<br><br>População:  4735<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  21.12,Almino Afonso<br><br>População:  4735<br>Leitos (internação) SUS:  50<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  50<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  105.6,Almino Afonso<br><br>População:  4735<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Almino Afonso<br><br>População:  4735<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1081,240070,Alto do Rodrigues,14529,RN,8,0,8,100.0,5.51,15,2,17,88.24,11.7,0,0,0,0.0,0.0,21,0,21,100.0,14.45,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto do Rodrigues<br><br>População:  14529<br>Enfermeiros SUS:  8<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  8<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  5.51,Alto do Rodrigues<br><br>População:  14529<br>Médicos SUS:  15<br>Médicos não-SUS:  2<br>Médicos - Total:  17<br>% de médicos SUS:  88.24<br>Médicos a cada 10k habitantes:  11.7,Alto do Rodrigues<br><br>População:  14529<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alto do Rodrigues<br><br>População:  14529<br>Leitos (internação) SUS:  21<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  21<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  14.45,Alto do Rodrigues<br><br>População:  14529<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto do Rodrigues<br><br>População:  14529<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1082,240080,Angicos,11714,RN,10,0,10,100.0,8.54,4,0,4,100.0,3.41,1,0,1,100.0,8.54,28,0,28,100.0,23.9,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Angicos<br><br>População:  11714<br>Enfermeiros SUS:  10<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  10<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.54,Angicos<br><br>População:  11714<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.41,Angicos<br><br>População:  11714<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  8.54,Angicos<br><br>População:  11714<br>Leitos (internação) SUS:  28<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  28<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  23.9,Angicos<br><br>População:  11714<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Angicos<br><br>População:  11714<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1083,240090,Antônio Martins,7145,RN,6,0,6,100.0,8.4,1,0,1,100.0,1.4,1,0,1,100.0,14.0,32,0,32,100.0,44.79,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Antônio Martins<br><br>População:  7145<br>Enfermeiros SUS:  6<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.4,Antônio Martins<br><br>População:  7145<br>Médicos SUS:  1<br>Médicos não-SUS:  0<br>Médicos - Total:  1<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  1.4,Antônio Martins<br><br>População:  7145<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  14.0,Antônio Martins<br><br>População:  7145<br>Leitos (internação) SUS:  32<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  32<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  44.79,Antônio Martins<br><br>População:  7145<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Antônio Martins<br><br>População:  7145<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1084,240100,Apodi,35845,RN,25,0,25,100.0,6.97,11,2,13,84.62,3.63,2,0,2,100.0,5.58,60,0,60,100.0,16.74,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Apodi<br><br>População:  35845<br>Enfermeiros SUS:  25<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  25<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.97,Apodi<br><br>População:  35845<br>Médicos SUS:  11<br>Médicos não-SUS:  2<br>Médicos - Total:  13<br>% de médicos SUS:  84.62<br>Médicos a cada 10k habitantes:  3.63,Apodi<br><br>População:  35845<br>Hospitais públicos:  2<br>Hospitais não-públicos:  0<br>Hospitais - Total:  2<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  5.58,Apodi<br><br>População:  35845<br>Leitos (internação) SUS:  60<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  60<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  16.74,Apodi<br><br>População:  35845<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Apodi<br><br>População:  35845<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
