Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
0,110001,Alta Floresta D'Oeste,22945,RO,23,0,23,100.0,10.02,17,2,19,89.47,8.28,1,1,2,50.0,8.72,43,6,49,87.76,21.36,2,0,2,100.0,0.87,0,0,0,0.0,0.0,Alta Floresta D'Oeste<br><br>População:  22945<br>Enfermeiros SUS:  23<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  23<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.02,Alta Floresta D'Oeste<br><br>População:  22945<br>Médicos SUS:  17<br>Médicos não-SUS:  2<br>Médicos - Total:  19<br>% de médicos SUS:  89.47<br>Médicos a cada 10k habitantes:  8.28,Alta Floresta D'Oeste<br><br>População:  22945<br>Hospitais públicos:  1<br>Hospitais não-públicos:  1<br>Hospitais - Total:  2<br>% de hospitais públicos:  50.0<br>Hospitais a cada 100k habitantes:  8.72,Alta Floresta D'Oeste<br><br>População:  22945<br>Leitos (internação) SUS:  43<br>Leitos (internação) não-SUS:  6<br>Leitos (internação) - Total:  49<br>% de leitos (internação) SUS:  87.76<br>Leitos (internação) a cada 10k habitantes:  21.36,Alta Floresta D'Oeste<br><br>População:  22945<br>Leitos UTI SUS:  2<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  2<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.87,Alta Floresta D'Oeste<br><br>População:  22945<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
1,110037,Alto Alegre dos Parecis,13241,RO,10,0,10,100.0,7.55,6,0,6,100.0,4.53,1,0,1,100.0,7.55,16,0,16,100.0,12.08,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Alegre dos Parecis<br><br>População:  13241<br>Enfermeiros SUS:  10<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  10<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.55,Alto Alegre dos Parecis<br><br>População:  13241<br>Médicos SUS:  6<br>Médicos não-SUS:  0<br>Médicos - Total:  6<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.53,Alto Alegre dos Parecis<br><br>População:  13241<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  7.55,Alto Alegre dos Parecis<br><br>População:  13241<br>Leitos (internação) SUS:  16<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  16<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  12.08,Alto Alegre dos Parecis<br><br>População:  13241<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Alegre dos Parecis<br><br>População:  13241<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
2,110040,Alto Paraíso,21428,RO,9,0,9,100.0,4.2,10,0,10,100.0,4.67,1,0,1,100.0,4.67,16,0,16,100.0,7.47,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Paraíso<br><br>População:  21428<br>Enfermeiros SUS:  9<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  9<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  4.2,Alto Paraíso<br><br>População:  21428<br>Médicos SUS:  10<br>Médicos não-SUS:  0<br>Médicos - Total:  10<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.67,Alto Paraíso<br><br>População:  21428<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  4.67,Alto Paraíso<br><br>População:  21428<br>Leitos (internação) SUS:  16<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  16<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  7.47,Alto Paraíso<br><br>População:  21428<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Paraíso<br><br>População:  21428<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3,110034,Alvorada D'Oeste,14411,RO,14,0,14,100.0,9.71,6,1,7,85.71,4.86,0,0,0,0.0,0.0,35,0,35,100.0,24.29,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alvorada D'Oeste<br><br>População:  14411<br>Enfermeiros SUS:  14<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  14<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.71,Alvorada D'Oeste<br><br>População:  14411<br>Médicos SUS:  6<br>Médicos não-SUS:  1<br>Médicos - Total:  7<br>% de médicos SUS:  85.71<br>Médicos a cada 10k habitantes:  4.86,Alvorada D'Oeste<br><br>População:  14411<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alvorada D'Oeste<br><br>População:  14411<br>Leitos (internação) SUS:  35<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  35<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  24.29,Alvorada D'Oeste<br><br>População:  14411<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alvorada D'Oeste<br><br>População:  14411<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4,110002,Ariquemes,107863,RO,90,12,102,88.24,9.46,123,38,161,76.4,14.93,3,8,11,27.27,10.2,155,105,260,59.62,24.1,15,39,54,27.78,5.01,6,0,6,100.0,0.56,Ariquemes<br><br>População:  107863<br>Enfermeiros SUS:  90<br>Enfermeiros não-SUS:  12<br>Enfermeiros - Total:  102<br>% de enfermeiros SUS:  88.24<br>Enfermeiros a cada 10k habitantes:  9.46,Ariquemes<br><br>População:  107863<br>Médicos SUS:  123<br>Médicos não-SUS:  38<br>Médicos - Total:  161<br>% de médicos SUS:  76.4<br>Médicos a cada 10k habitantes:  14.93,Ariquemes<br><br>População:  107863<br>Hospitais públicos:  3<br>Hospitais não-públicos:  8<br>Hospitais - Total:  11<br>% de hospitais públicos:  27.27<br>Hospitais a cada 100k habitantes:  10.2,Ariquemes<br><br>População:  107863<br>Leitos (internação) SUS:  155<br>Leitos (internação) não-SUS:  105<br>Leitos (internação) - Total:  260<br>% de leitos (internação) SUS:  59.62<br>Leitos (internação) a cada 10k habitantes:  24.1,Ariquemes<br><br>População:  107863<br>Leitos UTI SUS:  15<br>Leitos UTI não-SUS:  39<br>Leitos UTI - Total:  54<br>% de leitos UTI SUS:  27.78<br>Leitos UTI a cada 10k habitantes:  5.01,Ariquemes<br><br>População:  107863<br>Leitos UTI COVID-19 SUS:  6<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  6<br>% de leitos UTI COVID-19 SUS:  100.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.56
5,110045,Buritis,39654,RO,24,4,28,85.71,7.06,26,1,27,96.3,6.81,1,2,3,33.33,7.57,32,34,66,48.48,16.64,0,1,1,0.0,0.25,0,0,0,0.0,0.0,Buritis<br><br>População:  39654<br>Enfermeiros SUS:  24<br>Enfermeiros não-SUS:  4<br>Enfermeiros - Total:  28<br>% de enfermeiros SUS:  85.71<br>Enfermeiros a cada 10k habitantes:  7.06,Buritis<br><br>População:  39654<br>Médicos SUS:  26<br>Médicos não-SUS:  1<br>Médicos - Total:  27<br>% de médicos SUS:  96.3<br>Médicos a cada 10k habitantes:  6.81,Buritis<br><br>População:  39654<br>Hospitais públicos:  1<br>Hospitais não-públicos:  2<br>Hospitais - Total:  3<br>% de hospitais públicos:  33.33<br>Hospitais a cada 100k habitantes:  7.57,Buritis<br><br>População:  39654<br>Leitos (internação) SUS:  32<br>Leitos (internação) não-SUS:  34<br>Leitos (internação) - Total:  66<br>% de leitos (internação) SUS:  48.48<br>Leitos (internação) a cada 10k habitantes:  16.64,Buritis<br><br>População:  39654<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  1<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.25,Buritis<br><br>População:  39654<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
6,110003,Cabixi,5312,RO,8,0,8,100.0,15.06,7,0,7,100.0,13.18,0,0,0,0.0,0.0,9,0,9,100.0,16.94,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Cabixi<br><br>População:  5312<br>Enfermeiros SUS:  8<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  8<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  15.06,Cabixi<br><br>População:  5312<br>Médicos SUS:  7<br>Médicos não-SUS:  0<br>Médicos - Total:  7<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  13.18,Cabixi<br><br>População:  5312<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Cabixi<br><br>População:  5312<br>Leitos (internação) SUS:  9<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  9<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  16.94,Cabixi<br><br>População:  5312<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Cabixi<br><br>População:  5312<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
7,110060,Cacaulândia,6230,RO,4,0,4,100.0,6.42,1,0,1,100.0,1.61,1,0,1,100.0,16.05,26,0,26,100.0,41.73,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Cacaulândia<br><br>População:  6230<br>Enfermeiros SUS:  4<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  4<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.42,Cacaulândia<br><br>População:  6230<br>Médicos SUS:  1<br>Médicos não-SUS:  0<br>Médicos - Total:  1<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  1.61,Cacaulândia<br><br>População:  6230<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  16.05,Cacaulândia<br><br>População:  6230<br>Leitos (internação) SUS:  26<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  26<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  41.73,Cacaulândia<br><br>População:  6230<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Cacaulândia<br><br>População:  6230<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
8,110004,Cacoal,85359,RO,198,18,216,91.67,25.3,264,80,344,76.74,40.3,2,5,7,28.57,8.2,287,73,360,79.72,42.17,27,26,53,50.94,6.21,0,16,16,0.0,1.87,Cacoal<br><br>População:  85359<br>Enfermeiros SUS:  198<br>Enfermeiros não-SUS:  18<br>Enfermeiros - Total:  216<br>% de enfermeiros SUS:  91.67<br>Enfermeiros a cada 10k habitantes:  25.3,Cacoal<br><br>População:  85359<br>Médicos SUS:  264<br>Médicos não-SUS:  80<br>Médicos - Total:  344<br>% de médicos SUS:  76.74<br>Médicos a cada 10k habitantes:  40.3,Cacoal<br><br>População:  85359<br>Hospitais públicos:  2<br>Hospitais não-públicos:  5<br>Hospitais - Total:  7<br>% de hospitais públicos:  28.57<br>Hospitais a cada 100k habitantes:  8.2,Cacoal<br><br>População:  85359<br>Leitos (internação) SUS:  287<br>Leitos (internação) não-SUS:  73<br>Leitos (internação) - Total:  360<br>% de leitos (internação) SUS:  79.72<br>Leitos (internação) a cada 10k habitantes:  42.17,Cacoal<br><br>População:  85359<br>Leitos UTI SUS:  27<br>Leitos UTI não-SUS:  26<br>Leitos UTI - Total:  53<br>% de leitos UTI SUS:  50.94<br>Leitos UTI a cada 10k habitantes:  6.21,Cacoal<br><br>População:  85359<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  16<br>Leitos UTI COVID-19 - Total:  16<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  1.87
9,110070,Campo Novo de Rondônia,14139,RO,12,0,12,100.0,8.49,3,0,3,100.0,2.12,1,0,1,100.0,7.07,19,0,19,100.0,13.44,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Campo Novo de Rondônia<br><br>População:  14139<br>Enfermeiros SUS:  12<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  12<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.49,Campo Novo de Rondônia<br><br>População:  14139<br>Médicos SUS:  3<br>Médicos não-SUS:  0<br>Médicos - Total:  3<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  2.12,Campo Novo de Rondônia<br><br>População:  14139<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  7.07,Campo Novo de Rondônia<br><br>População:  14139<br>Leitos (internação) SUS:  19<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  19<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  13.44,Campo Novo de Rondônia<br><br>População:  14139<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Campo Novo de Rondônia<br><br>População:  14139<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
