Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
136,140005,Alto Alegre,15510,RR,40,0,40,100.0,25.79,12,0,12,100.0,7.74,1,0,1,100.0,6.45,22,4,26,84.62,16.76,1,0,1,100.0,0.64,0,0,0,0,0.0,Alto Alegre<br><br>População:  15510<br>Enfermeiros SUS:  40<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  40<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  25.79,Alto Alegre<br><br>População:  15510<br>Médicos SUS:  12<br>Médicos não-SUS:  0<br>Médicos - Total:  12<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  7.74,Alto Alegre<br><br>População:  15510<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  6.45,Alto Alegre<br><br>População:  15510<br>Leitos (internação) SUS:  22<br>Leitos (internação) não-SUS:  4<br>Leitos (internação) - Total:  26<br>% de leitos (internação) SUS:  84.62<br>Leitos (internação) a cada 10k habitantes:  16.76,Alto Alegre<br><br>População:  15510<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.64,Alto Alegre<br><br>População:  15510<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
137,140002,Amajari,12796,RR,22,0,22,100.0,17.19,11,0,11,100.0,8.6,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,Amajari<br><br>População:  12796<br>Enfermeiros SUS:  22<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  22<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  17.19,Amajari<br><br>População:  12796<br>Médicos SUS:  11<br>Médicos não-SUS:  0<br>Médicos - Total:  11<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  8.6,Amajari<br><br>População:  12796<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Amajari<br><br>População:  12796<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Amajari<br><br>População:  12796<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Amajari<br><br>População:  12796<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
138,140010,Boa Vista,399213,RR,609,22,631,96.51,15.81,744,44,788,94.42,19.74,6,3,9,66.67,2.25,1193,128,1321,90.31,33.09,79,45,124,63.71,3.11,0,30,30,0,0.75,Boa Vista<br><br>População:  399213<br>Enfermeiros SUS:  609<br>Enfermeiros não-SUS:  22<br>Enfermeiros - Total:  631<br>% de enfermeiros SUS:  96.51<br>Enfermeiros a cada 10k habitantes:  15.81,Boa Vista<br><br>População:  399213<br>Médicos SUS:  744<br>Médicos não-SUS:  44<br>Médicos - Total:  788<br>% de médicos SUS:  94.42<br>Médicos a cada 10k habitantes:  19.74,Boa Vista<br><br>População:  399213<br>Hospitais públicos:  6<br>Hospitais não-públicos:  3<br>Hospitais - Total:  9<br>% de hospitais públicos:  66.67<br>Hospitais a cada 100k habitantes:  2.25,Boa Vista<br><br>População:  399213<br>Leitos (internação) SUS:  1193<br>Leitos (internação) não-SUS:  128<br>Leitos (internação) - Total:  1321<br>% de leitos (internação) SUS:  90.31<br>Leitos (internação) a cada 10k habitantes:  33.09,Boa Vista<br><br>População:  399213<br>Leitos UTI SUS:  79<br>Leitos UTI não-SUS:  45<br>Leitos UTI - Total:  124<br>% de leitos UTI SUS:  63.71<br>Leitos UTI a cada 10k habitantes:  3.11,Boa Vista<br><br>População:  399213<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  30<br>Leitos UTI COVID-19 - Total:  30<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.75
139,140015,Bonfim,12409,RR,15,0,15,100.0,12.09,4,0,4,100.0,3.22,1,0,1,100.0,8.06,8,6,14,57.14,11.28,1,0,1,100.0,0.81,0,0,0,0,0.0,Bonfim<br><br>População:  12409<br>Enfermeiros SUS:  15<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  15<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  12.09,Bonfim<br><br>População:  12409<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  3.22,Bonfim<br><br>População:  12409<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  8.06,Bonfim<br><br>População:  12409<br>Leitos (internação) SUS:  8<br>Leitos (internação) não-SUS:  6<br>Leitos (internação) - Total:  14<br>% de leitos (internação) SUS:  57.14<br>Leitos (internação) a cada 10k habitantes:  11.28,Bonfim<br><br>População:  12409<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.81,Bonfim<br><br>População:  12409<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
140,140017,Cantá,18335,RR,14,0,14,100.0,7.64,1,0,1,100.0,0.55,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,Cantá<br><br>População:  18335<br>Enfermeiros SUS:  14<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  14<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.64,Cantá<br><br>População:  18335<br>Médicos SUS:  1<br>Médicos não-SUS:  0<br>Médicos - Total:  1<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  0.55,Cantá<br><br>População:  18335<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Cantá<br><br>População:  18335<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Cantá<br><br>População:  18335<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Cantá<br><br>População:  18335<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
141,140020,Caracaraí,21926,RR,24,0,24,100.0,10.95,9,0,9,100.0,4.1,0,0,0,0.0,0.0,24,0,24,100.0,10.95,0,0,0,0.0,0.0,0,0,0,0,0.0,Caracaraí<br><br>População:  21926<br>Enfermeiros SUS:  24<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  24<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.95,Caracaraí<br><br>População:  21926<br>Médicos SUS:  9<br>Médicos não-SUS:  0<br>Médicos - Total:  9<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.1,Caracaraí<br><br>População:  21926<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Caracaraí<br><br>População:  21926<br>Leitos (internação) SUS:  24<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  24<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  10.95,Caracaraí<br><br>População:  21926<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Caracaraí<br><br>População:  21926<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
142,140023,Caroebe,10169,RR,9,0,9,100.0,8.85,6,0,6,100.0,5.9,0,0,0,0.0,0.0,16,0,16,100.0,15.73,0,0,0,0.0,0.0,0,0,0,0,0.0,Caroebe<br><br>População:  10169<br>Enfermeiros SUS:  9<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  9<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.85,Caroebe<br><br>População:  10169<br>Médicos SUS:  6<br>Médicos não-SUS:  0<br>Médicos - Total:  6<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  5.9,Caroebe<br><br>População:  10169<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Caroebe<br><br>População:  10169<br>Leitos (internação) SUS:  16<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  16<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  15.73,Caroebe<br><br>População:  10169<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Caroebe<br><br>População:  10169<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
143,140028,Iracema,11950,RR,11,0,11,100.0,9.21,3,0,3,100.0,2.51,0,0,0,0.0,0.0,0,1,1,0.0,0.84,0,0,0,0.0,0.0,0,0,0,0,0.0,Iracema<br><br>População:  11950<br>Enfermeiros SUS:  11<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  11<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.21,Iracema<br><br>População:  11950<br>Médicos SUS:  3<br>Médicos não-SUS:  0<br>Médicos - Total:  3<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  2.51,Iracema<br><br>População:  11950<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Iracema<br><br>População:  11950<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  1<br>Leitos (internação) - Total:  1<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.84,Iracema<br><br>População:  11950<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Iracema<br><br>População:  11950<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
144,140030,Mucajaí,17853,RR,17,0,17,100.0,9.52,8,0,8,100.0,4.48,1,0,1,100.0,5.6,14,8,22,63.64,12.32,1,0,1,100.0,0.56,0,0,0,0,0.0,Mucajaí<br><br>População:  17853<br>Enfermeiros SUS:  17<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  17<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  9.52,Mucajaí<br><br>População:  17853<br>Médicos SUS:  8<br>Médicos não-SUS:  0<br>Médicos - Total:  8<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.48,Mucajaí<br><br>População:  17853<br>Hospitais públicos:  1<br>Hospitais não-públicos:  0<br>Hospitais - Total:  1<br>% de hospitais públicos:  100.0<br>Hospitais a cada 100k habitantes:  5.6,Mucajaí<br><br>População:  17853<br>Leitos (internação) SUS:  14<br>Leitos (internação) não-SUS:  8<br>Leitos (internação) - Total:  22<br>% de leitos (internação) SUS:  63.64<br>Leitos (internação) a cada 10k habitantes:  12.32,Mucajaí<br><br>População:  17853<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.56,Mucajaí<br><br>População:  17853<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
145,140040,Normandia,11290,RR,14,0,14,100.0,12.4,5,0,5,100.0,4.43,0,0,0,0.0,0.0,19,1,20,95.0,17.71,1,0,1,100.0,0.89,0,0,0,0,0.0,Normandia<br><br>População:  11290<br>Enfermeiros SUS:  14<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  14<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  12.4,Normandia<br><br>População:  11290<br>Médicos SUS:  5<br>Médicos não-SUS:  0<br>Médicos - Total:  5<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  4.43,Normandia<br><br>População:  11290<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Normandia<br><br>População:  11290<br>Leitos (internação) SUS:  19<br>Leitos (internação) não-SUS:  1<br>Leitos (internação) - Total:  20<br>% de leitos (internação) SUS:  95.0<br>Leitos (internação) a cada 10k habitantes:  17.71,Normandia<br><br>População:  11290<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.89,Normandia<br><br>População:  11290<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
