Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
4606,430003,Aceguá,4901,RS,8,0,8,100.0,16.32,4,0,4,100.0,8.16,0,1,1,0.0,20.4,34,8,42,80.95,85.7,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Aceguá<br><br>População:  4901<br>Enfermeiros SUS:  8<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  8<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  16.32,Aceguá<br><br>População:  4901<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  8.16,Aceguá<br><br>População:  4901<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  20.4,Aceguá<br><br>População:  4901<br>Leitos (internação) SUS:  34<br>Leitos (internação) não-SUS:  8<br>Leitos (internação) - Total:  42<br>% de leitos (internação) SUS:  80.95<br>Leitos (internação) a cada 10k habitantes:  85.7,Aceguá<br><br>População:  4901<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Aceguá<br><br>População:  4901<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4607,430005,Água Santa,3748,RS,7,1,8,87.5,21.34,7,0,7,100.0,18.68,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Água Santa<br><br>População:  3748<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  8<br>% de enfermeiros SUS:  87.5<br>Enfermeiros a cada 10k habitantes:  21.34,Água Santa<br><br>População:  3748<br>Médicos SUS:  7<br>Médicos não-SUS:  0<br>Médicos - Total:  7<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  18.68,Água Santa<br><br>População:  3748<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Água Santa<br><br>População:  3748<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Água Santa<br><br>População:  3748<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Água Santa<br><br>População:  3748<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4608,430010,Agudo,16461,RS,11,0,11,100.0,6.68,24,6,30,80.0,18.22,0,1,1,0.0,6.07,39,12,51,76.47,30.98,1,0,1,100.0,0.61,0,0,0,0.0,0.0,Agudo<br><br>População:  16461<br>Enfermeiros SUS:  11<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  11<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.68,Agudo<br><br>População:  16461<br>Médicos SUS:  24<br>Médicos não-SUS:  6<br>Médicos - Total:  30<br>% de médicos SUS:  80.0<br>Médicos a cada 10k habitantes:  18.22,Agudo<br><br>População:  16461<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  6.07,Agudo<br><br>População:  16461<br>Leitos (internação) SUS:  39<br>Leitos (internação) não-SUS:  12<br>Leitos (internação) - Total:  51<br>% de leitos (internação) SUS:  76.47<br>Leitos (internação) a cada 10k habitantes:  30.98,Agudo<br><br>População:  16461<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  0.61,Agudo<br><br>População:  16461<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4609,430020,Ajuricaba,7024,RS,9,0,9,100.0,12.81,10,0,10,100.0,14.24,0,1,1,0.0,14.24,39,10,49,79.59,69.76,1,0,1,100.0,1.42,0,0,0,0.0,0.0,Ajuricaba<br><br>População:  7024<br>Enfermeiros SUS:  9<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  9<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  12.81,Ajuricaba<br><br>População:  7024<br>Médicos SUS:  10<br>Médicos não-SUS:  0<br>Médicos - Total:  10<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  14.24,Ajuricaba<br><br>População:  7024<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  14.24,Ajuricaba<br><br>População:  7024<br>Leitos (internação) SUS:  39<br>Leitos (internação) não-SUS:  10<br>Leitos (internação) - Total:  49<br>% de leitos (internação) SUS:  79.59<br>Leitos (internação) a cada 10k habitantes:  69.76,Ajuricaba<br><br>População:  7024<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  1.42,Ajuricaba<br><br>População:  7024<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4610,430030,Alecrim,5950,RS,9,0,9,100.0,15.13,4,0,4,100.0,6.72,0,1,1,0.0,16.81,46,4,50,92.0,84.03,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alecrim<br><br>População:  5950<br>Enfermeiros SUS:  9<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  9<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  15.13,Alecrim<br><br>População:  5950<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  6.72,Alecrim<br><br>População:  5950<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  16.81,Alecrim<br><br>População:  5950<br>Leitos (internação) SUS:  46<br>Leitos (internação) não-SUS:  4<br>Leitos (internação) - Total:  50<br>% de leitos (internação) SUS:  92.0<br>Leitos (internação) a cada 10k habitantes:  84.03,Alecrim<br><br>População:  5950<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alecrim<br><br>População:  5950<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4611,430040,Alegrete,73589,RS,78,1,79,98.73,10.74,110,9,119,92.44,16.17,0,1,1,0.0,1.36,137,35,172,79.65,23.37,23,2,25,92.0,3.4,7,0,7,100.0,0.95,Alegrete<br><br>População:  73589<br>Enfermeiros SUS:  78<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  79<br>% de enfermeiros SUS:  98.73<br>Enfermeiros a cada 10k habitantes:  10.74,Alegrete<br><br>População:  73589<br>Médicos SUS:  110<br>Médicos não-SUS:  9<br>Médicos - Total:  119<br>% de médicos SUS:  92.44<br>Médicos a cada 10k habitantes:  16.17,Alegrete<br><br>População:  73589<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  1.36,Alegrete<br><br>População:  73589<br>Leitos (internação) SUS:  137<br>Leitos (internação) não-SUS:  35<br>Leitos (internação) - Total:  172<br>% de leitos (internação) SUS:  79.65<br>Leitos (internação) a cada 10k habitantes:  23.37,Alegrete<br><br>População:  73589<br>Leitos UTI SUS:  23<br>Leitos UTI não-SUS:  2<br>Leitos UTI - Total:  25<br>% de leitos UTI SUS:  92.0<br>Leitos UTI a cada 10k habitantes:  3.4,Alegrete<br><br>População:  73589<br>Leitos UTI COVID-19 SUS:  7<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  7<br>% de leitos UTI COVID-19 SUS:  100.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.95
4612,430045,Alegria,3464,RS,3,0,3,100.0,8.66,3,1,4,75.0,11.55,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alegria<br><br>População:  3464<br>Enfermeiros SUS:  3<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  3<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.66,Alegria<br><br>População:  3464<br>Médicos SUS:  3<br>Médicos não-SUS:  1<br>Médicos - Total:  4<br>% de médicos SUS:  75.0<br>Médicos a cada 10k habitantes:  11.55,Alegria<br><br>População:  3464<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alegria<br><br>População:  3464<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alegria<br><br>População:  3464<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alegria<br><br>População:  3464<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4613,430047,Almirante Tamandaré do Sul,1964,RS,2,0,2,100.0,10.18,2,0,2,100.0,10.18,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Almirante Tamandaré do Sul<br><br>População:  1964<br>Enfermeiros SUS:  2<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  2<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.18,Almirante Tamandaré do Sul<br><br>População:  1964<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  10.18,Almirante Tamandaré do Sul<br><br>População:  1964<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Almirante Tamandaré do Sul<br><br>População:  1964<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Almirante Tamandaré do Sul<br><br>População:  1964<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Almirante Tamandaré do Sul<br><br>População:  1964<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4614,430050,Alpestre,6258,RS,10,0,10,100.0,15.98,10,0,10,100.0,15.98,0,1,1,0.0,15.98,23,0,23,100.0,36.75,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alpestre<br><br>População:  6258<br>Enfermeiros SUS:  10<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  10<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  15.98,Alpestre<br><br>População:  6258<br>Médicos SUS:  10<br>Médicos não-SUS:  0<br>Médicos - Total:  10<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  15.98,Alpestre<br><br>População:  6258<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  15.98,Alpestre<br><br>População:  6258<br>Leitos (internação) SUS:  23<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  23<br>% de leitos (internação) SUS:  100.0<br>Leitos (internação) a cada 10k habitantes:  36.75,Alpestre<br><br>População:  6258<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alpestre<br><br>População:  6258<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4615,430055,Alto Alegre,1638,RS,0,0,0,0.0,0.0,2,0,2,100.0,12.21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Alegre<br><br>População:  1638<br>Enfermeiros SUS:  0<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  0<br>% de enfermeiros SUS:  0.0<br>Enfermeiros a cada 10k habitantes:  0.0,Alto Alegre<br><br>População:  1638<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  12.21,Alto Alegre<br><br>População:  1638<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alto Alegre<br><br>População:  1638<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alto Alegre<br><br>População:  1638<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Alegre<br><br>População:  1638<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
