Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
4311,420005,Abdon Batista,2563,SC,3,0,3,100.0,11.71,5,0,5,100.0,19.51,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Abdon Batista<br><br>População:  2563<br>Enfermeiros SUS:  3<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  3<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  11.71,Abdon Batista<br><br>População:  2563<br>Médicos SUS:  5<br>Médicos não-SUS:  0<br>Médicos - Total:  5<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  19.51,Abdon Batista<br><br>População:  2563<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Abdon Batista<br><br>População:  2563<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Abdon Batista<br><br>População:  2563<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Abdon Batista<br><br>População:  2563<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4312,420010,Abelardo Luz,17904,SC,15,1,16,93.75,8.94,35,9,44,79.55,24.58,0,1,1,0.0,5.59,34,8,42,80.95,23.46,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Abelardo Luz<br><br>População:  17904<br>Enfermeiros SUS:  15<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  16<br>% de enfermeiros SUS:  93.75<br>Enfermeiros a cada 10k habitantes:  8.94,Abelardo Luz<br><br>População:  17904<br>Médicos SUS:  35<br>Médicos não-SUS:  9<br>Médicos - Total:  44<br>% de médicos SUS:  79.55<br>Médicos a cada 10k habitantes:  24.58,Abelardo Luz<br><br>População:  17904<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  5.59,Abelardo Luz<br><br>População:  17904<br>Leitos (internação) SUS:  34<br>Leitos (internação) não-SUS:  8<br>Leitos (internação) - Total:  42<br>% de leitos (internação) SUS:  80.95<br>Leitos (internação) a cada 10k habitantes:  23.46,Abelardo Luz<br><br>População:  17904<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Abelardo Luz<br><br>População:  17904<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4313,420020,Agrolândia,10864,SC,9,0,9,100.0,8.28,10,1,11,90.91,10.13,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Agrolândia<br><br>População:  10864<br>Enfermeiros SUS:  9<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  9<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.28,Agrolândia<br><br>População:  10864<br>Médicos SUS:  10<br>Médicos não-SUS:  1<br>Médicos - Total:  11<br>% de médicos SUS:  90.91<br>Médicos a cada 10k habitantes:  10.13,Agrolândia<br><br>População:  10864<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Agrolândia<br><br>População:  10864<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Agrolândia<br><br>População:  10864<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Agrolândia<br><br>População:  10864<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4314,420030,Agronômica,5448,SC,2,0,2,100.0,3.67,4,0,4,100.0,7.34,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Agronômica<br><br>População:  5448<br>Enfermeiros SUS:  2<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  2<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  3.67,Agronômica<br><br>População:  5448<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  7.34,Agronômica<br><br>População:  5448<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Agronômica<br><br>População:  5448<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Agronômica<br><br>População:  5448<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Agronômica<br><br>População:  5448<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4315,420040,Água Doce,7145,SC,8,0,8,100.0,11.2,7,0,7,100.0,9.8,0,1,1,0.0,14.0,26,5,31,83.87,43.39,1,0,1,100.0,1.4,0,0,0,0.0,0.0,Água Doce<br><br>População:  7145<br>Enfermeiros SUS:  8<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  8<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  11.2,Água Doce<br><br>População:  7145<br>Médicos SUS:  7<br>Médicos não-SUS:  0<br>Médicos - Total:  7<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  9.8,Água Doce<br><br>População:  7145<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  14.0,Água Doce<br><br>População:  7145<br>Leitos (internação) SUS:  26<br>Leitos (internação) não-SUS:  5<br>Leitos (internação) - Total:  31<br>% de leitos (internação) SUS:  83.87<br>Leitos (internação) a cada 10k habitantes:  43.39,Água Doce<br><br>População:  7145<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  1.4,Água Doce<br><br>População:  7145<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4316,420050,Águas de Chapecó,6486,SC,5,0,5,100.0,7.71,10,1,11,90.91,16.96,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Águas de Chapecó<br><br>População:  6486<br>Enfermeiros SUS:  5<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  5<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  7.71,Águas de Chapecó<br><br>População:  6486<br>Médicos SUS:  10<br>Médicos não-SUS:  1<br>Médicos - Total:  11<br>% de médicos SUS:  90.91<br>Médicos a cada 10k habitantes:  16.96,Águas de Chapecó<br><br>População:  6486<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Águas de Chapecó<br><br>População:  6486<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Águas de Chapecó<br><br>População:  6486<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Águas de Chapecó<br><br>População:  6486<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4317,420055,Águas Frias,2366,SC,2,0,2,100.0,8.45,2,0,2,100.0,8.45,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Águas Frias<br><br>População:  2366<br>Enfermeiros SUS:  2<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  2<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  8.45,Águas Frias<br><br>População:  2366<br>Médicos SUS:  2<br>Médicos não-SUS:  0<br>Médicos - Total:  2<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  8.45,Águas Frias<br><br>População:  2366<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Águas Frias<br><br>População:  2366<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Águas Frias<br><br>População:  2366<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Águas Frias<br><br>População:  2366<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4318,420060,Águas Mornas,6469,SC,2,0,2,100.0,3.09,9,0,9,100.0,13.91,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Águas Mornas<br><br>População:  6469<br>Enfermeiros SUS:  2<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  2<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  3.09,Águas Mornas<br><br>População:  6469<br>Médicos SUS:  9<br>Médicos não-SUS:  0<br>Médicos - Total:  9<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  13.91,Águas Mornas<br><br>População:  6469<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Águas Mornas<br><br>População:  6469<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Águas Mornas<br><br>População:  6469<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Águas Mornas<br><br>População:  6469<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4319,420070,Alfredo Wagner,10036,SC,4,1,5,80.0,4.98,7,0,7,100.0,6.97,0,1,1,0.0,9.96,18,6,24,75.0,23.91,1,0,1,100.0,1.0,0,0,0,0.0,0.0,Alfredo Wagner<br><br>População:  10036<br>Enfermeiros SUS:  4<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  5<br>% de enfermeiros SUS:  80.0<br>Enfermeiros a cada 10k habitantes:  4.98,Alfredo Wagner<br><br>População:  10036<br>Médicos SUS:  7<br>Médicos não-SUS:  0<br>Médicos - Total:  7<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  6.97,Alfredo Wagner<br><br>População:  10036<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  9.96,Alfredo Wagner<br><br>População:  10036<br>Leitos (internação) SUS:  18<br>Leitos (internação) não-SUS:  6<br>Leitos (internação) - Total:  24<br>% de leitos (internação) SUS:  75.0<br>Leitos (internação) a cada 10k habitantes:  23.91,Alfredo Wagner<br><br>População:  10036<br>Leitos UTI SUS:  1<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  1<br>% de leitos UTI SUS:  100.0<br>Leitos UTI a cada 10k habitantes:  1.0,Alfredo Wagner<br><br>População:  10036<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
4320,420075,Alto Bela Vista,1937,SC,2,0,2,100.0,10.33,4,0,4,100.0,20.65,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alto Bela Vista<br><br>População:  1937<br>Enfermeiros SUS:  2<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  2<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  10.33,Alto Bela Vista<br><br>População:  1937<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  20.65,Alto Bela Vista<br><br>População:  1937<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alto Bela Vista<br><br>População:  1937<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alto Bela Vista<br><br>População:  1937<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alto Bela Vista<br><br>População:  1937<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
