Unnamed: 0,Código Municipal,Município,População,UF,Enfermeiros SUS,Enfermeiros não-SUS,Enfermeiros - Total,% de enfermeiros SUS,Enfermeiros a cada 10k habitantes,Médicos SUS,Médicos não-SUS,Médicos - Total,% de médicos SUS,Médicos a cada 10k habitantes,Hospitais públicos,Hospitais não-públicos,Hospitais - Total,% de hospitais públicos,Hospitais a cada 100k habitantes,Leitos (internação) SUS,Leitos (internação) não-SUS,Leitos (internação) - Total,% de leitos (internação) SUS,Leitos (internação) a cada 10k habitantes,Leitos UTI SUS,Leitos UTI não-SUS,Leitos UTI - Total,% de leitos UTI SUS,Leitos UTI a cada 10k habitantes,Leitos UTI COVID-19 SUS,Leitos UTI COVID-19 não-SUS,Leitos UTI COVID-19 - Total,% de leitos UTI COVID-19 SUS,Leitos UTI COVID-19 a cada 10k habitantes,col_enfermeiros,col_medicos,col_hospitais,col_leitos_int,col_leitos_UTI,col_leitos_UTI_COVID
3267,350010,Adamantina,35068,SP,80,3,83,96.39,23.67,134,9,143,93.71,40.78,0,2,2,0.0,5.7,206,29,235,87.66,67.01,4,11,15,26.67,4.28,0,5,5,0.0,1.43,Adamantina<br><br>População:  35068<br>Enfermeiros SUS:  80<br>Enfermeiros não-SUS:  3<br>Enfermeiros - Total:  83<br>% de enfermeiros SUS:  96.39<br>Enfermeiros a cada 10k habitantes:  23.67,Adamantina<br><br>População:  35068<br>Médicos SUS:  134<br>Médicos não-SUS:  9<br>Médicos - Total:  143<br>% de médicos SUS:  93.71<br>Médicos a cada 10k habitantes:  40.78,Adamantina<br><br>População:  35068<br>Hospitais públicos:  0<br>Hospitais não-públicos:  2<br>Hospitais - Total:  2<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  5.7,Adamantina<br><br>População:  35068<br>Leitos (internação) SUS:  206<br>Leitos (internação) não-SUS:  29<br>Leitos (internação) - Total:  235<br>% de leitos (internação) SUS:  87.66<br>Leitos (internação) a cada 10k habitantes:  67.01,Adamantina<br><br>População:  35068<br>Leitos UTI SUS:  4<br>Leitos UTI não-SUS:  11<br>Leitos UTI - Total:  15<br>% de leitos UTI SUS:  26.67<br>Leitos UTI a cada 10k habitantes:  4.28,Adamantina<br><br>População:  35068<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  5<br>Leitos UTI COVID-19 - Total:  5<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  1.43
3268,350020,Adolfo,3562,SP,6,0,6,100.0,16.84,15,0,15,100.0,42.11,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Adolfo<br><br>População:  3562<br>Enfermeiros SUS:  6<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  16.84,Adolfo<br><br>População:  3562<br>Médicos SUS:  15<br>Médicos não-SUS:  0<br>Médicos - Total:  15<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  42.11,Adolfo<br><br>População:  3562<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Adolfo<br><br>População:  3562<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Adolfo<br><br>População:  3562<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Adolfo<br><br>População:  3562<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3269,350030,Aguaí,36305,SP,23,0,23,100.0,6.34,48,20,68,70.59,18.73,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Aguaí<br><br>População:  36305<br>Enfermeiros SUS:  23<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  23<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  6.34,Aguaí<br><br>População:  36305<br>Médicos SUS:  48<br>Médicos não-SUS:  20<br>Médicos - Total:  68<br>% de médicos SUS:  70.59<br>Médicos a cada 10k habitantes:  18.73,Aguaí<br><br>População:  36305<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Aguaí<br><br>População:  36305<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Aguaí<br><br>População:  36305<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Aguaí<br><br>População:  36305<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3270,350040,Águas da Prata,8180,SP,5,1,6,83.33,7.33,17,0,17,100.0,20.78,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Águas da Prata<br><br>População:  8180<br>Enfermeiros SUS:  5<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  83.33<br>Enfermeiros a cada 10k habitantes:  7.33,Águas da Prata<br><br>População:  8180<br>Médicos SUS:  17<br>Médicos não-SUS:  0<br>Médicos - Total:  17<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  20.78,Águas da Prata<br><br>População:  8180<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Águas da Prata<br><br>População:  8180<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Águas da Prata<br><br>População:  8180<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Águas da Prata<br><br>População:  8180<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3271,350050,Águas de Lindóia,18705,SP,19,1,20,95.0,10.69,40,6,46,86.96,24.59,0,1,1,0.0,5.35,30,12,42,71.43,22.45,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Águas de Lindóia<br><br>População:  18705<br>Enfermeiros SUS:  19<br>Enfermeiros não-SUS:  1<br>Enfermeiros - Total:  20<br>% de enfermeiros SUS:  95.0<br>Enfermeiros a cada 10k habitantes:  10.69,Águas de Lindóia<br><br>População:  18705<br>Médicos SUS:  40<br>Médicos não-SUS:  6<br>Médicos - Total:  46<br>% de médicos SUS:  86.96<br>Médicos a cada 10k habitantes:  24.59,Águas de Lindóia<br><br>População:  18705<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  5.35,Águas de Lindóia<br><br>População:  18705<br>Leitos (internação) SUS:  30<br>Leitos (internação) não-SUS:  12<br>Leitos (internação) - Total:  42<br>% de leitos (internação) SUS:  71.43<br>Leitos (internação) a cada 10k habitantes:  22.45,Águas de Lindóia<br><br>População:  18705<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Águas de Lindóia<br><br>População:  18705<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3272,350055,Águas de Santa Bárbara,6075,SP,11,0,11,100.0,18.11,16,0,16,100.0,26.34,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Águas de Santa Bárbara<br><br>População:  6075<br>Enfermeiros SUS:  11<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  11<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  18.11,Águas de Santa Bárbara<br><br>População:  6075<br>Médicos SUS:  16<br>Médicos não-SUS:  0<br>Médicos - Total:  16<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  26.34,Águas de Santa Bárbara<br><br>População:  6075<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Águas de Santa Bárbara<br><br>População:  6075<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Águas de Santa Bárbara<br><br>População:  6075<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Águas de Santa Bárbara<br><br>População:  6075<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3273,350060,Águas de São Pedro,3451,SP,6,0,6,100.0,17.39,8,0,8,100.0,23.18,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Águas de São Pedro<br><br>População:  3451<br>Enfermeiros SUS:  6<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  17.39,Águas de São Pedro<br><br>População:  3451<br>Médicos SUS:  8<br>Médicos não-SUS:  0<br>Médicos - Total:  8<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  23.18,Águas de São Pedro<br><br>População:  3451<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Águas de São Pedro<br><br>População:  3451<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Águas de São Pedro<br><br>População:  3451<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Águas de São Pedro<br><br>População:  3451<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3274,350070,Agudos,37214,SP,48,0,48,100.0,12.9,102,8,110,92.73,29.56,0,1,1,0.0,2.69,38,22,60,63.33,16.12,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Agudos<br><br>População:  37214<br>Enfermeiros SUS:  48<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  48<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  12.9,Agudos<br><br>População:  37214<br>Médicos SUS:  102<br>Médicos não-SUS:  8<br>Médicos - Total:  110<br>% de médicos SUS:  92.73<br>Médicos a cada 10k habitantes:  29.56,Agudos<br><br>População:  37214<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  2.69,Agudos<br><br>População:  37214<br>Leitos (internação) SUS:  38<br>Leitos (internação) não-SUS:  22<br>Leitos (internação) - Total:  60<br>% de leitos (internação) SUS:  63.33<br>Leitos (internação) a cada 10k habitantes:  16.12,Agudos<br><br>População:  37214<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Agudos<br><br>População:  37214<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3275,350075,Alambari,6025,SP,7,0,7,100.0,11.62,7,0,7,100.0,11.62,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alambari<br><br>População:  6025<br>Enfermeiros SUS:  7<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  7<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  11.62,Alambari<br><br>População:  6025<br>Médicos SUS:  7<br>Médicos não-SUS:  0<br>Médicos - Total:  7<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  11.62,Alambari<br><br>População:  6025<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alambari<br><br>População:  6025<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alambari<br><br>População:  6025<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alambari<br><br>População:  6025<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3276,350080,Alfredo Marcondes,4166,SP,2,0,2,100.0,4.8,4,0,4,100.0,9.6,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Alfredo Marcondes<br><br>População:  4166<br>Enfermeiros SUS:  2<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  2<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  4.8,Alfredo Marcondes<br><br>População:  4166<br>Médicos SUS:  4<br>Médicos não-SUS:  0<br>Médicos - Total:  4<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  9.6,Alfredo Marcondes<br><br>População:  4166<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Alfredo Marcondes<br><br>População:  4166<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Alfredo Marcondes<br><br>População:  4166<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Alfredo Marcondes<br><br>População:  4166<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3277,350090,Altair,4160,SP,6,0,6,100.0,14.42,9,0,9,100.0,21.63,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Altair<br><br>População:  4160<br>Enfermeiros SUS:  6<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  6<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  14.42,Altair<br><br>População:  4160<br>Médicos SUS:  9<br>Médicos não-SUS:  0<br>Médicos - Total:  9<br>% de médicos SUS:  100.0<br>Médicos a cada 10k habitantes:  21.63,Altair<br><br>População:  4160<br>Hospitais públicos:  0<br>Hospitais não-públicos:  0<br>Hospitais - Total:  0<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  0.0,Altair<br><br>População:  4160<br>Leitos (internação) SUS:  0<br>Leitos (internação) não-SUS:  0<br>Leitos (internação) - Total:  0<br>% de leitos (internação) SUS:  0.0<br>Leitos (internação) a cada 10k habitantes:  0.0,Altair<br><br>População:  4160<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Altair<br><br>População:  4160<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
3278,350100,Altinópolis,16184,SP,20,0,20,100.0,12.36,28,2,30,93.33,18.54,0,1,1,0.0,6.18,25,6,31,80.65,19.15,0,0,0,0.0,0.0,0,0,0,0.0,0.0,Altinópolis<br><br>População:  16184<br>Enfermeiros SUS:  20<br>Enfermeiros não-SUS:  0<br>Enfermeiros - Total:  20<br>% de enfermeiros SUS:  100.0<br>Enfermeiros a cada 10k habitantes:  12.36,Altinópolis<br><br>População:  16184<br>Médicos SUS:  28<br>Médicos não-SUS:  2<br>Médicos - Total:  30<br>% de médicos SUS:  93.33<br>Médicos a cada 10k habitantes:  18.54,Altinópolis<br><br>População:  16184<br>Hospitais públicos:  0<br>Hospitais não-públicos:  1<br>Hospitais - Total:  1<br>% de hospitais públicos:  0.0<br>Hospitais a cada 100k habitantes:  6.18,Altinópolis<br><br>População:  16184<br>Leitos (internação) SUS:  25<br>Leitos (internação) não-SUS:  6<br>Leitos (internação) - Total:  31<br>% de leitos (internação) SUS:  80.65<br>Leitos (internação) a cada 10k habitantes:  19.15,Altinópolis<br><br>População:  16184<br>Leitos UTI SUS:  0<br>Leitos UTI não-SUS:  0<br>Leitos UTI - Total:  0<br>% de leitos UTI SUS:  0.0<br>Leitos UTI a cada 10k habitantes:  0.0,Altinópolis<br><br>População:  16184<br>Leitos UTI COVID-19 SUS:  0<br>Leitos UTI COVID-19 não-SUS:  0<br>Leitos UTI COVID-19 - Total:  0<br>% de leitos UTI COVID-19 SUS:  0.0<br>Leitos UTI COVID-19 a cada 10k habitantes:  0.0
